	TCGA.FA.8693.01A	TCGA.FA.A4BB.01A	TCGA.FA.A4XK.01A	TCGA.FA.A6HN.01A	TCGA.FA.A6HO.01A	TCGA.FA.A7DS.01A	TCGA.FA.A7Q1.01A	TCGA.FA.A82F.01A	TCGA.FA.A86F.01A	TCGA.FF.8041.01A	TCGA.FF.8042.01A	TCGA.FF.8043.01A	TCGA.FF.8046.01A	TCGA.FF.8047.01A	TCGA.FF.8061.01A	TCGA.FF.8062.01A	TCGA.FF.A7CQ.01A	TCGA.FF.A7CR.01A	TCGA.FF.A7CW.01A	TCGA.FF.A7CX.01A	TCGA.FM.8000.01A	TCGA.G8.6324.01A	TCGA.G8.6325.01A	TCGA.G8.6326.01A	TCGA.G8.6906.01A	TCGA.G8.6907.01A	TCGA.G8.6909.01A	TCGA.G8.6914.01A	TCGA.GR.7353.01A	TCGA.GR.A4D4.01A	TCGA.GR.A4D5.01A	TCGA.GR.A4D6.01A	TCGA.GR.A4D9.01B	TCGA.GS.A9TQ.01A	TCGA.GS.A9TT.01A	TCGA.GS.A9TU.01A	TCGA.GS.A9TV.01A	TCGA.GS.A9TW.01A	TCGA.GS.A9TX.01A	TCGA.GS.A9TY.01A	TCGA.GS.A9TZ.01A	TCGA.GS.A9U3.01A	TCGA.GS.A9U4.01A	TCGA.RQ.A68N.01A	TCGA.RQ.A6JB.01A	TCGA.RQ.AAAT.01A	TCGA.VB.A8QN.01A
hsa-mir-338	1279.961	1243.579	2052.178	1671.701	382.157	1433.584	1460.744	3429.21	2516.356	1521.706	335.783	949.002	421.596	306.559	444.78	627.99	1558.123	987.171	599.47	655.232	641.034	1274.771	2084.419	807.903	464.736	838.66	1022.27	603.837	387.375	2763.527	2290.327	620.859	1734.206	414.066	605.533	1922.441	1724.469	780.887	1922.111	1922.298	2245.81	1753.716	5908.91	1663.688	461.979	21933.37	3893.206
hsa-mir-339	105.234	107.009	57.111	129.173	171.371	49.88	46.161	60.694	117.507	57.597	99.685	80.932	270.89	85.483	76.416	156.997	38.904	61.61	102.861	641.455	172.1	316.517	97.336	1218.532	58.419	400.36	81.268	71.553	142.156	625.335	81.829	215.678	58.144	221.507	86.02	71.127	112.932	38.132	259.03	218.996	70.734	115.427	124.511	123.003	822.414	134.283	227.076
hsa-mir-33a	82.357	108.631	97.088	130.115	68.548	65.583	80.339	84.46	152.211	168.525	267.577	276.967	268.982	462.787	272.354	376.122	71.973	83.244	178.071	882.827	569.983	361.62	287.26	305.229	197.927	404.354	192.478	277.486	303.503	68.561	48.558	199.973	58.144	402.739	203.731	50.445	88.087	96.16	109.922	99.544	101.278	96.998	151.345	75.694	161.921	135.792	181.826
hsa-mir-340	86.932	186.456	100.896	89.572	263.911	150.563	58.59	167.091	119.334	55.464	68.206	26.378	110.645	42.741	46.046	67.165	233.427	293.941	148.208	111.318	58.419	136.102	117.12	160.245	32.261	17.971	62.021	162.303	19.191	82.876	245.488	92.134	151.68	95.651	135.82	118.04	237.157	154.188	63.612	130.513	196.127	168.776	107.337	206.581	49.4	245.934	91.324
hsa-mir-342	1594.518	2744.953	249.383	3176.514	1991.331	881.211	1630.742	820.1	3327.946	878.181	824.766	902.241	1068.297	1087.697	628.962	1550.665	1192.421	1571.761	1503.1	1837.294	1987.836	3067.047	1539.178	5731.63	1425.598	5506.203	1849.924	870.852	5335.825	1407.38	2103.288	4604.616	733.119	2148.362	379.165	2788.574	4299.315	941.707	3844.222	973.315	2273.139	2287.203	2239.053	1165.37	4020.591	639.73	1377.267
hsa-mir-345	18.301	42.155	41.881	19.8	32.56	42.49	7.989	20.841	18.874	19.91	66.107	28.776	28.615	22.108	5.878	48.694	21.397	17.401	28.757	119.584	23.684	113.155	29.28	183.137	36.621	30.951	38.496	22.688	33.407	107.738	27.876	42.926	30.336	12.586	19.241	15.133	20.328	29.843	18.829	48.666	17.684	27.159	48.302	14.193	41.166	12.07	61.706
hsa-mir-34a	427.797	794.464	1205.036	1287.011	351.31	314.058	365.297	639.115	621.022	824.85	501.575	377.682	192.675	94.326	231.207	512.97	746.965	506.989	481.125	429.29	415.251	1150.538	1149.833	1155.101	561.52	1619.413	425.59	752.179	242.376	580.883	731.969	348.644	389.312	609.143	751.54	566.997	799.557	1286.557	225.951	778.652	1829.443	1085.403	2241.2	1149.601	641.282	398.322	560.286
hsa-mir-34c	19.445	17.835	13.326	34.886	20.565	20.321	26.632	16.453	33.486	26.31	29.381	9.592	24.8	10.317	11.756	26.866	11.671	24.926	70.786	13.777	23.684	143.224	13.453	29.092	20.926	10.982	39.565	73.298	25.588	21.849	18.884	33.503	42.976	16.361	41.878	48.931	33.88	23.211	44.783	19.909	43.405	22.309	56.889	89.886	21.955	30.176	5.759
hsa-mir-3607	223.049	98.903	68.533	45.258	66.835	176.427	89.66	74.588	41.401	100.973	214.061	110.307	736.362	210.76	260.598	341.7	81.699	46.56	29.863	294.827	71.051	237.388	178.845	107.307	231.06	229.633	162.537	97.731	192.621	36.164	80.031	61.772	166.848	108.236	106.393	72.64	66.63	223.821	51.399	59.726	62.696	74.688	74.063	348.507	66.781	57.334	53.478
hsa-mir-361	1263.947	1866.179	1492.493	2253.449	2113.004	2114.352	4025.367	2222.277	2445.73	2297.492	1304.305	1770.911	1072.113	2658.814	1091.377	1873.056	2017.195	2056.646	2717.524	1915.547	2617.818	3961.207	1925.357	1998.774	3342.091	6262.994	1877.727	1752.175	2514.029	1824.772	2401.831	2011.248	1526.911	1911.753	1329.908	2317.926	2355.758	1982.89	2799.453	3784.87	2650.924	1992.33	1725.981	1499.685	2821.275	1916.171	1435.681
hsa-mir-3613	35.459	81.068	45.689	80.144	143.952	72.049	54.151	65.082	96.806	66.13	80.798	46.761	164.06	64.849	107.766	92.351	114.768	95.002	137.148	171.385	48.946	128.981	54.603	117.799	28.774	13.978	27.802	92.495	22.745	37.671	61.147	61.772	83.424	46.567	96.206	39.851	79.052	59.686	59.541	64.15	78.772	68.868	93.383	80.425	100.629	33.194	63.351
hsa-mir-3615	34.315	38.913	51.4	45.258	25.706	55.422	29.739	30.347	45.663	54.753	33.578	38.368	17.169	66.323	39.188	26.026	38.904	44.679	45.347	68.885	39.473	44.312	37.985	47.692	49.7	19.968	64.159	69.808	34.828	15.068	34.171	28.268	42.976	36.498	26.032	23.204	38.397	26.527	45.292	68.574	41.797	57.229	51.522	15.77	39.337	48.281	21.391
hsa-mir-362	32.028	94.039	45.689	72.601	56.552	44.338	47.937	47.897	112.636	31.998	34.628	166.06	22.892	25.055	21.553	15.952	68.083	68.194	53.09	61.721	17.368	54.599	70.43	128.292	17.439	11.981	47.05	41.885	11.372	81.369	59.349	56.537	73.312	40.274	29.428	50.445	94.863	53.054	72.264	48.666	56.266	78.568	94.457	59.924	28.359	55.825	64.174
hsa-mir-363	10.295	32.427	17.133	35.829	59.98	1038.24	4.882	208.773	361.654	44.798	7.345	6.594	61.046	8.843	3.919	50.374	196.467	773.652	547.487	870.152	6.316	49.06	11.87	50.554	39.237	30.951	63.09	24.433	22.745	273.49	180.744	54.443	336.224	99.426	88.283	70.118	137.777	24.869	74.299	13.272	75.557	26.189	261.903	141.926	15.552	328.918	64.174
hsa-mir-3653	67.487	50.262	26.652	22.629	35.988	32.33	25.3	23.034	49.925	56.886	15.74	25.778	175.506	47.163	31.35	73.881	29.178	7.525	33.181	119.033	48.946	96.538	27.697	32.431	86.321	121.805	42.773	20.942	43.358	119.04	50.357	63.866	42.976	67.962	40.746	72.136	47.431	119.371	82.442	70.787	54.658	57.229	53.669	88.31	27.444	31.685	40.314
hsa-mir-365a	34.315	324.271	119.932	216.859	71.976	46.185	16.867	81.9	263.021	253.144	80.798	386.075	32.43	26.529	37.228	77.239	25.288	313.694	253.282	61.721	385.252	66.469	146.4	64.861	55.803	215.655	66.298	76.789	61.127	319.448	105.209	41.879	214.88	804.22	93.942	105.934	144.553	218.847	177.097	103.968	475.848	96.998	157.786	45.732	64.037	36.211	158.789
hsa-mir-365b	33.171	306.436	110.414	212.145	68.548	44.338	16.423	81.9	247.8	237.5	80.798	368.69	34.338	25.055	35.269	77.239	25.288	301.936	246.645	61.721	377.357	66.469	143.235	64.861	56.675	208.667	66.298	73.298	59.706	314.928	107.008	43.973	207.296	781.566	93.942	100.385	138.906	203.926	166.41	92.907	409.937	92.148	147.052	44.155	62.207	36.211	160.434
hsa-mir-3677	35.459	8.107	15.23	8.486	3.427	25.864	22.637	9.141	14.612	23.466	16.789	40.766	64.861	25.055	65.639	20.989	35.014	9.876	12.166	7.164	17.368	16.617	40.359	8.108	54.931	31.949	41.703	12.216	46.201	58.013	11.69	11.517	27.808	22.654	5.659	4.54	5.647	21.553	6.616	11.06	12.861	5.82	25.761	23.654	12.807	9.053	12.341
hsa-mir-369	14.87	8.107	19.037	9.429	5.141	8.313	22.637	72.394	9.133	1.422	9.444	13.189	19.077	16.212	24.492	1.679	13.617	11.758	8.848	13.777	6.316	5.539	7.122	29.569	24.414	4.992	2.139	34.904	22.034	11.301	7.194	5.235	10.112	11.327	32.823	7.567	3.388	34.817	2.036	6.636	4.823	9.7	22.541	14.193	10.978	63.369	44.428
hsa-mir-370	20.589	3.243	17.133	2.829	3.427	5.542	17.754	42.413	1.827	9.955	7.345	14.987	22.892	22.108	18.614	3.358	5.836	5.644	4.424	14.879	6.316	2.374	3.165	15.738	22.67	6.989	3.208	80.279	110.171	18.835	8.992	3.141	20.224	8.81	27.164	7.567	2.259	8.29	4.071	11.06	0	8.73	2.147	29.962	21.041	64.878	27.15
hsa-mir-374a	4168.165	4269.026	3561.804	4376.782	3247.48	6339.361	6491.898	4866.122	3754.138	5620.357	5453.318	4524.396	4933.244	2474.583	3623.88	6756.769	4697.711	4643.796	4451.785	2685.403	2155.2	5117.284	5925.637	5324.817	2988.961	3246.813	1991.075	2881.316	964.528	2821.54	3692.219	3239.355	3989.18	5229.317	2666.608	3508.922	5853.258	4990.383	4234.548	5240.418	5903.089	5963.411	3392.927	5703.848	3401.265	3895.712	2757.825
hsa-mir-374b	140.693	505.863	207.502	308.317	294.758	247.552	323.13	330.526	326.341	147.193	192.026	240.398	175.506	126.751	120.502	219.125	254.824	373.423	440.201	468.967	454.723	363.994	292.8	843.672	282.504	193.691	223.488	356.02	125.808	193.628	273.364	209.396	199.712	482.028	404.066	269.374	449.469	353.14	308.393	181.391	308.658	274.503	441.156	260.198	238.765	208.214	306.882
hsa-mir-375	2403.215	30.806	3.807	20.743	800.302	87.752	46.161	300.179	88.891	223.989	259.182	330.322	459.749	764.925	1390.183	658.214	3.89	52.674	413.657	9.919	18.947	739.858	180.428	346.244	218.853	214.657	177.507	19.197	184.803	10.548	27.876	212.537	5.056	64.187	87.151	819.724	55.337	8.29	184.221	17.697	41.797	183.325	7.514	253.89	17.381	82.984	208373.727
hsa-mir-376c	5.719	3.243	26.652	2.829	6.855	4.619	15.979	37.66	5.48	1.422	8.395	13.189	0	4.422	9.797	2.519	3.89	5.644	3.318	18.737	6.316	9.496	2.374	24.323	10.463	1.997	2.139	26.178	13.505	6.027	3.597	4.188	10.112	10.068	32.823	5.549	2.259	3.316	1.527	2.212	1.608	11.64	16.101	15.77	10.978	27.158	27.973
hsa-mir-378a	5376.064	3442.136	3190.584	3137.857	5876.311	4722.884	6320.568	4380.57	2032.324	5162.423	12196.25	2486.11	10505.558	2107.596	5818.389	2689.107	6893.866	5611.214	3251.739	4785.562	1269.436	3055.969	6181.243	5558.031	2534.688	1337.862	2962.017	5530.521	1034.896	8041.953	5244.281	2471.919	3647.901	6935.924	5696.536	6201.146	3942.451	4444.923	1195.912	2245.262	2847.051	3328.957	2173.577	6891.295	1578.963	3025.136	4074.209
hsa-mir-378c	45.754	27.563	28.555	37.715	109.677	44.338	90.547	43.875	19.483	98.129	80.798	29.375	38.153	23.581	60.741	36.941	87.535	74.779	27.651	49.046	20.526	147.18	69.639	94.43	55.803	61.901	51.327	50.611	30.564	70.821	76.434	51.302	27.808	125.856	21.505	58.011	81.311	48.08	40.203	39.817	57.873	52.379	66.549	64.655	10.978	30.176	59.237
hsa-mir-379	1762.663	346.97	2844.113	221.573	221.069	557.916	1407.48	3048.227	238.667	308.608	1203.57	930.418	2359.792	739.869	2089.682	418.94	229.536	266.663	207.934	744.506	445.25	655.981	518.335	1002.964	1488.377	330.472	248.082	3755.658	2145.845	803.894	709.489	312	1119.903	655.71	2079.185	381.865	102.768	850.52	119.591	382.69	93.241	373.441	986.428	2802.25	1301.775	3509.46	1841.292
hsa-mir-381	145.268	16.214	158.006	17.914	37.702	60.041	135.377	311.148	31.051	31.998	81.847	81.531	114.46	53.058	193.979	24.347	60.302	55.496	14.378	59.516	29.999	155.093	37.194	100.153	177.873	33.946	21.386	265.27	312.032	76.848	48.558	21.987	85.952	44.05	219.576	40.356	10.164	102.792	13.231	39.817	3.215	63.048	114.851	197.119	96.97	615.589	179.357
hsa-mir-382	48.041	12.971	108.51	6.6	10.282	17.55	62.14	182.082	9.133	5.689	39.874	39.567	34.338	23.581	70.538	7.556	1.945	16.461	16.591	27.554	18.947	14.243	13.453	42.923	40.109	4.992	1.069	165.793	33.407	26.37	29.674	11.517	22.752	20.137	79.229	23.204	3.388	19.895	8.142	0	6.43	16.49	35.421	36.27	47.57	146.353	57.592
hsa-mir-3913-2	2.288	3.243	5.711	1.886	1.714	2.771	4.439	9.872	3.044	4.266	6.296	15.587	7.631	4.422	7.838	7.556	1.945	2.822	2.212	11.573	6.316	1.583	1.583	3.815	1.744	9.984	2.139	6.981	6.397	3.014	7.194	3.141	5.056	1.259	11.318	4.036	2.259	1.658	5.598	6.636	3.215	4.85	6.44	3.154	1.83	4.526	6.582
hsa-mir-409	53.761	27.563	192.273	17.914	15.423	18.474	61.697	152.466	12.786	13.51	43.022	58.751	53.415	35.372	72.497	6.716	5.836	17.872	16.591	31.963	36.315	11.869	22.158	26.708	62.779	10.982	14.97	228.62	68.946	44.451	53.954	31.409	65.728	32.723	82.624	28.753	9.035	16.579	9.16	22.121	4.823	23.279	35.421	105.656	55.803	75.44	55.124
hsa-mir-410	13.726	3.243	26.652	0.943	5.141	13.856	40.391	89.213	6.088	2.844	9.444	23.98	43.876	5.895	25.472	4.198	27.233	12.228	6.636	11.022	6.316	3.165	17.41	17.169	15.695	3.994	3.208	87.26	112.303	21.096	17.985	3.141	7.584	16.361	53.196	3.027	2.259	28.185	5.089	8.848	3.215	2.91	3.22	42.578	14.637	247.443	29.619
hsa-mir-411	10.295	3.243	19.037	2.829	1.714	7.39	23.968	45.338	0.609	2.844	10.493	6.594	9.538	4.422	14.695	3.358	3.89	2.822	4.424	13.226	1.579	8.704	4.748	8.108	25.286	0	1.069	38.394	11.372	8.288	17.985	7.329	15.168	5.034	27.164	3.531	2.259	13.263	2.036	0	1.608	2.91	8.587	42.578	14.637	34.702	14.809
hsa-mir-412	10.295	0	41.881	0.943	1.714	3.695	11.984	30.347	0	3.555	9.444	11.39	3.815	2.948	16.655	4.198	3.89	3.292	2.212	4.409	4.737	1.583	0	2.862	4.36	0	5.347	54.101	34.828	0.753	0.899	6.282	2.528	3.776	11.318	0.504	0	9.948	0.509	0	0	0	12.88	31.539	3.659	21.123	7.405
hsa-mir-421	25.165	27.563	7.615	5.657	15.423	39.719	22.637	34.369	17.048	19.91	8.395	14.388	36.246	2.948	18.614	10.075	35.014	33.862	14.378	26.452	12.631	6.33	21.366	27.184	17.439	9.984	27.802	19.197	4.265	12.055	32.372	7.329	25.28	26.43	24.9	13.116	20.328	18.237	10.178	19.909	20.899	23.279	30.054	20.5	15.552	19.614	13.987
hsa-mir-423	481.558	1058.745	523.515	1101.267	1088.206	765.748	1118.971	727.597	714.784	807.073	424.975	758.962	482.641	831.248	572.14	423.138	632.197	853.604	881.509	631.535	920.499	599.799	561.068	484.551	457.761	963.461	746.386	692.842	986.563	1078.137	1247.225	1443.785	844.351	1267.37	702.871	722.87	638.065	489.091	826.452	583.989	491.924	554.826	580.694	708.053	933.107	630.677	832.613
hsa-mir-424	380.9	460.465	1216.458	101.829	241.633	235.544	315.585	309.686	236.841	414.558	786.99	1561.088	282.336	179.809	186.141	462.597	984.282	728.033	407.02	400.083	249.466	204.153	638.62	1137.932	363.593	127.796	490.818	841.184	101.642	265.202	162.76	147.624	384.256	549.991	382.561	197.743	562.401	709.596	119.082	216.784	339.203	395.75	1080.885	345.353	457.405	125.23	793.944
hsa-mir-425	482.702	715.017	550.166	1528.385	1100.202	2106.962	2510.029	1320.643	996.07	1110.703	1353.623	3599.374	717.285	679.442	1266.741	510.452	3009.258	1484.284	1427.889	1260.867	2597.292	747.771	794.516	874.195	813.507	1381.792	669.395	1244.324	1244.576	4675.694	841.675	1630.147	1415.679	1301.351	1082.036	1256.573	880.868	2092.313	1668.171	1159.13	1006.355	1181.43	3361.8	1476.03	1313.668	709.134	2582.581
hsa-mir-431	12.582	3.243	49.496	0.943	5.141	6.466	12.872	19.744	3.653	2.844	6.296	15.587	9.538	10.317	7.838	2.519	7.781	3.292	1.106	7.715	14.21	3.956	5.539	9.538	26.158	6.989	0	50.611	2.843	18.082	6.295	8.376	17.696	8.81	27.164	6.053	0	9.948	3.562	6.636	1.608	5.82	8.587	23.654	15.552	81.475	12.341
hsa-mir-432	6.863	1.621	49.496	2.829	3.427	3.695	18.642	40.95	7.915	3.555	11.543	9.592	19.077	7.369	11.756	2.519	0	3.292	1.106	5.511	1.579	7.122	6.331	7.154	19.182	1.997	3.208	52.356	1.422	27.123	12.589	8.376	30.336	3.776	26.032	6.053	2.259	11.606	2.544	2.212	0	0.97	5.367	6.308	12.807	64.878	28.796
hsa-mir-4326	22.877	0	30.459	46.2	17.137	58.193	14.647	25.228	35.313	0.711	20.986	28.176	20.984	11.791	17.634	13.433	33.069	24.926	44.241	14.879	52.104	1.583	15.827	6.677	22.67	19.968	28.872	0	17.059	35.411	20.682	26.174	27.808	18.878	15.846	11.098	0	31.501	32.061	22.121	11.253	40.739	71.916	42.578	18.296	34.702	32.91
hsa-mir-450a-2	6.863	8.107	26.652	4.714	1.714	10.161	13.316	11.7	12.786	2.844	5.247	35.97	0	7.369	3.919	10.914	13.617	10.817	16.591	7.715	12.631	4.748	15.036	46.261	3.488	5.99	11.763	6.981	6.397	5.274	8.992	6.282	2.528	5.034	11.318	4.54	13.552	8.29	5.089	0	11.253	9.7	26.834	9.462	13.722	12.07	29.619
hsa-mir-450b	32.028	32.427	34.266	4.714	22.278	39.719	49.268	54.478	29.833	13.51	25.184	62.348	24.8	14.738	7.838	24.347	87.535	47.971	45.347	11.022	26.841	6.33	30.071	20.984	13.079	4.992	16.04	45.375	8.529	29.383	27.876	16.752	48.032	21.396	37.351	19.169	46.302	56.37	17.811	37.605	35.367	60.138	72.989	22.077	41.166	28.667	43.605
hsa-mir-451a	124.679	291.844	437.849	426.175	956.25	1061.333	192.635	711.875	198.483	59.731	523.611	328.524	5616.191	1099.487	131.279	1985.556	13488.168	3604.891	9819.366	1140.732	306.307	818.196	529.414	2491.432	1197.154	699.882	225.627	462.476	340.464	2653.528	134.884	1116.08	3774.301	498.39	32712.354	3054.416	891.032	283.507	194.908	316.327	535.329	521.847	19913.189	1483.915	9564.342	1546.516	2252.662
hsa-mir-452	85.788	131.33	131.355	78.258	35.988	106.226	72.349	211.698	97.415	117.328	219.308	29.975	95.384	29.477	59.761	130.132	79.754	67.724	74.104	34.167	44.209	38.773	81.509	176.937	125.557	33.946	57.743	62.827	56.152	131.094	101.612	45.02	106.176	46.567	89.415	100.385	50.819	237.085	232.058	134.937	59.481	79.538	44.008	104.079	57.633	30.176	64.174
hsa-mir-454	52.617	69.718	39.977	61.286	49.698	102.531	90.991	51.188	87.674	58.308	35.677	60.549	99.199	56.006	106.786	37.78	95.316	57.848	67.468	62.823	96.313	23.739	28.489	35.292	56.675	98.842	44.911	41.885	84.583	73.835	35.969	56.537	50.56	88.099	47.537	53.471	82.44	72.949	68.701	90.695	73.949	73.718	124.511	41.001	75.014	33.194	37.023
hsa-mir-455	1830.149	979.298	1363.042	817.464	443.851	242.01	233.914	329.064	853.601	1334.693	3880.387	635.466	1781.767	499.633	649.536	4950.878	805.322	439.736	622.697	2943.859	1275.752	1112.556	2446.858	891.364	1447.396	1147.167	1628.575	516.578	959.553	712.731	1145.613	583.168	376.672	392.671	801.341	489.312	441.564	2700.775	465.642	774.228	1012.785	637.274	831.863	536.165	672.386	517.517	428.648
hsa-mir-4661	17.158	14.592	19.037	9.429	13.71	16.627	1.775	4.388	2.435	13.51	14.69	7.793	13.354	10.317	0.98	24.347	17.507	9.876	4.424	11.573	14.21	27.695	8.705	4.769	6.975	4.992	13.901	6.981	2.132	3.014	15.287	19.893	37.92	3.776	5.659	13.62	4.517	9.948	7.125	30.969	6.43	5.82	8.587	18.923	15.552	3.018	9.05
hsa-mir-4662a	33.171	59.99	34.266	112.201	53.125	13.856	9.765	36.197	26.789	9.244	31.48	10.791	9.538	64.849	17.634	28.545	19.452	17.872	17.697	53.455	18.947	4.748	13.453	10.492	12.207	0.998	0	22.688	6.397	13.561	16.186	28.268	32.864	3.776	11.318	11.098	10.164	18.237	6.107	19.909	14.468	9.7	22.541	34.693	9.148	10.562	64.996
hsa-mir-4677	42.322	29.184	51.4	22.629	39.415	84.981	75.9	50.822	37.14	71.819	19.937	41.365	40.061	20.634	86.213	42.817	25.288	49.382	35.393	24.247	55.262	19.782	67.265	36.246	29.645	76.877	39.565	43.63	54.73	70.068	65.643	37.691	73.312	66.704	27.164	63.056	49.69	53.054	42.748	64.15	51.443	52.379	42.935	52.04	53.059	39.229	55.124
hsa-mir-4746	24.021	16.214	13.326	23.572	15.423	25.864	63.028	9.141	15.83	34.132	17.838	43.763	19.077	30.951	42.127	22.668	23.343	27.748	15.484	22.594	61.577	5.539	9.496	3.815	17.439	41.933	44.911	27.923	78.186	23.356	19.783	23.034	20.224	32.723	19.241	11.098	27.104	8.29	28.498	24.333	14.468	9.7	12.88	15.77	21.041	13.579	12.341
hsa-mir-4772	48.041	47.019	20.941	47.143	29.133	158.877	15.979	47.897	17.657	27.021	73.452	45.562	38.153	22.108	11.756	78.079	200.358	155.201	115.027	29.758	17.368	85.46	75.178	32.431	125.557	54.912	124.041	34.904	51.887	41.438	101.612	78.523	25.28	2.517	20.373	52.967	56.466	58.028	53.434	17.697	109.316	59.169	214.674	64.655	111.607	7.544	38.669
hsa-mir-484	228.769	264.281	228.443	187.63	159.375	247.552	118.067	157.585	176.565	91.018	207.765	198.433	135.445	187.178	104.827	99.907	106.987	247.381	213.464	344.975	342.621	216.814	190.716	235.599	129.917	180.711	256.637	228.62	182.67	170.272	169.054	153.906	182.016	324.708	193.544	167.98	252.967	96.16	250.887	126.089	176.835	220.184	337.039	141.926	234.191	117.686	395.738
hsa-mir-485	1.144	3.243	28.555	0.943	1.714	1.847	4.882	15.722	3.044	2.133	1.049	5.995	1.908	7.369	0.98	0	0	2.352	1.106	2.204	0	0.791	3.165	2.862	3.488	1.997	2.139	8.726	9.24	6.027	4.496	5.235	7.584	2.517	10.187	4.54	0	1.658	0.509	0	1.608	5.82	3.22	3.154	3.659	24.141	8.227
hsa-mir-486-2	94.939	79.446	89.473	82.972	200.504	166.266	172.218	91.772	70.017	430.202	105.981	41.965	1215.188	327.193	21.553	205.692	1604.808	426.097	1135.896	278.294	112.102	463.697	100.502	426.844	234.548	225.639	236.32	62.827	640.413	1362.928	81.829	286.872	715.423	46.567	2794.506	732.455	132.13	132.635	330.275	212.36	884.177	76.628	1430.804	271.236	1589.026	285.162	213.912
hsa-mir-487b	10.295	0	30.459	2.829	3.427	0.924	11.097	28.519	3.044	1.422	6.296	9.592	7.631	2.948	11.756	1.679	0	3.762	2.212	7.164	4.737	5.539	5.539	7.154	6.103	0.998	1.069	22.688	64.681	4.52	4.496	4.188	10.112	3.776	16.978	8.576	2.259	1.658	0.509	0	0	3.88	5.367	14.193	6.404	48.281	20.569
hsa-mir-493	27.452	11.349	100.896	5.657	5.141	13.856	29.739	99.45	1.827	4.266	13.641	23.38	7.631	13.265	29.391	4.198	21.397	7.995	5.53	12.675	11.052	3.165	4.748	17.169	35.749	4.992	0	89.005	1.422	21.096	36.868	9.423	30.336	20.137	70.174	8.576	3.388	18.237	4.071	11.06	0	11.64	25.761	61.501	28.359	21.123	43.605
hsa-mir-495	5.719	6.485	34.266	3.771	6.855	3.695	15.535	31.809	6.697	0	8.395	8.393	7.631	1.474	6.858	7.556	5.836	4.703	4.424	7.715	17.368	7.913	6.331	6.677	20.054	2.995	2.139	47.12	22.745	10.548	3.597	7.329	12.64	13.844	35.087	6.053	2.259	8.29	4.58	2.212	0	4.85	5.367	14.193	17.381	64.878	31.264
hsa-mir-497	41.178	154.029	51.4	111.258	66.835	14.779	25.3	114.807	76.714	78.219	97.587	65.345	74.399	51.585	32.33	120.896	21.397	23.986	54.196	61.17	64.735	91.79	56.186	106.83	50.572	51.917	56.674	85.515	74.632	28.63	71.039	71.195	25.28	44.05	48.669	38.842	30.492	48.08	38.676	42.03	33.759	49.469	40.788	29.962	42.996	24.141	78.16
hsa-mir-500a	1703.183	2764.409	1726.647	1950.789	1780.544	1433.584	875.736	883.353	1380.86	1237.986	1088.145	4438.069	812.669	707.445	724.972	894.97	811.158	839.495	927.962	559.895	650.507	551.53	2016.363	765.934	467.352	271.566	871.496	1020.939	539.482	1879.017	2231.877	1239.624	2482.494	733.74	805.868	1578.914	1745.926	1175.476	1102.784	1393.611	1274.823	1793.485	441.156	1767.767	1096.858	582.395	1415.113
hsa-mir-500b	18.301	61.611	38.074	35.829	39.415	57.269	33.733	23.4	43.837	25.599	15.74	121.098	22.892	17.686	20.574	10.914	54.466	43.738	48.665	24.799	28.42	26.904	45.107	42.446	22.67	10.982	38.496	33.159	9.24	43.698	52.155	19.893	50.56	31.464	33.955	39.347	65.5	33.159	80.915	39.817	20.899	29.099	49.375	53.616	35.678	28.667	53.478
hsa-mir-501	411.784	680.969	397.871	350.746	563.811	260.484	180.207	197.438	364.698	403.181	226.653	814.715	125.906	179.809	172.426	201.494	143.946	284.064	295.311	174.692	184.731	130.563	528.623	185.999	122.07	81.869	270.538	303.664	185.514	392.529	545.83	320.376	480.32	196.335	185.621	429.787	376.063	154.188	338.418	305.267	374.57	427.759	103.044	328.007	235.106	141.827	249.29
hsa-mir-502	24.021	37.291	32.363	53.743	54.839	48.032	27.519	49.36	63.32	52.62	34.628	231.405	41.969	32.425	28.411	28.545	50.576	60.669	39.817	58.965	29.999	54.599	45.898	126.861	19.182	24.96	95.17	24.433	26.299	41.438	47.659	36.644	53.088	28.947	35.087	46.409	63.242	48.08	97.2	57.514	43.405	57.229	50.448	41.001	42.996	22.632	62.528
hsa-mir-503	40.035	32.427	270.324	11.314	42.843	38.795	25.744	27.422	54.796	6.4	14.69	90.524	7.631	8.843	8.817	16.791	184.796	127.453	25.439	24.247	12.631	7.913	41.15	42.446	23.542	10.982	75.922	40.139	12.083	58.013	85.426	67.007	139.04	18.878	18.109	24.718	83.57	94.502	12.722	66.362	61.089	97.968	66.549	151.388	154.603	18.106	18.1
hsa-mir-505	179.583	366.426	319.82	564.776	325.605	170.885	253.888	144.422	299.552	384.693	443.863	2263.697	303.32	288.873	322.319	311.476	196.467	273.247	321.856	306.399	712.084	397.228	420.999	708.227	542.338	495.209	521.828	326.351	734.236	430.953	258.977	339.221	182.016	522.302	337.287	189.167	321.856	184.031	215.264	261.025	321.519	302.632	239.362	203.427	240.595	105.616	283.023
