	TCGA.FA.8693.01A	TCGA.FA.A4BB.01A	TCGA.FA.A4XK.01A	TCGA.FA.A6HN.01A	TCGA.FA.A6HO.01A	TCGA.FA.A7DS.01A	TCGA.FA.A7Q1.01A	TCGA.FA.A82F.01A	TCGA.FA.A86F.01A	TCGA.FF.8041.01A	TCGA.FF.8042.01A	TCGA.FF.8043.01A	TCGA.FF.8046.01A	TCGA.FF.8047.01A	TCGA.FF.8061.01A	TCGA.FF.8062.01A	TCGA.FF.A7CQ.01A	TCGA.FF.A7CR.01A	TCGA.FF.A7CW.01A	TCGA.FF.A7CX.01A	TCGA.FM.8000.01A	TCGA.G8.6324.01A	TCGA.G8.6325.01A	TCGA.G8.6326.01A	TCGA.G8.6906.01A	TCGA.G8.6907.01A	TCGA.G8.6909.01A	TCGA.G8.6914.01A	TCGA.GR.7353.01A	TCGA.GR.A4D4.01A	TCGA.GR.A4D5.01A	TCGA.GR.A4D6.01A	TCGA.GR.A4D9.01B	TCGA.GS.A9TQ.01A	TCGA.GS.A9TT.01A	TCGA.GS.A9TU.01A	TCGA.GS.A9TV.01A	TCGA.GS.A9TW.01A	TCGA.GS.A9TX.01A	TCGA.GS.A9TY.01A	TCGA.GS.A9TZ.01A	TCGA.GS.A9U3.01A	TCGA.GS.A9U4.01A	TCGA.RQ.A68N.01A	TCGA.RQ.A6JB.01A	TCGA.RQ.AAAT.01A	TCGA.VB.A8QN.01A
hsa-mir-27a	4010.315	3498.883	3262.924	3736.576	2179.839	2400.699	2359.117	4827.731	2463.387	2857.11	4719.843	2950.719	3033.201	1969.055	3569.017	4610.017	2431.527	3199.958	3015.048	4702.9	1425.747	4551.51	5510.178	8977.55	3473.752	1549.524	3389.746	4223.37	1932.611	1686.143	2266.947	1767.302	1554.719	2322.043	2315.739	2516.173	2939.616	5093.175	1873.766	2099.264	3692.646	3430.804	7788.384	2829.058	2673.991	1220.616	3658.725
hsa-mir-27b	1213.618	1126.841	1149.829	695.835	543.246	957.878	980.487	4656.252	827.42	840.494	1867.79	1999.319	1611.984	949.155	1372.548	1768.111	896.747	668.774	997.642	2507.405	647.349	1758.25	770.776	1957.281	1352.357	884.587	548.561	1719.016	1070.435	614.787	698.698	942.282	1028.895	758.912	1010.73	901.444	622.254	915.18	780.142	962.255	861.671	887.528	943.494	834.209	1213.039	1587.254	4102.182
hsa-mir-28	29986.999	11892.635	10668.278	11947.992	12916.23	10643.809	2226.846	10204.999	7321.969	25884.646	7558.254	33766.013	8988.958	6425.958	11812.143	13497.586	4114.144	5892.927	7469.045	3844.872	51036.389	16599.719	7554.237	8797.751	10188.451	31457.74	25136.514	13561.905	12333.454	19356.742	8633.461	14913.177	11613.622	23114.712	5895.739	6409.987	8391.966	7863.584	19921.356	3059.307	6911.051	6888.767	6365.093	15058.348	24032.068	10934.246	13435.345
hsa-mir-296	29.74	21.078	17.133	16.972	10.282	0	22.193	20.841	20.092	40.531	5.247	66.544	173.598	97.274	103.847	20.149	15.562	1.881	14.378	115.726	36.315	37.982	28.489	12.4	30.517	89.856	71.644	0	80.318	5.274	9.891	32.456	37.92	46.567	33.955	12.107	5.647	26.527	23.409	17.697	8.038	6.79	35.421	3.154	16.467	0	43.605
hsa-mir-29a	16647.497	41597.472	25732.175	29121.345	43163.207	18761.295	20218.716	27086.336	30300.387	32166.305	49079.861	18162.331	20372.046	65823.325	13692.171	44305.193	28863.202	20740.939	31665.741	95570.715	14694.83	116439.379	36772.502	89235.152	56670.804	23369.662	39857.848	27738.118	15479.367	15831.513	22827.731	28068.475	12913.013	18840.642	18857.537	37150.885	33215.515	29759.925	37242.239	27186.468	48983.423	47230.056	48138.567	25956.687	23743.902	14614.2	29556.936
hsa-mir-29b-1	1895.349	5288.858	4711.632	2586.28	5641.532	1946.238	1628.523	2306.006	4383.075	2018.038	3407.143	763.758	1115.989	4822.416	1005.164	3117.282	3976.033	2397.147	4742.672	9540.264	4261.453	8033.986	3499.354	9604.224	7380.85	5267.584	3962.901	2630.008	1503.3	780.538	2505.241	3638.254	1499.103	5205.404	3891.256	2864.241	6123.165	3325.817	5693.561	3618.964	7468.887	9833.614	4320.32	2144.659	2609.039	2018.769	2560.367
hsa-mir-29b-2	2041.76	5606.644	4656.425	2721.11	5725.504	2219.654	1833.142	2362.312	4543.81	2155.987	3457.511	843.491	1020.605	4906.425	1074.722	3107.207	4003.267	2476.158	4710.597	9748.571	4899.329	8001.543	3568.993	9654.777	7643.3	5929.526	4076.249	2532.277	1653.274	873.208	2661.707	3758.657	1708.926	5278.4	3984.066	2921.747	6319.666	3393.792	5841.65	3806.99	7513.899	10108.117	4392.236	2124.159	2520.302	2143.999	2797.316
hsa-mir-29c	4163.59	10063.748	3390.472	6344.542	8666.23	5144.092	8562.062	8444.873	9005.426	4802.618	4553.001	3810.996	9313.262	7851.164	3861.945	13526.97	7376.281	6009.563	5875.25	33642.765	10922.836	22923.723	8362.207	35620.71	22330.015	38730.121	13036.085	5642.213	5809.205	2740.171	6854.794	5767.81	3786.941	5265.815	3340.051	5681.063	9095.531	4043.702	9748.467	7970.126	5506.013	11858.923	9481.091	4497.477	1275.246	7450.435	20993.035
hsa-mir-301a	70.918	76.204	36.17	55.629	44.556	103.455	97.649	44.241	80.368	57.597	65.058	124.096	24.8	82.535	109.725	41.978	64.192	44.679	59.726	81.56	164.206	41.938	58.56	52.461	53.187	166.734	62.021	41.885	378.846	79.109	35.969	50.255	78.368	64.187	95.074	58.011	27.104	84.555	46.31	44.242	43.405	72.748	136.318	44.155	130.818	40.737	92.97
hsa-mir-3065	10.295	9.728	5.711	12.257	5.141	5.542	14.647	9.872	17.048	44.798	6.296	11.39	5.723	1.474	5.878	55.411	5.836	6.114	6.636	7.715	7.895	7.913	7.122	5.723	13.079	96.845	7.485	8.726	4.975	13.561	19.783	2.094	0	5.034	6.791	16.142	10.164	9.948	13.231	11.06	17.684	7.76	15.027	88.31	128.988	126.739	229.544
