	TCGA.KL.8323.01A	TCGA.KL.8324.01A	TCGA.KL.8325.01A	TCGA.KL.8326.01A	TCGA.KL.8327.01A	TCGA.KL.8328.01A	TCGA.KL.8329.01A	TCGA.KL.8330.01A	TCGA.KL.8331.01A	TCGA.KL.8332.01A	TCGA.KL.8333.01A	TCGA.KL.8334.01A	TCGA.KL.8335.01A	TCGA.KL.8336.01A	TCGA.KL.8337.01A	TCGA.KL.8338.01A	TCGA.KL.8339.01A	TCGA.KL.8340.01A	TCGA.KL.8341.01A	TCGA.KL.8342.01A	TCGA.KL.8343.01A	TCGA.KL.8344.01A	TCGA.KL.8345.01A	TCGA.KL.8346.01A	TCGA.KM.8438.01A	TCGA.KM.8439.01A	TCGA.KM.8440.01A	TCGA.KM.8441.01A	TCGA.KM.8442.01A	TCGA.KM.8443.01A	TCGA.KM.8476.01A	TCGA.KM.8477.01A	TCGA.KM.8639.01A	TCGA.KN.8418.01A	TCGA.KN.8419.01A	TCGA.KN.8421.01A	TCGA.KN.8422.01A	TCGA.KN.8423.01A	TCGA.KN.8424.01A	TCGA.KN.8425.01A	TCGA.KN.8426.01A	TCGA.KN.8427.01A	TCGA.KN.8428.01A	TCGA.KN.8429.01A	TCGA.KN.8430.01A	TCGA.KN.8431.01A	TCGA.KN.8432.01A	TCGA.KN.8433.01A	TCGA.KN.8434.01A	TCGA.KN.8435.01A	TCGA.KN.8436.01A	TCGA.KN.8437.01A	TCGA.KO.8403.01A	TCGA.KO.8404.01A	TCGA.KO.8405.01A	TCGA.KO.8406.01A	TCGA.KO.8407.01A	TCGA.KO.8408.01A	TCGA.KO.8409.01A	TCGA.KO.8410.01A	TCGA.KO.8411.01A	TCGA.KO.8413.01A	TCGA.KO.8414.01A	TCGA.KO.8415.01A	TCGA.KO.8416.01A	TCGA.KO.8417.01A
hsa-mir-133a-1	3.635	4.497	1.304	1.637	1.095	6.936	1.309	1.377	1.507	3.08	3.976	0.824	4.546	3.022	0.863	3.443	3.502	10.117	3.613	1.924	5.342	7.084	2.288	0	3.28	0	0	0	2.043	0	6.031	5.985	0	2.592	1.026	2.219	0.994	3.791	0	3.866	2.757	14.552	8.583	0.963	2.185	0	4.893	11.568	4.698	3.856	0	7.044	13.206	1.867	5.398	1.908	5.995	34.813	0.996	5.545	0	3.022	4.568	0.81	11.051	6.005
hsa-mir-134	312.582	74.944	39.117	60.557	29.575	147.039	109.983	30.304	137.156	76.239	218.684	151.554	240.186	74.792	10.354	537.75	138.334	64.751	20.472	102.921	125.527	106.267	59.479	156.287	62.322	128.543	25.756	312.117	146.089	74.061	68.349	137.655	365.353	103.686	57.444	12.207	36.783	46.251	162.005	90.202	55.147	730.506	271.541	138.685	372.496	60.67	172.224	154.833	62.636	113.763	14.41	273.847	38.417	17382.476	641.432	80.133	142.377	190.946	67.704	110.104	77.803	184.33	109.644	65.635	118.404	82.573
hsa-mir-136	18.173	14.989	22.166	14.73	10.954	45.776	13.093	5.51	28.637	14.632	54.87	32.123	93.195	17.376	4.314	68.165	26.266	12.141	6.021	18.276	58.757	32.386	20.589	6.302	16.401	58.601	3.962	60.583	18.389	9.713	16.082	25.935	71.558	25.922	12.309	7.768	8.947	12.889	8.791	9.02	12.408	80.036	57.741	23.114	31.679	15.774	36.206	50.721	3.132	13.497	6.305	85.412	7.203	1976.724	39.583	19.079	11.99	72.792	14.935	22.179	7.78	34.751	6.853	11.344	25.26	16.515
hsa-mir-139	366.193	834.873	524.162	4320.827	576.167	313.499	244.842	217.64	476.277	764.698	3413.068	1008.165	553.11	1289.591	465.947	793.887	208.376	577.704	217.962	1080.194	22540.166	2850.998	668	134.861	1319.698	1011.335	695.409	1062.886	289.113	484.431	1676.559	7968.013	1032.064	504.175	840.119	190.869	598.471	826.444	498.573	652.029	323.989	942.964	142.793	445.909	990.773	1594.413	1003.011	786.622	671.77	281.516	210.752	1163.189	738.332	285.724	730.495	1011.198	1107.545	435.694	1142.009	887.165	1412.907	908.805	653.294	260.918	323.639	747.658
hsa-mir-140	5284.817	6226.323	6007	14222.721	7273.292	4796.811	5681.123	5478.192	7813.357	9151.728	16757.593	8477.975	10125.706	4941.542	6290.288	8037.332	5123.602	12117.617	6243.815	7334.355	12483.291	17308.4	6054.324	9302.86	7027.093	4301.48	5680.161	6834.37	7569.05	5521.786	14309.046	7977.988	7772.477	6177.115	6927.135	24886.274	5736.173	11056.149	5115.08	10237.893	4315.262	3589.958	4322.026	5764.078	6219.912	13302.549	11232.741	11656.953	8391.641	5668.888	13508.849	3908.704	9856.435	5007.639	9237.338	7667.933	6889.561	6551.24	13329.748	7449.017	9753.414	9316.195	13043.031	6745.773	10673.762	7604.191
hsa-mir-141	11874.481	27002.218	9018.975	2826.541	15674.821	12521.923	8392.717	20688.199	4918.014	8340.055	10220.915	10498.423	9282.402	10306.903	15267.538	30.296	3654.462	5066.797	9550.568	13321.112	78.788	518.179	20516.985	12784.027	11545.994	3525.493	7031.353	30.675	9139.253	24.282	13348.14	12402.888	6306.411	16210.067	18410.812	609.229	35529.477	11463.305	13582.027	16862.564	5044.582	170.257	7132.63	12331.371	18427.062	29.122	9590.739	92.544	4043.146	9359.449	756.546	5645.123	12718.523	27.078	3204.46	24196.249	9303.98	551.739	16138.474	16084.617	22329.529	10704.71	9705.751	15373.07	9827.566	17443.849
hsa-mir-142	9362.013	2207.842	1253.034	1410.815	2323.291	2251.366	7287.654	1159.828	3657.989	3397.629	7389.15	4722.89	2702.663	5562.539	1233.897	3980.452	3971.404	2478.764	1322.22	2845.249	2079.213	1792.374	1941.09	515.495	2395.575	3028.333	2462.658	6424.86	2398.722	1221.398	1089.562	3892.237	2587.723	2242.218	3821.054	934.373	4110.758	2922.123	5784.449	4815.482	4774.362	20841.257	6446.755	4932.934	7961.138	2121.03	3638.238	3718.657	3239.841	4159.113	1368.988	2734.068	4642.489	11732.424	12562.348	1326.005	6017.313	2404.231	2646.435	6153.915	1878.17	3670.726	1231.207	5895.765	4440.955	2504.204
hsa-mir-143	88396.19	134763.778	58311.054	210468.45	108710.528	133821.031	107845.755	94145.838	167486.775	176295.51	509809.992	171204.357	209670.462	137492.106	125615.925	213862.701	201849.949	344535.106	171564.624	210790.799	284557.08	412658.903	236290.195	105206.381	140998.896	72110.046	145922.873	112132.894	148179.302	44862.69	226803.802	294026.448	107247.967	141410.057	231467.643	93708.04	60071.746	151337.771	96132.868	140663.109	103523.544	113912.415	241131.419	134974.773	94812.692	243416.149	236054.896	359981.824	357572.542	179026.945	77251.448	135955.801	339003.73	253644.456	261236.394	269230.493	209433.964	522218.232	117943.58	110176.379	146769.582	205643.744	79443.706	168615.157	232121.574	228949.961
hsa-mir-144	17371.926	514.114	314.236	574.474	4368.357	844.782	7448.7	674.96	4508.054	803.202	1707.329	5792.83	639.486	8550.431	700.647	8134.416	1271.27	1555.045	1426.986	2222.911	1105.709	373.453	4378.604	1162.07	2024.922	667.292	3813.85	5009.979	729.424	1143.694	448.288	570.569	5249.913	533.985	864.738	883.326	2003.187	332.094	7032.765	3312.98	2626.381	915.316	382.342	1866.463	2899.13	899.132	1333.76	2900.001	1567.463	6376.535	419.703	687.699	3374.718	463.134	2007.961	415.927	1585.633	1385.149	3356.333	16212.147	3043.663	1585.687	395.174	11381.517	4401.486	561.494
hsa-mir-145	707.853	2744.439	1430.362	5877.306	3842.577	3664.885	1302.77	1775.557	2186.956	3193.556	3860.775	2016.33	4171.058	1804.067	2124.374	1691.744	2766.675	4309.003	2782.923	1859.319	4798.081	5922.627	2310.549	1082.666	2495.072	1439.498	1791.024	3410.283	1793.933	501.429	8276.249	4319.166	2253.786	2170.933	2758.339	2091.796	1678.104	2675.706	526.201	2497.299	1224.266	6378.106	3955.289	2178.504	2561.59	4801.44	10423.483	4715.282	4382.945	3896.878	1574.336	6827.684	4945.025	11602.634	4448.64	2560.429	2786.098	6223.151	2151.597	2455.546	2537.942	3348.149	3213.931	2228.333	2740.667	4059.572
hsa-mir-1468	258.971	58.456	143.427	266.778	667.084	328.758	366.609	180.448	379.816	43.125	94.631	323.7	137.899	71.014	379.661	79.871	155.844	234.724	366.079	182.758	300.464	188.245	809.836	302.491	98.403	89.791	305.108	111.963	245.185	1647.551	504.576	105.735	61.086	257.92	478.016	99.874	43.742	157.707	208.471	132.725	161.305	8.731	234.087	120.386	115.79	149.249	164.396	308.776	228.621	462.766	409.796	91.576	99.645	18.675	87.264	179.345	272.765	123.429	177.226	63.369	375.012	177.53	244.414	69.686	405.732	690.608
hsa-mir-146a	35.438	70.447	24.774	81.834	42.72	69.358	159.737	23.417	45.216	168.649	301.387	104.605	90.922	86.124	61.263	74.362	71.793	95.104	51.781	150.054	66.77	120.436	33.171	20.166	31.708	50.094	43.587	68.252	29.626	42.494	70.359	83.79	171.041	45.363	235.931	29.962	103.39	84.919	70.328	140.457	124.081	330.329	135.77	152.168	113.606	48.536	87.091	133.477	78.295	59.774	43.231	302.905	150.068	1626.572	243.798	59.146	109.406	42.198	56.752	114.064	52.906	105.007	27.411	42.136	88.409	57.05
hsa-mir-146b	286.231	861.853	315.54	238.955	420.624	346.791	764.641	698.377	492.856	185.591	1141.135	440.66	714.497	842.351	433.158	390.402	397.491	294.417	515.401	531.921	280.433	149.786	525.021	313.834	1715.499	246.69	614.179	547.547	550.644	387.302	363.857	442.889	480.544	566.387	704.715	236.367	368.825	507.998	365.453	624.969	701.747	3006.426	545.423	481.544	553.828	1526.462	456.981	820.436	228.621	437.7	167.521	338.126	372.167	4326.01	2785.236	400.663	323.721	608.706	1030.497	286.744	471.488	430.606	669.283	429.461	568.341	321.283
hsa-mir-148a	124425.809	72224.752	216952.17	140436.688	105538.321	238974.946	182008.042	256856.548	183348.613	77896.726	103825.826	100746.479	141606.835	97437.742	255771.385	108802.459	169630.444	161696.381	91447.505	77425.777	260335.649	90375.719	93029.32	117796.31	87503.549	239835.634	246590.695	117506.371	156876.201	201681.171	139274.979	129032.328	80573.128	255857.771	70982.357	280339.558	83478.712	170068.474	152619.781	79075.965	147331.034	35687.124	226253.632	154912.608	178928.971	19120.822	71288.129	162030.751	147064.333	294464.01	248911.726	172147.635	126948.719	34351.305	61940.007	144681.435	146681.557	163293.616	100542.623	125941.775	196006.582	141312.745	117613.415	107024.83	128413.524	184359.224
hsa-mir-148b	698.766	804.895	955.748	711.954	468.821	542.381	518.489	854.03	602.882	1435.444	603.569	621.866	528.107	723.742	612.634	632.769	523.567	770.946	539.485	526.15	1049.622	573.843	484.986	800.341	528.098	1818.512	594.366	900.309	598.659	565.777	400.042	658.349	1144.928	701.179	833.964	619.216	757.533	689.967	658.066	573.425	1232.538	353.612	681.193	601.93	723.144	626.117	660.519	576.619	670.204	628.591	728.626	1592.011	528.238	334.278	507.388	482.704	614.47	663.564	699.941	773.101	488.604	721.454	541.366	811.113	648.856	668.088
hsa-mir-149	12.721	53.959	62.586	14.73	10.954	31.905	10.475	28.927	25.623	66.998	14.314	14.002	33.338	17.376	14.669	46.132	17.511	63.74	19.267	9.619	22.702	15.181	8.007	90.747	55.762	17.013	41.606	15.337	51.08	7.285	26.133	3.99	9.89	32.402	11.284	88.777	78.537	32.603	35.164	76.027	26.195	46.566	24.189	11.557	163.854	137.115	37.185	37.373	14.093	25.067	136.899	32.58	20.409	33.615	113.353	9.54	14.987	286.946	7.965	32.477	15.561	18.886	20.558	25.119	15.787	27.024
hsa-mir-150	623.347	971.27	146.035	599.024	253.032	288.53	2016.347	285.136	504.914	1140.501	8755.332	1500.716	1158.501	1030.464	211.402	1123.698	763.462	265.076	151.73	1972.821	490.091	744.883	378.61	86.966	993.874	525.516	303.127	1863.501	462.786	217.326	993.069	524.684	998.903	579.348	1146.829	135.384	322.101	1426.184	816.303	2961.193	442.556	2144.953	2525.018	881.225	1524.938	683.147	718.254	1316.079	543.366	428.059	178.329	265.042	952.028	292.26	4110.382	305.267	1300.879	625.585	459.99	1527.983	420.137	1439.13	1747.446	649.053	1043.537	505.945
hsa-mir-151a	11354.723	13428.414	14048.06	12093.405	6675.217	15466.871	10786.147	11972.956	9692.843	13458.06	18118.208	9931.742	12245.71	17023.803	7696.758	15297.99	16895.979	11283.943	10810.169	14454.21	16418.706	13038.482	15465.806	18914.512	10705.192	9625.637	11683.26	7012.284	12813.955	15957.087	7500.288	9927.098	9314.174	11491.041	16065.864	15572.509	10196.867	17360.626	10570.496	15668.035	28917.769	10566.148	10643.154	10012.257	12629.895	13787.911	7419.343	9128.907	13086.2	7811.11	10171.04	8633.666	14568.555	7398.944	10224.226	18287.419	11860.776	15928.692	14194.967	15575.289	7269.934	15374.139	7937.746	15472.737	8184.112	7152.294
hsa-mir-152	546.11	1663.75	594.572	1749.607	327.517	959.917	459.57	781.025	636.041	532.131	3530.76	753.653	997.872	1095.434	852.511	896.48	534.073	1181.713	505.767	434.771	2899.147	1612.226	372.891	821.767	967.633	1103.961	536.911	1261.506	1041.013	583.988	396.022	706.228	1026.246	760.799	978.6	805.647	662.096	1032.676	583.971	939.386	1147.06	1631.27	1003.453	762.765	832.38	1055.662	429.582	1922.952	906.654	937.102	756.546	1396.532	798.359	1759.163	1460.989	581.916	511.059	995.873	1443.691	812.706	508.833	886.141	696.694	546.955	863.563	454.9
hsa-mir-153-2	22.717	4.497	3.912	16.367	19.717	47.164	9.165	44.079	24.115	16.172	52.484	22.239	16.669	21.909	9.492	62.657	24.515	28.329	12.042	50.018	12.019	44.531	11.438	11.343	21.867	7.561	11.887	9.969	10.216	15.783	6.031	15.96	8.727	20.737	27.696	296.292	12.924	10.615	28.885	25.772	17.923	341.97	8.583	41.413	22.94	15.774	15.657	17.797	34.45	28.923	10.808	16.73	12.005	50.422	25.189	15.263	41.964	54.857	14.935	27.724	14.005	52.126	9.137	13.775	9.472	25.522
hsa-mir-154	4.543	1.499	0	0	0	2.774	3.928	0	6.029	1.54	9.543	2.471	5.304	2.266	0.863	9.64	1.751	0	0	3.848	2.671	7.084	4.575	5.042	3.28	5.671	0	12.27	4.086	0	2.01	7.98	7.563	1.296	1.026	0	0.994	0.758	2.512	2.577	1.379	17.462	10.924	3.852	8.739	0	6.85	2.67	0	0	0	6.164	1.201	508.887	7.197	0	0	7.385	3.983	3.168	3.112	4.533	2.284	1.621	4.736	0
hsa-mir-155	107.223	70.447	50.852	70.377	141.303	148.426	547.294	82.648	179.358	307.265	671.958	360.765	171.237	223.62	125.978	271.973	183.861	288.346	125.238	352.049	154.906	302.609	84.644	79.404	183.686	59.546	97.08	254.602	182.867	87.416	110.564	171.57	143.116	95.91	143.61	67.692	337.013	238.835	329.033	289.934	159.927	1628.36	519.673	347.675	611.723	100.713	90.026	200.215	234.885	77.128	55.84	61.638	434.596	2419.316	696.309	145.002	413.643	86.506	93.591	262.189	122.929	308.223	205.582	181.508	137.349	133.618
hsa-mir-15a	1089.494	470.646	825.359	392.802	619.982	597.867	674.298	610.219	931.453	870.97	796.012	663.05	494.011	981.358	985.392	939.858	754.707	668.761	726.137	941.683	551.519	713.508	1314.267	801.601	647.275	445.176	560.686	553.682	602.745	596.129	365.868	476.804	600.971	474.365	819.603	625.874	495.08	373.795	921.794	551.519	471.508	477.303	739.715	578.816	724.236	550.885	410.99	608.653	616.963	590.027	708.812	475.49	846.381	946.811	804.264	875.736	479.587	542.244	516.742	690.721	1244.852	442.693	203.298	1303.778	721.478	451.898
hsa-mir-15b	3623.77	466.15	1136.988	492.64	1255.3	1653.499	3820.585	1933.966	2131.189	923.336	1030.6	1364.811	1537.343	2226.376	2182.186	2542.78	2372.686	1279.852	2432.499	2126.722	650.338	798.522	3746.063	2227.09	2029.296	344.988	2177.362	1005.37	2278.173	2882.304	1383.06	656.354	508.469	2790.459	1327.367	1727.813	4117.717	449.616	2623.472	748.674	1749.542	2821.617	5091.391	1358.916	3637.567	1732.741	1584.268	1009.973	762.592	2053.526	412.498	1169.353	1434.646	2701.305	875.334	1930.816	1100.052	1211.083	870.197	1489.17	1599.635	784.156	922.834	1926.09	2360.194	1202.558
hsa-mir-16-1	2657.856	572.57	1136.988	743.051	1415.225	1169.379	1744.009	1440.832	1638.333	988.023	777.722	1075.705	739.501	1758.739	1317.595	1509.28	1681.018	1022.87	1247.559	836.838	687.729	1051.539	1545.322	1042.334	1202.708	812.848	1143.165	1467.794	865.297	1011.356	1037.295	656.354	698.708	1106.852	992.961	983.2	1003.085	447.341	2133.691	800.218	989.891	1034.641	1473.968	1035.319	1601.403	1093.277	861.121	959.252	820.53	2074.736	900.65	846.196	1468.261	1249.342	1118.233	1364.163	953.178	956.84	722.841	1956.516	1878.17	660.262	623.598	2485.2	1261.402	935.323
hsa-mir-16-2	2676.029	559.08	1015.727	641.577	1490.806	1186.025	1717.823	1438.077	1659.434	1024.217	718.08	1124.302	773.597	1861.483	1332.264	1530.625	1707.284	978.353	1390.859	833.952	743.816	1088.986	1573.918	1041.073	1189.587	769.37	1085.709	1517.641	954.176	989.502	972.967	586.529	693.473	1152.215	996.038	1003.175	1044.838	440.517	2162.575	829.856	1104.321	1059.38	1487.232	1032.43	1602.496	1021.686	901.242	994.845	848.716	2153.792	839.406	906.073	1401.03	1355.788	1146.121	1306.926	1061.085	995.873	803.489	1988.992	1819.04	624.001	628.167	2542.731	1321.393	999.88
hsa-mir-17	2867.758	1992.004	2878.979	2134.227	1652.921	1566.107	1893.271	2157.116	2794.36	1739.629	2026.211	2085.518	1475.971	2017.865	2541.138	1891.42	1983.951	1886.896	2144.693	2702.89	1781.42	1749.867	3259.932	1865.361	2244.69	1308.119	2379.446	1849.697	2032.988	2074.919	1270.486	1619.936	1457.921	1681.015	1653.567	1404.888	1510.095	1716.577	2445.142	1526.986	2175.554	4078.903	3190.605	2074.49	1830.799	1630.815	1651.787	1870.451	1637.928	2201.997	2864.067	1222.185	1615.927	1820.79	1795.649	1682.786	1754.987	1317.633	2338.779	2157.712	2505.264	1525.251	1555.57	3227.437	1630.823	1697.994
hsa-mir-181a-2	6425.196	5289.527	3151.491	8253.761	4112.039	6425.34	14776.942	2724.633	8239.896	3298.288	6953.371	9130.317	4829.486	12169.897	5039.996	5479.404	5964.111	5579.749	16007.528	8475.148	6985.462	10421.272	5018.008	3004.744	2882.125	4025.49	5949.607	4342.033	8506.881	5992.862	3718.985	4097.721	3474.344	3136.513	3845.673	16271.624	4185.318	2972.165	13258.017	4396.689	5010.115	8934.878	5969.218	4143.202	4155.347	4016.368	7532.855	3298.651	10572.935	9720.021	9914.355	4692.382	8582.662	9639.916	8604.003	3241.557	10309.613	5728.379	3023.786	2574.363	2565.951	3618.6	5598.681	5443.616	4417.274	7168.808
hsa-mir-181c	78.145	59.955	52.155	216.041	90.916	208.074	103.436	90.913	206.487	143.236	323.653	253.689	606.906	107.277	86.287	233.415	98.059	218.536	99.949	190.453	188.291	410.9	101.801	108.393	120.271	578.446	105.005	351.228	152.219	191.83	130.667	219.45	357.79	111.463	126.172	103.203	115.32	163.772	131.864	92.779	88.235	114.96	146.694	110.755	142.007	122.554	115.469	149.494	299.086	106.051	192.739	576.752	243.71	149.398	140.341	164.081	172.351	170.902	74.674	102.975	93.364	145.046	123.349	141.803	146.821	105.092
hsa-mir-181d	18.173	13.49	13.039	42.554	12.049	34.679	6.547	13.775	12.058	26.183	11.133	42.831	108.349	19.642	21.572	36.493	10.506	41.481	37.33	45.208	52.08	79.953	24.021	22.687	41.548	64.272	29.718	29.141	27.583	36.423	28.144	35.91	41.888	22.033	19.49	38.84	15.906	33.361	8.791	10.309	9.651	18.917	24.969	29.856	19.663	24.268	23.485	10.678	39.147	15.426	63.045	79.248	34.816	43.886	8.996	20.987	35.969	30.594	18.917	14.258	14.005	19.642	6.853	19.447	23.681	18.016
hsa-mir-182	125824.25	130629.883	194817.413	283749.017	189286.34	153882.187	278820.189	342125.98	204377.153	33170.777	114749.713	138810.47	147162.183	206092.731	194512.266	163941.459	381512.216	251890.02	132485.687	68590.886	265263.264	45464.154	85475.428	119408.336	297404.478	35356.068	417637.431	28037.633	242457.855	181735.722	156641.634	139400.321	21082.844	430430.616	242027.086	17079.49	125871.713	158529.348	261209.433	253654.914	326910.723	24025.217	133699.549	148990.584	103785.357	227273.02	232383.388	174467.207	182287.616	397016.889	3180.195	27776.541	235517.168	1330.577	195629.52	209928.504	179458.303	301352.825	160858.041	101736.43	360989.901	194484.254	206680.639	201714.417	171886.885	500475.885
hsa-mir-183	28914.744	38946.747	55155.652	98732.527	32566.605	34959.29	53772.306	103516.757	50854.642	13445.739	35942.187	37080.536	38256.288	97996.791	42043.973	33580.802	78762.683	66568.484	41967.83	17352.362	127028.306	13835.992	16959.655	34761.261	112744.011	17807.995	108656.105	13805.242	55121.564	35700.993	44788.64	98028.101	17770.815	107622.559	100102.377	3633.178	47873.681	45885.825	65693.556	95899.871	119731.281	15180.561	45186.587	32153.636	50065.156	110464.672	54279.024	50830.542	44632.757	101982.133	728.626	15468.394	38532.537	412.712	54718.726	38776.578	44639.02	95939.272	42907.492	33165.71	59184.922	48320.017	69671.712	74007.411	39504.446	125430.871
hsa-mir-185	1248.511	541.094	610.218	996.736	749.237	517.412	900.81	589.557	550.13	1147.431	904.161	976.866	847.092	1361.36	700.647	1129.206	681.162	841.768	670.743	681.013	2015.114	543.481	694.308	1189.798	567.459	1136.097	842.019	1101.996	547.579	520.854	653.335	1306.722	1247.32	812.642	1452.513	287.414	812.21	530.744	926.818	811.815	1334.56	356.522	882.508	751.208	606.261	1265.581	401.204	1307.18	645.149	412.633	308.923	865.568	788.755	506.086	936.509	688.759	627.959	788.048	833.358	739.832	476.156	805.308	571.061	1161.164	626.754	507.447
hsa-mir-186	663.328	448.163	787.547	459.906	549.878	667.226	582.646	493.134	654.127	636.093	521.662	588.096	669.794	680.68	694.607	505.389	889.539	781.064	598.491	434.771	628.972	504.01	536.459	501.631	383.773	1400.746	493.324	1036.045	556.773	643.48	635.243	859.843	587.008	454.924	789.855	934.373	933.495	442.792	675.648	573.425	740.35	555.883	1227.396	541.255	627.016	742.603	688.897	530.347	601.304	701.862	793.473	1133.251	515.032	1331.511	685.513	581.916	574.005	686.773	437.09	468.93	656.659	645.153	685.273	808.682	721.478	638.061
hsa-mir-188	74.511	89.932	109.526	256.958	67.913	47.164	28.805	147.389	55.767	87.79	30.218	62.598	26.519	38.529	122.527	91.576	49.03	48.564	87.907	7.695	838.629	90.074	77.781	45.374	53.575	127.598	37.643	124.233	159.37	99.557	58.298	522.689	154.751	47.955	194.899	258.562	41.754	142.543	35.164	67.007	117.188	10.186	77.249	36.597	71.004	93.432	46.97	36.484	79.861	34.707	98.171	183.152	39.618	26.145	52.178	70.593	79.432	62.242	144.369	76.835	60.687	55.903	20.558	47.808	93.145	76.567
hsa-mir-18a	69.967	14.989	9.127	19.64	35.052	11.097	19.64	4.132	22.608	21.562	12.723	22.239	7.577	45.328	12.08	30.296	12.257	13.153	15.655	16.352	8.012	11.133	22.877	11.343	15.307	6.616	7.925	42.945	5.108	4.856	18.092	5.985	29.67	3.888	11.284	12.207	17.894	4.549	26.373	21.906	31.71	90.222	14.045	19.262	27.309	6.067	9.785	26.695	12.527	26.995	5.404	6.164	22.81	42.952	38.684	11.448	14.987	8.44	28.874	61.785	17.117	11.332	13.705	77.789	37.889	16.515
hsa-mir-190a	79.054	2.998	1.304	8.183	31.766	9.71	53.682	5.51	27.13	8.471	21.471	30.476	12.123	67.992	30.2	75.739	12.257	10.117	12.042	16.352	18.696	3.036	26.308	68.06	7.654	70.888	11.887	25.307	8.173	7.285	4.021	7.98	82.612	12.961	8.206	41.059	12.924	9.857	46.466	27.061	24.816	17.462	6.242	10.594	34.956	10.921	15.657	69.408	7.829	26.995	19.814	34.341	26.412	16.807	8.996	13.355	13.488	11.604	11.948	92.677	28.009	21.908	0	95.616	20.523	4.504
hsa-mir-191	4825.03	3155.13	7218.309	2130.953	3128.392	4889.751	6237.582	5117.295	3312.839	3758.8	1595.999	3420.677	2496.573	2226.376	3746.561	2635.044	3353.28	2911.789	6403.975	2527.827	2288.87	2171.9	4454.097	3821.47	4385.51	2365.767	4144.714	2716.263	9030.963	5242.54	3958.206	2475.79	1090.823	6497.247	6001.875	3366.849	8552.564	2236.706	4097.841	1810.477	2128.679	3234.891	8692.429	3991.997	6415.445	4786.879	3478.735	2220.16	2611.916	3146.811	3012.674	5508.64	2653.194	4837.699	2670.983	3258.728	2621.24	3688.106	2040.085	1478.872	4244.945	3483.374	3154.54	2509.509	5523.96	4025.042
hsa-mir-192	3920.905	1555.831	4197.207	1363.352	3254.36	1514.782	3836.296	2319.657	1553.93	5188.854	2509.703	3335.016	10369.681	3790.202	7723.507	3957.041	6477.171	2653.796	4934.842	3352.161	1547.725	1386.534	3863.878	2238.434	3309.633	5529.259	6114.048	2796.018	4950.684	1299.101	5144.261	1823.426	2174.083	5575.734	2004.386	4042.66	2341.194	1586.165	2187.692	920.057	2813.882	1146.691	3549.539	1290.537	1639.636	6744.1	2000.15	4417.184	3183.468	7118.889	5039.136	4740.811	2848.882	3067.331	2189.685	4724.011	4648.992	1713.239	1408.843	1764.825	3586.729	1807.034	2115.21	2171.612	3170.081	7418.027
hsa-mir-193a	328.938	464.651	226.876	422.263	386.668	389.793	487.066	469.717	492.856	702.32	925.632	708.351	781.931	494.079	729.984	623.129	640.888	597.939	435.923	954.188	1024.25	487.817	621.103	403.321	953.419	516.064	423.981	545.246	620.112	463.791	641.274	402.989	485.78	571.571	700.612	1179.618	593.5	1022.061	376.755	818.258	275.736	4713.366	586.778	648.158	552.735	667.372	666.391	759.037	447.846	460.838	543.092	289.697	324.146	2825.493	531.678	492.244	654.935	603.431	445.055	510.912	351.671	994.926	1158.111	585.039	604.652	448.895
hsa-mir-193b	474.325	227.829	204.71	1638.313	480.87	532.671	299.833	73.006	976.67	479.765	438.164	175.44	232.609	124.653	511.679	961.891	341.457	518.011	108.379	110.616	463.383	1237.76	212.753	184.015	48.108	107.75	422	57.515	112.376	494.144	796.064	422.939	73.303	404.377	7.181	179.772	136.197	51.558	346.615	105.665	19.301	356.522	505.628	208.027	52.433	78.871	24.464	49.831	450.978	582.314	156.713	101.262	291.731	1132.625	150.237	406.387	470.594	113.935	38.83	89.509	516.613	43.816	219.287	145.044	1438.219	465.41
hsa-mir-195	66.333	65.95	16.951	101.474	62.436	80.455	43.207	66.118	99.476	57.757	295.82	65.893	191.694	64.215	94.052	72.297	126.076	88.021	52.985	44.247	148.229	103.231	137.26	59.238	83.096	51.039	67.362	133.436	62.318	81.346	64.328	81.795	119.263	53.139	70.779	72.131	13.918	40.943	42.699	57.987	31.71	112.05	230.186	39.487	28.401	53.39	91.005	91.654	82.993	52.061	65.747	114.47	88.84	82.169	126.847	93.488	65.943	154.023	68.7	91.093	66.911	68.746	13.705	64.824	91.566	66.058
hsa-mir-196b	4526.987	140.894	4597.5	2461.562	219.075	1355.259	2282.138	2248.029	4055.892	2197.061	1823.431	2097.049	1793.441	2417.51	5132.323	4130.554	2162.559	4996.987	4195.458	198.148	5113.235	1877.388	243.637	3971.455	2161.594	3004.703	4317.081	199.387	4422.516	3636.269	247.262	237.404	338.01	4328.906	220.544	4897.134	5256.999	1862.152	2499.143	2486.99	4118.111	5679.614	6268.069	2662.937	1267.14	2204.755	3910.274	1861.553	3983.642	5024.871	16426.054	1493.391	264.119	1129.824	3703.752	326.254	2460.879	2474.913	1566.156	866.57	172.723	2820.846	2567.49	3810.045	4189.937	5620.946
