	TCGA.KL.8323.01A	TCGA.KL.8324.01A	TCGA.KL.8325.01A	TCGA.KL.8326.01A	TCGA.KL.8327.01A	TCGA.KL.8328.01A	TCGA.KL.8329.01A	TCGA.KL.8330.01A	TCGA.KL.8331.01A	TCGA.KL.8332.01A	TCGA.KL.8333.01A	TCGA.KL.8334.01A	TCGA.KL.8335.01A	TCGA.KL.8336.01A	TCGA.KL.8337.01A	TCGA.KL.8338.01A	TCGA.KL.8339.01A	TCGA.KL.8340.01A	TCGA.KL.8341.01A	TCGA.KL.8342.01A	TCGA.KL.8343.01A	TCGA.KL.8344.01A	TCGA.KL.8345.01A	TCGA.KL.8346.01A	TCGA.KM.8438.01A	TCGA.KM.8439.01A	TCGA.KM.8440.01A	TCGA.KM.8441.01A	TCGA.KM.8442.01A	TCGA.KM.8443.01A	TCGA.KM.8476.01A	TCGA.KM.8477.01A	TCGA.KM.8639.01A	TCGA.KN.8418.01A	TCGA.KN.8419.01A	TCGA.KN.8421.01A	TCGA.KN.8422.01A	TCGA.KN.8423.01A	TCGA.KN.8424.01A	TCGA.KN.8425.01A	TCGA.KN.8426.01A	TCGA.KN.8427.01A	TCGA.KN.8428.01A	TCGA.KN.8429.01A	TCGA.KN.8430.01A	TCGA.KN.8431.01A	TCGA.KN.8432.01A	TCGA.KN.8433.01A	TCGA.KN.8434.01A	TCGA.KN.8435.01A	TCGA.KN.8436.01A	TCGA.KN.8437.01A	TCGA.KO.8403.01A	TCGA.KO.8404.01A	TCGA.KO.8405.01A	TCGA.KO.8406.01A	TCGA.KO.8407.01A	TCGA.KO.8408.01A	TCGA.KO.8409.01A	TCGA.KO.8410.01A	TCGA.KO.8411.01A	TCGA.KO.8413.01A	TCGA.KO.8414.01A	TCGA.KO.8415.01A	TCGA.KO.8416.01A	TCGA.KO.8417.01A
hsa-mir-10a	847836.875	1096460.942	1149228.849	1453308.423	658733.55	1606024.384	1071100.5	1611567.875	1441357.814	578302.315	617306.537	478338.832	788334.418	463160.927	872932.315	526134.344	1472293.07	872408.737	1032589.731	1260596.193	606495.93	1519783.215	1404925.633	670727.233	739150.287	737258.187	891775.324	602962.867	1167084.401	2101520.372	936924.871	943303.766	559506.07	1402728.768	624288.386	717323.04	634532.054	607144.24	1086942.644	570248.709	646819.14	333508.137	764611.509	925064.708	592018.943	1059537.206	1448134.112	201009.465	924312.884	1531033.532	1396436.132	596691.53	725111.855	68309.506	353854.476	997991.295	914092.033	685135.231	790177.877	505466.971	848234.226	510346.471	935251.534	428061.237	826573.257	1206454.099
hsa-mir-10b	1195288.123	2276101.908	204972.072	1423840.058	1649350.5	206949.507	1026184.408	2264578.849	976921.284	559310.401	406316.566	791518.178	572002.387	439174.694	1399964.38	580310.076	590257.84	1030122.907	121570.752	493134.12	1548494.336	970628.618	1217995.389	55654.569	1603429.194	3224445.621	2012873.02	2065080.066	1839073.849	1735936.372	1732172.499	1315356.488	979473.486	1891810.872	767944.622	1878150.196	2025200.044	1539638.91	682749.572	1271274.42	771126.253	207118.907	238541.637	844945.468	1625441.894	1886916.227	1997449.307	1194095.513	222556.219	2074348.216	908457.684	2636319.124	355766.873	132823.365	348437.841	1591871.651	701395.382	1638030.51	1699650.43	2358511.33	1338704.273	1441893.429	1610062.757	316443.609	658642.658	2449558.448
hsa-mir-1180	79.054	43.467	74.321	93.291	73.39	76.294	54.991	38.569	63.303	55.446	58.846	43.654	24.246	84.613	16.394	42.001	5.253	31.364	34.922	26.933	141.552	80.966	48.041	49.155	19.681	160.679	29.718	105.062	27.583	50.993	24.123	55.86	185.004	19.441	15.387	72.131	37.777	60.656	33.908	55.41	71.691	177.533	81.15	18.299	49.156	29.122	35.228	50.721	32.884	53.989	74.754	147.05	55.225	76.567	21.591	40.066	26.977	28.484	33.852	93.469	40.458	71.012	61.675	81.841	34.732	18.016
hsa-mir-125a	6056.276	8233.316	9784.355	5291.376	5025.582	7736.21	5433.662	11798.018	9555.687	11157.037	4814.24	5724.466	3862.68	5422.777	8382.736	4225.572	4220.055	6143.289	3966.659	7213.158	5073.173	7051.083	7312.543	5678.009	6988.825	9464.012	9468.255	3490.038	7134.869	7196.048	9524.622	4231.386	3415.585	7766.109	3915.426	7392.863	10164.061	7078.604	4880.236	5981.661	3810.666	2788.148	2497.708	6307.259	7211.777	7843.444	8854.872	3132.25	5526.05	7120.817	16559.35	7547.964	6182.782	5886.287	3696.555	6183.571	6227.132	4325.295	5916.146	6814.536	7207.692	4069.603	12085.933	4404.808	5623.42	9413.283
hsa-mir-125b-1	10519.656	2461.151	8123.205	2250.431	6164.773	3029.565	2449.731	1907.794	8110.276	6486.452	1139.545	9910.327	2364.736	3007.534	2703.357	5383.009	705.677	3154.607	14440.854	6694.703	2681.477	1681.046	9783.229	9228.497	1684.884	726.838	3587.991	813.652	8715.288	7794.606	8203.88	2399.98	1544.024	1727.674	1990.025	3027.279	629.289	1545.981	6632.148	2474.104	1468.292	1851.004	5573.611	916.859	2840.142	349.46	1231.991	1559.006	7837.314	14179.932	7849.164	1618.427	7386.924	1320.306	1620.223	8686.763	10588.373	3810.48	2329.819	1453.525	11560.005	3056.546	4785.49	5365.017	8531.432	3597.165
hsa-mir-125b-2	10765.906	2561.576	8071.05	2546.669	6482.431	3196.024	2420.926	2037.276	8167.55	6571.932	1331.987	10212.612	2520.819	2986.38	3032.971	5453.928	674.158	3235.546	14535.987	6907.279	2720.204	1841.965	10323.119	9624.256	1742.833	813.794	3708.846	832.824	9167.857	7741.185	8320.475	2366.065	1723.791	1767.853	2122.352	3269.195	651.16	1572.518	6772.803	2644.198	1527.575	1807.348	5631.352	950.567	2950.471	320.339	1393.451	1750.323	7779.375	14131.727	8279.675	1671.259	7473.363	1483.71	1751.568	8803.146	10715.763	3937.074	2490.118	1454.317	11794.971	3286.958	5139.548	5403.911	8593.002	3630.194
hsa-mir-126	14074.368	20919.787	15595.772	28072.28	25409.422	19692.17	8933.464	21693.751	16267.276	29100.091	21897.076	22565.926	10021.903	17090.285	12307.047	11205.994	32123.197	19088.51	17394.775	19095.293	22222.342	36055.963	16064.032	9977.163	32935.605	17104.787	13145.402	21609.706	10730.909	14988.225	24267.884	24482.587	8557.87	24666.986	18605.711	8727.84	17995.875	25821.439	16472.995	13562.47	13792.294	23390.753	9907.341	26565.803	26926.735	42103.91	35168.001	17771.959	21247.654	26931.073	17320.399	27989.631	27182.63	16516.9	16939.019	20897.454	36084.394	18150.416	23258.36	21424.241	26207.242	18108.108	14157.741	12708.793	13573.881	30590.918
hsa-mir-1266	16.356	88.434	52.155	16.367	31.766	12.484	36.661	59.231	7.536	43.895	16.7	13.179	11.365	7.555	6.903	16.525	40.274	24.282	10.838	17.314	13.354	9.109	12.582	51.676	41.548	38.752	33.681	21.472	29.626	23.068	8.041	27.93	8.145	40.178	48.212	8.878	24.853	23.504	21.349	24.483	57.904	2.91	25.75	19.262	16.385	21.841	6.85	56.06	17.225	42.42	8.106	21.133	24.011	0.934	12.595	26.711	19.483	27.429	24.891	22.179	37.346	81.588	70.812	50.239	15.787	24.021
hsa-mir-127	1069.503	185.86	315.54	425.536	205.931	674.161	293.287	143.257	516.972	397.365	1572.938	997.457	1456.271	454.039	108.721	3069.513	532.322	243.829	126.442	464.589	913.412	868.355	392.336	729.76	479.99	785.438	103.023	1624.236	575.162	344.808	396.022	766.078	1659.214	387.528	199.003	98.764	236.605	204.715	465.921	237.102	272.978	1482.84	1114.254	461.319	1426.625	411.344	745.653	941.455	203.567	318.152	78.357	1569.117	144.065	43263.839	1330.544	364.413	521.55	955.785	447.046	413.482	339.222	934.49	705.831	312.777	459.409	261.23
hsa-mir-1271	5.452	4.497	2.608	16.367	13.145	9.71	13.093	6.887	12.058	11.551	6.362	9.884	8.335	6.044	4.314	6.197	17.511	13.153	4.817	6.733	9.348	16.193	10.295	11.343	10.934	20.794	7.925	14.571	6.13	2.428	8.041	17.955	11.635	23.329	5.129	9.987	8.947	6.066	5.023	2.577	9.651	11.642	17.166	15.409	12.016	14.561	23.485	13.348	4.698	9.641	27.019	23.775	16.808	69.097	7.197	17.171	5.995	21.099	2.987	3.168	15.561	3.777	45.685	4.052	6.315	10.509
