	TCGA.N5.A4R8.01A	TCGA.N5.A4RA.01A	TCGA.N5.A4RD.01A	TCGA.N5.A4RF.01A	TCGA.N5.A4RJ.01A	TCGA.N5.A4RM.01A	TCGA.N5.A4RN.01A	TCGA.N5.A4RO.01A	TCGA.N5.A4RS.01A	TCGA.N5.A4RT.01A	TCGA.N5.A4RU.01A	TCGA.N5.A4RV.01A	TCGA.N5.A59E.01A	TCGA.N5.A59F.01A	TCGA.N6.A4V9.01A	TCGA.N6.A4VC.01A	TCGA.N6.A4VD.01A	TCGA.N6.A4VE.01A	TCGA.N6.A4VF.01A	TCGA.N6.A4VG.01A	TCGA.N7.A4Y0.01A	TCGA.N7.A4Y5.01A	TCGA.N7.A4Y8.01A	TCGA.N7.A59B.01A	TCGA.N8.A4PI.01A	TCGA.N8.A4PL.01A	TCGA.N8.A4PM.01A	TCGA.N8.A4PN.01A	TCGA.N8.A4PO.01A	TCGA.N8.A4PP.01A	TCGA.N8.A4PQ.01A	TCGA.N8.A56S.01A	TCGA.N9.A4PZ.01A	TCGA.N9.A4Q1.01A	TCGA.N9.A4Q3.01A	TCGA.N9.A4Q4.01A	TCGA.N9.A4Q7.01A	TCGA.N9.A4Q8.01A	TCGA.NA.A4QV.01A	TCGA.NA.A4QW.01A	TCGA.NA.A4QX.01A	TCGA.NA.A4QY.01A	TCGA.NA.A4R0.01A	TCGA.NA.A4R1.01A	TCGA.NA.A5I1.01A	TCGA.ND.A4W6.01A	TCGA.ND.A4WA.01A	TCGA.ND.A4WC.01A	TCGA.ND.A4WF.01A	TCGA.NF.A4WU.01A	TCGA.NF.A4WX.01A	TCGA.NF.A4X2.01A	TCGA.NF.A5CP.01A	TCGA.NG.A4VU.01A	TCGA.NG.A4VW.01A	TCGA.QM.A5NM.01A	TCGA.QN.A5NN.01A
hsa-mir-188	72.817	369.695	254.323	68.175	37.237	20.551	64.709	13.764	9.239	29.121	30.047	11.265	49.273	34.768	4.112	5.686	18.47	36.797	26.268	38.722	9.932	311.477	10.275	8.017	2.849	23.852	56.562	519.55	16.593	9.155	103.097	25.981	100.43	301.716	15.813	118.937	8.921	15.159	62.483	361.522	109.464	60.602	18.21	49.403	19.943	29.995	15.847	5.761	37.153	19.179	15.486	59.479	22.903	514.48	21.438	34.446	79.084
hsa-mir-18a	901.299	631.357	482.143	582.029	301.621	87.912	1884.897	1384.445	346.45	332.993	607.982	724.309	1195.394	471.389	200.099	753.38	137.981	578.713	98.506	1089.318	988.228	277.324	655.574	211.869	250.723	1770.72	1044.962	402.165	402.748	355.504	591.976	317.116	234.336	336.827	553.468	1091.153	476.379	840.065	168.649	613.848	215.612	1558.637	176.029	216.679	575.029	420.554	223.37	314.945	264.294	451.949	801.747	308.318	151.163	780.018	180.692	166.622	107.592
hsa-mir-190a	60.186	79.27	49.947	30.526	59.58	47.952	77.233	34.41	27.056	17.726	20.458	10.701	57.842	70.345	39.746	17.058	67.361	5.575	12.404	15.343	9.932	75.137	24.661	32.067	28.491	18.173	22.05	24.311	15.838	10.68	64.297	47.376	74.605	19.638	24.599	22.526	41.036	16.422	48.106	33.931	39.805	31.896	88.621	11.267	20.774	56.24	29.431	30.726	19.421	9.172	19.709	30.346	44.662	40.107	68.908	64.886	103.913
hsa-mir-191	5034.794	2777.271	3991.185	4266.517	3637.329	13321.559	6370.661	2666.805	2148.651	14770.709	5560.704	3652.522	5814.159	5477.173	2365.553	6127.967	10311.656	4371.008	5104.786	4271.791	13462.739	1472.684	8917.042	8306.407	6176.893	2344.301	13547.121	3869.537	3169.193	4917.557	2702.69	3957.453	11531.261	3702.714	3990.237	6101.807	8515.946	10858.948	3089.868	3348.091	2187.075	4313.363	6749.801	11629.604	3806.657	4154.294	6771.292	8684.042	8312.168	3909.108	4237.504	6009.773	12122.792	3385.609	9814.007	3045.656	5627.871
hsa-mir-192	1718.636	1428.972	2177.798	1009.393	38586.672	823.178	1932.907	2997.145	3381.354	9641.604	1292.042	3341.058	25314.299	2064.249	531.77	1674.494	2087.103	1503.092	1266.711	1194.523	1082.581	1188.529	1387.187	1265.487	2002.931	726.915	2902.886	10038.153	1058.157	5242.546	3004.221	12459.979	2844.556	1386.584	2784.03	7522.739	76920.068	1349.157	4014.396	2489.938	1728.21	4232.56	1447.08	1142.333	3504.185	3631.883	1051.954	3057.274	3582.744	2664.998	4094.611	3454.618	1716.613	1602.909	5154.306	1741.519	3626.85
hsa-mir-193a	1519.503	507.892	420.473	1351.284	1091.05	431.569	1250.336	406.043	519.345	1115.463	689.174	343.568	459.52	415.599	1566.528	608.39	1503.67	750.431	480.124	459.544	1167.002	815.577	1115.915	925.352	1252.188	2389.734	1277.922	375.771	512.863	1867.542	848.055	492.103	1011.95	417.165	1120.113	336.987	2082.152	655.63	1163.954	372.01	2452.443	1563.953	2052.862	1176.134	1450.036	765.495	2515.935	528.11	615.56	349.385	840.462	1273.329	1434.901	744.06	1643.069	744.992	3912.842
hsa-mir-193b	336.594	173.273	202.847	308.313	185.441	199.801	505.144	161.729	163.656	250.694	159.827	41.679	110.328	53.365	291.925	244.493	272.703	218.55	183.877	186.302	690.27	336.067	515.828	231.338	292.035	188.544	237.753	261.859	472.89	216.659	200.651	131.431	263.987	311.237	50.076	126.145	271.197	117.483	448.44	219.011	803.844	83.992	417.614	2843.697	82.266	168.096	137.343	585.722	52.352	89.222	249.182	566.868	706.571	344.37	225.099	435.78	765.096
hsa-mir-195	17.833	13.329	22.425	15.263	10.426	42.244	41.747	21.793	66.65	15.194	8.311	13.517	12.854	13.745	26.04	41.223	159.711	8.92	373.592	8.037	139.047	32.787	14.386	20.614	202.288	6.815	3.835	14.586	127.462	4.577	23.28	64.187	77.474	13.092	4.393	29.734	21.41	25.265	26.541	14.806	72.976	23.39	150.535	276.483	13.295	94.984	66.407	97.94	5.911	5.837	13.374	104.391	195.824	9.681	356.789	86.515	23.909
hsa-mir-196b	229.597	4773.062	2042.227	7030.138	17751.716	3752.825	99200.287	25756.177	21870.574	6702.909	17930.683	376.798	26709.997	21411.428	10825.901	19366.139	12606.274	547.491	2157.64	61096.769	2890.193	3870.235	29691.96	19990.119	3028.615	14843.834	581.919	1923.308	3950.555	17282.396	3256.975	21457.664	6313.691	2489.9	15714.085	8680.569	12744.481	7550.481	12198.013	1132.071	7258.923	12355.333	32730.467	10378.932	370.611	4181.79	5766.125	6298.907	7977.79	2463.205	15452.107	12002.552	3622.18	10910.569	2904.848	15495.834	6449.062
hsa-mir-197	3064.27	5993.686	3719.534	4275.675	2679.589	6081.929	2882.661	2593.396	2828.353	5167.089	2466.452	4560.443	3778.989	1902.537	2719.153	2742.02	2264.197	2927.015	1829.288	2732.427	3059.036	5650.297	8684.816	6140.763	3709.554	3112.105	2919.184	2629.702	3153.354	3382.632	2892.256	1344.877	3610.693	2552.98	4100.052	4826.843	1429.137	2921.911	2357.213	1802.676	2413.744	4426.061	2867.452	2561.148	2470.463	1961.542	1797.528	2584.856	3393.601	3844.068	3869.362	3559.009	2726.655	3360.715	3347.389	2088.381	1838.254
