	TCGA.N5.A4R8.01A	TCGA.N5.A4RA.01A	TCGA.N5.A4RD.01A	TCGA.N5.A4RF.01A	TCGA.N5.A4RJ.01A	TCGA.N5.A4RM.01A	TCGA.N5.A4RN.01A	TCGA.N5.A4RO.01A	TCGA.N5.A4RS.01A	TCGA.N5.A4RT.01A	TCGA.N5.A4RU.01A	TCGA.N5.A4RV.01A	TCGA.N5.A59E.01A	TCGA.N5.A59F.01A	TCGA.N6.A4V9.01A	TCGA.N6.A4VC.01A	TCGA.N6.A4VD.01A	TCGA.N6.A4VE.01A	TCGA.N6.A4VF.01A	TCGA.N6.A4VG.01A	TCGA.N7.A4Y0.01A	TCGA.N7.A4Y5.01A	TCGA.N7.A4Y8.01A	TCGA.N7.A59B.01A	TCGA.N8.A4PI.01A	TCGA.N8.A4PL.01A	TCGA.N8.A4PM.01A	TCGA.N8.A4PN.01A	TCGA.N8.A4PO.01A	TCGA.N8.A4PP.01A	TCGA.N8.A4PQ.01A	TCGA.N8.A56S.01A	TCGA.N9.A4PZ.01A	TCGA.N9.A4Q1.01A	TCGA.N9.A4Q3.01A	TCGA.N9.A4Q4.01A	TCGA.N9.A4Q7.01A	TCGA.N9.A4Q8.01A	TCGA.NA.A4QV.01A	TCGA.NA.A4QW.01A	TCGA.NA.A4QX.01A	TCGA.NA.A4QY.01A	TCGA.NA.A4R0.01A	TCGA.NA.A4R1.01A	TCGA.NA.A5I1.01A	TCGA.ND.A4W6.01A	TCGA.ND.A4WA.01A	TCGA.ND.A4WC.01A	TCGA.ND.A4WF.01A	TCGA.NF.A4WU.01A	TCGA.NF.A4WX.01A	TCGA.NF.A4X2.01A	TCGA.NF.A5CP.01A	TCGA.NG.A4VU.01A	TCGA.NG.A4VW.01A	TCGA.QM.A5NM.01A	TCGA.QN.A5NN.01A
ENSG00000004846.16	9.561192324	13.02469674	11.75863143	34.25462734	6.63834707	11.070554	0	1.770099751	0	4.57626605	5.019468577	19.4641235	2.723298976	23.25667951	73.47191203	4.930098408	2.964076018	9.420071792	15.85686512	0.958493536	1.143600456	87.92548006	2.352830665	3.404143586	42.89125232	1.957662997	19.39370159	32.92408423	20.96008903	29.10634705	28.29293896	12.55546969	21.51172592	17.00222673	0.967502661	54.85291295	12.77368893	0	0	25.76035977	99.12758499	22.16513678	32.44292385	0	14.65001696	2.817794523	1.575723192	11.61244903	9.488293808	3.032665797	18.23906077	36.04788523	5.517857572	5.698291461	2.126545082	16.1453119	0
ENSG00000004848.8	130.1793109	380.9723796	101.6281717	4.893518192	29.39839417	75.91237028	0	23.01129676	0.962621233	12.20337613	3.011681146	0	32.67958772	1517.713678	0.94194759	62.11923994	497.223752	78.18659587	427.2026015	0.958493536	66.32882642	778.0072781	0	0	2483.64629	22.51312447	0	43.89877897	1.497149217	21.62185781	51.59300635	58.06904733	6.883752296	324.1049471	1.935005322	267.5478816	12.77368893	26.44775057	71.723836	471.0465786	499.9106657	5426.958752	58.2064222	103.958879	51.27505934	39.44912332	0.787861596	1.055677184	150.7584461	2.021777198	1438.859239	3.003990436	7.35714343	523.1031561	2558.233733	80.72655951	29.61194809
ENSG00000004939.15	7.354763326	2.17078279	19.31775164	1.631172731	11.38002355	0	5.590735045	10.6205985	5.7757274	6.101688067	2.007787431	9.083257633	10.89319591	6.890868003	1.88389518	0.986019682	2.223057013	6.594050254	4.66378386	7.66794829	4.574401822	62.61359944	16.46981465	2.269429057	4.855613471	0	6.844835854	46.25049927	0.748574608	9.147709072	2.496435791	13.34018655	2.581407111	43.568206	0.967502661	3.358341609	3.83210668	1.017221176	12.50997139	12.88017988	9.400029611	3.499758438	9.542036426	3.998418422	5.493756358	7.044486308	2.363584788	0	0	19.20688338	4.053124616	0	2.758928786	29.6311156	1.063272541	4.036327975	0
ENSG00000004948.16	5.883810661	27.13478487	15.11824041	9.787036384	8.535017661	0	6.522524219	6.195349128	0.962621233	2.288133025	2.007787431	0	10.89319591	7.752226504	9.419475901	0.986019682	9.633247058	3.768028717	38.24302765	10.5434289	1.143600456	864.6005539	1.176415332	13.61657434	12.94830259	14.68247248	1.140805976	10.19078798	5.240022258	10.8109289	12.48217895	4.708301135	6.023283259	8.501113366	10.64252927	31.34452169	0	0	48.37188939	41.40057819	51.27288879	8.166103023	7.633629141	7.996836845	9.156260597	7.044486308	26.78729426	5.278385921	5.271274338	9.09799739	25.33202885	2.002660291	25.750002	60.40188949	7.442907787	9.418098609	4.555684322
ENSG00000005001.10	4.412857996	79.23357183	23.51726286	954.2360475	621.1596187	41.11920057	40.99872366	18.58604738	980.9110368	257.7963208	356.382269	54.4995458	601.8490738	377.2750232	1245.254714	2212.628166	1124.866849	1070.120156	87.67913656	842.5158183	5.718002278	0	0	939.5436298	212.0284549	508.0135478	624.0208687	30.57236393	71.11458779	177.132912	262.125758	503.7882214	425.9321733	30.81653595	716.9194719	269.786776	6.386844467	1871.686964	276.8873669	8.280115639	46.14559991	3.499758438	489.5064687	11.99525527	236.2315234	870.6985076	53.57458853	2656.083795	7.379784073	2445.339521	199.6163873	9.011971308	575.6964734	1.139658292	74.42907787	495.1228983	482.9025381
ENSG00000005100.13	2907.337943	1300.298891	1117.909888	995.0153657	970.1470075	1458.150113	966.2653735	2194.923691	1891.550724	1542.201659	2301.92829	1494.844685	1265.426258	1349.74877	1374.301534	1483.959621	1832.539998	834.6183607	1477.486727	2055.968635	2557.090619	1815.794384	1906.969254	719.4090112	4055.246517	2465.676545	1278.843499	1307.556488	1752.413158	1945.967203	1309.796645	1103.311899	1475.704398	1159.339335	547.6065062	1748.576531	2579.007796	1939.840782	769.7802398	1590.702216	1088.694339	1529.394438	1164.128444	1648.347995	834.1353404	1614.596262	1537.905835	1524.397854	1216.610117	873.4077494	4357.108962	1482.969945	1739.044778	1776.727278	2613.523906	863.7741867	1502.236905
ENSG00000005102.14	134.5921689	351.6668119	288.9263723	1148.345602	1454.746344	1190.875309	302.8314816	3318.051983	1926.205088	111.3558072	1221.738652	1550.641839	1831.872445	205.8646816	1245.254714	869.6693592	25.19464615	554.8422285	1192.995911	138.9815627	6.861602734	229.1391299	1344.642725	14.75128887	18.61318497	1427.136325	185.951374	997.9133148	344.3443198	412.4785182	1197.457034	607.3708464	49.04673511	297.5389678	1438.676457	500.3928998	38.3210668	14.24109646	234.3534641	874.9322192	858.8208872	1406.902892	169.8482484	198.9213165	971.4792494	641.048254	5143.160499	27.44760679	3338.825165	139.5026266	1229.11004	35.04655509	126.9107242	169.8090855	12.75927049	25.56341051	58.0849751
ENSG00000005381.8	139.7405032	1103.843049	103.3079761	4.893518192	14.22502944	126.5206171	82.92923649	15.04584788	23.1029096	240.2539676	6.023362293	18.16651527	16.33979386	7.752226504	0.94194759	27.60855109	42.97910226	28.26021537	33.57924379	5.750961217	4.574401822	2.664408487	19.99906065	0	135.9571772	53.83573242	12.54886573	635.7483883	3.742873042	9.147709072	106.5145937	90.24243842	22.37219496	533.4448637	8.70752395	95.15301227	30.65685344	3.051663528	12.50997139	490.3668484	460.6014509	10.49927532	20.03827649	1.999209211	62.26257206	57.76478772	4.727169576	12.66812621	93.82868321	24.26132637	43.57108962	14.01862203	6.437500501	560.7118798	3.189817623	4.036327975	3.416763241
ENSG00000005421.9	2.94190533	167.1502748	132.7045547	4.893518192	6.63834707	126.5206171	1.863578348	2.655149626	17.3271822	95.33887605	2.007787431	37.63063877	0.907766325	6.029509503	48.0393271	6.902137771	5.928152036	14.13010769	5.596540632	0	0	10.65763395	11.76415332	11.34714529	39.65417668	0.978831499	0	1.567813535	21.70866364	22.45346772	7.489307373	18.83320454	25.81407111	8.501113366	1.935005322	10.07502483	109.8537248	4.068884703	31.69192753	0.920012849	17.94551108	3.499758438	11.45044371	0	8.240634538	1.408897262	13.39364713	19.00218931	44.27870444	4.043554395	7.092968077	0	3.678571715	4.558633169	15.94908811	1.345442658	0
ENSG00000005471.19	44.12857996	31.47635045	146.1429906	96.23919111	28.45005887	101.2164937	18.63578348	89.39003741	129.9538665	297.4572933	155.6035259	90.83257633	66.26694176	31.00890601	97.96254937	128.1825586	65.9506914	90.4326892	210.8030305	109.2682631	8.005203189	2.664408487	9.411322659	36.31086492	76.88054662	114.5232853	152.8680007	116.8021083	44.16590189	60.70752384	167.261198	81.610553	136.8145769	77.57265946	203.1755588	61.56959617	314.2327478	14.24109646	78.39582074	139.841953	5.127288879	397.8058758	42.93916392	11.99525527	277.4346961	38.04022606	31.51446384	12.66812621	140.2158974	48.52265274	264.4663812	40.05320581	457.9821785	9.117266338	20.20217828	20.18163988	54.66821186
