	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
hsa-mir-1468	30.043	15.319	31.841	22.798	36.157	7.534	32.256	45.677	48.919	6.7	155.071	22.576	16.039	128.68	124.774	56.485	63.935	195.47	9.696	62.496	80.989	17.77	60.416	97.188	16.23	152.198	24.838	20.58	144.06	3.796	0.966	56.166	20.53	44.522	15.934	9.368	14.84	14.911	41.1	27.42	29.309	12.056	28.063	93.59
hsa-mir-146a	1456.691	335.829	428.401	771.334	942.214	407.765	419.323	582.009	4122.567	318.236	285.912	203.186	678.552	622.436	405.515	156.459	323.879	591.359	454.807	126.267	460.679	725.591	297.129	414.999	748.593	360.965	673.866	407.022	321.135	201.191	262.646	26.211	340.795	671.471	236.492	255.75	239.779	182.86	327.657	147.717	46.406	818.249	798.714	574.062
hsa-mir-146b	5777.464	2280.102	4471.43	1248.194	2919.163	837.189	1962.89	3360.918	5811.396	3688.188	2800.97	4673.286	1099.255	5593.248	10140.806	512.365	1913.829	3477.638	1749.597	1785.601	4426.52	2559.807	1956.102	6750.658	1761.933	4598.263	2566.952	1439.442	3397.425	862.97	1721.686	681.487	4082.703	4470.416	2286.09	1288.116	1241.854	821.693	1659.978	597.059	3640.391	7775.721	3784.178	3286.189
hsa-mir-148a	233961.094	62409.986	88612.329	154529.038	128219.841	76982.797	61365.691	139894.359	110166.369	46016.455	646791.526	67508.671	136730.789	585484.458	824321.866	118439.8	105124.34	914085.57	77341.013	101862.141	444757.697	62196.5	169460.821	651637.794	155950.872	764126.504	159553.862	47008.806	739148.575	45174.315	130184.746	342342.268	43235.861	161451.076	62121.93	63836.204	70152.279	74599.831	112128.441	60209.182	52832.689	41935.639	56524.14	605572.983
hsa-mir-148b	345.107	456.02	310.446	1002.165	994.323	612.118	627.641	396.356	526.995	617.809	533.057	420.483	478.688	534.962	613.147	910.76	845.45	543.11	935.175	437.472	586.951	430.419	442.723	453.307	627.885	596.67	434.125	655.123	561.235	1076.814	1299.713	1670.017	379.118	442.499	925.841	447.796	605.306	1829.385	1302.638	655.438	1097.857	505.836	591.48	620.197
hsa-mir-149	88.588	141.402	75.983	42.746	59.553	25.426	80.639	85.46	17.789	34.456	24.23	16.932	217.137	12.29	22.42	163.457	137.123	21.032	8.814	142.848	47.026	57.258	121.823	25.538	160.268	20.203	49.676	109.759	22.509	49.349	29.934	37.444	138.234	42.705	18.45	47.777	214.005	90.253	57.083	471.455	36.636	32.499	43.174	21.091
hsa-mir-150	10078.978	3463.163	995.018	2373.848	11165.133	597.051	2165.16	1642.886	92583.199	1200.205	2212.185	761.949	1659.369	4681.643	2627.076	151.46	3459.194	2275.125	1568.908	635.164	3360.602	1016.815	3511.079	4081.183	1845.11	1460.023	13957.872	416.169	2033.353	208.783	411.351	331.382	2480.006	11721.213	2285.251	1294.673	433.477	536.808	1339.171	353.813	359.032	7468.026	3089.081	1818.411
hsa-mir-151a	4632.756	8506.489	4842.662	16172.373	5964.876	4706.717	6232.731	8067.088	3770.125	5042.486	5737.628	5265.913	6246.384	6005.314	6254.293	14028.804	8216.427	5751.526	8428.035	13222.373	5502.888	4424.626	5202.736	4815.412	8345.092	6031.348	5269.974	6059.604	6401.686	10013.992	6263.924	6812.996	5600.543	3656.292	8003.83	5123.422	11754.66	7831.589	8081.833	16162.162	7803.455	6471.032	7508.993	6805.694
hsa-mir-152	861.998	631.594	815.553	1166.501	548.739	417.182	766.072	741.141	648.181	986.292	1715.473	428.949	734.07	1909.96	1954.467	1041.726	1060.808	1375.714	785.336	447.676	1301.918	1093.817	386.268	1442.212	615.713	1710.543	996.759	307.553	1560.655	558.02	479.909	673.998	1145.566	470.666	1842.457	776.617	792.756	394.758	642.756	1160.505	550.76	572.407	824.618	2304.155
hsa-mir-153-2	19.258	35.35	70.194	16.149	63.807	25.426	155.902	22.102	141.199	13.399	50.883	11.288	154.216	24.579	47.765	7.498	116.092	38.352	31.731	246.158	25.255	31.59	89.139	62.427	24.345	26.938	48.596	17.15	36.015	16.45	6.759	308.916	28.742	69.964	14.257	51.525	88.258	25.899	50.233	29.19	484.816	23.064	57.205	20.432
hsa-mir-154	68.559	25.924	46.314	16.149	6.381	345.611	30.912	16.208	10.006	56.948	38.768	42.33	9.87	49.159	20.471	24.494	18.507	33.403	517.387	21.682	31.351	92.797	18.818	42.564	276.919	36.366	37.797	106.329	21.009	22.776	52.143	13.106	27.373	35.436	48.64	67.45	42.176	62	23.975	40.688	36.636	208.625	105.776	29.659
hsa-mir-155	3256.179	968.601	1065.212	1119.955	2149.227	616.827	739.192	607.058	7580.275	412.51	242.298	335.822	275.122	609.423	412.339	90.976	540.92	481.253	966.906	284.421	603.498	535.062	915.159	647.683	349.952	261.296	1062.634	373.866	201.084	204.987	379.485	245.26	949.848	2447.825	421.828	533.983	378.024	176.582	565.123	231.747	194.17	1006.954	4762.064	292.633
hsa-mir-15a	750.3	998.06	744.635	1010.714	574.262	920.061	675.353	727.88	925.02	1197.812	755.971	790.169	1035.101	1258.607	847.098	785.293	471.096	1063.952	813.541	644.092	777.667	486.689	694.292	653.358	606.584	887.597	601.511	1077.009	792.332	674.432	649.857	788.203	1018.28	864.099	452.018	640.779	773.23	439.492	751.214	889.839	1555.806	962.923	729.636	1002.466
hsa-mir-15b	432.154	1095.863	504.384	1876.09	2082.23	670.505	946.838	2697.87	1134.039	1400.239	453.098	3629.134	817.964	814.01	814.93	1340.647	1261.866	1458.604	1657.049	2226.899	1974.212	637.731	835.924	981.101	1956.689	1376.516	1374.729	2940.623	694.791	3484.778	4765.294	2750.286	1439.827	917.707	1166.526	1417.396	998.17	1432.273	3114.457	967.678	878.041	710.267	1571.524	1165.918
hsa-mir-16-1	532.297	906.149	458.07	1441.027	1456.923	1387.154	938.102	1026.988	1664.37	1096.838	828.661	1450.525	1497.75	973.053	773.013	1295.659	1069.221	951.371	1477.242	854.537	894.361	657.475	905.254	760.478	675.56	892.984	1371.489	1414.289	994.917	1147.674	1167.425	975.425	776.028	1171.213	1008.865	1137.289	950.526	798.149	1298.071	1268.418	1284.7	677.768	821.38	790.9
hsa-mir-16-2	552.326	901.436	502.213	1511.321	1507.968	1330.651	958.261	1025.515	1709.954	1124.115	860.16	1631.135	1491.582	1015.705	737.921	1273.165	1102.871	969.928	1496.633	936.165	855.173	650.564	936.948	783.888	724.249	864.7	1443.843	1409.715	1066.948	1172.981	1250.467	1175.752	762.342	1063.995	1034.024	1191.624	953.65	805.212	1347.162	1295.839	1171.129	744.863	878.586	746.741
hsa-mir-17	2139.202	4278.579	1820.702	4207.192	2840.468	2169.723	2542.148	2524.004	2730.589	3346.025	4615.786	4018.575	3194.132	5199.978	6107.099	3027.203	1993.748	5124.289	3352.881	7526.307	3986.742	1741.419	2079.906	3898.867	3581.685	5663.648	1711.662	2827.434	6008.521	4149.088	1631.884	3944.76	4075.859	2134.351	2587.994	1408.964	2732.861	2716.217	5381.8	3634.54	1223.64	2866.229	2507.315	4111.362
hsa-mir-181a-2	8779.434	48946.19	9532.635	4769.544	9777.335	15697.533	12157.69	12208.93	8431.917	14791.995	5698.86	9589.268	54400.168	5930.853	5492.002	23712.753	7524.084	5823.281	27165.913	8547.925	6965.912	17353.972	4780.812	5382.223	10628.403	6520.267	9553.988	24532.249	7333.576	23500.109	9397.334	3896.082	14799.283	9817.652	13385.282	20251.052	19700.966	10519.553	14347.28	16267.421	5858.087	12405.824	11845.795	6029.953
hsa-mir-181c	452.183	754.142	468.201	151.987	584.896	776.919	729.784	182.707	429.156	1172.927	106.611	584.161	1069.645	203.141	123.799	1852.012	264.992	165.779	351.682	488.489	252.546	850.966	267.416	154.649	605.569	156.239	546.436	1408.572	141.059	382.136	498.256	108.589	550.2	432.504	422.667	1000.515	583.437	532.884	352.774	1767.294	354.147	632.688	968.171	231.338
hsa-mir-181d	124.793	131.975	115.06	25.648	94.647	206.237	114.911	41.256	90.056	362.263	12.115	158.034	239.344	21.688	23.395	301.92	42.903	30.929	98.718	165.806	36.576	197.44	68.34	20.573	158.239	21.55	86.393	246.957	13.506	48.083	84.008	28.083	154.658	98.131	92.249	282.917	184.326	147.544	107.316	564.331	97.696	175.077	225.583	34.931
hsa-mir-182	49917.288	108515.18	26322.751	24915.428	82540.526	62683.718	83753.124	91385.743	3885.753	60314.107	3142.611	83676.097	67174.227	1502.232	1912.55	68437.972	44462.255	1873.05	66583.414	122260.077	6344.998	20027.307	67833.652	1960.074	48140.236	2936.208	51615.508	47484.428	3589.506	127613.233	96532.21	37882.428	64799.045	62663.967	38149.856	23948.647	63909.422	130376.065	54788.412	116481.315	74825.244	38083.947	18956.51	1306.962
hsa-mir-183	15250.194	30259.958	7696.013	12898.001	28114.356	11669.796	20345.247	41579.025	978.387	17845.147	865.006	11516.716	19818.667	343.388	443.532	27892.652	18173.388	454.035	17315.284	58267.976	1861.002	5669.484	22424.356	463.239	21335.926	658.626	14794.804	20592.363	856.859	35334.942	30745.079	21339.523	20718.723	13238.61	11578.046	7369.895	30406.689	37246.156	17714.045	33094.75	32218.867	9869.83	6505.203	376.337
hsa-mir-185	332.012	485.479	353.865	306.824	293.511	256.148	237.213	462.66	297.963	374.705	312.565	505.144	183.826	353.509	346.053	354.407	452.589	321.66	424.839	445.125	325.697	239.889	348.632	193.666	334.737	370.393	219.222	236.668	355.649	336.584	1008.099	430.61	698.015	272.586	325.386	192.983	268.678	302.936	617.64	283.935	545.876	480.151	458.721	553.63
hsa-mir-186	791.898	920.289	675.889	902.423	1283.581	921.944	1135.667	863.436	1254.114	846.077	983.732	1458.991	776.017	812.564	1186.327	1003.736	761.326	1024.363	426.602	869.843	972.737	864.786	1571.815	852.7	778.01	985.919	758.099	956.96	1189.999	1342.538	922.159	911.769	737.706	979.494	678.447	456.227	649.826	1657.512	911.047	437.843	791.336	1191.991	756.62	1030.806
hsa-mir-188	12.325	15.319	7.236	28.498	5.317	5.65	8.736	10.314	12.23	11.485	33.922	14.11	17.272	6.506	9.748	13.996	8.412	4.949	4.407	7.653	10.45	9.872	13.866	9.222	12.172	17.509	12.959	11.433	13.506	10.123	16.415	24.339	5.475	10.903	11.741	5.621	9.372	11.772	6.85	4.423	10.991	11.532	6.476	10.545
hsa-mir-18a	26.191	38.885	20.262	105.441	26.586	31.077	26.208	20.628	40.025	71.304	65.421	36.686	33.311	28.194	29.244	42.989	34.491	24.743	28.205	133.92	20.03	17.77	46.55	27.667	61.876	33.672	35.637	30.87	24.01	35.43	13.519	69.272	43.797	42.705	25.997	59.956	54.673	39.24	53.658	38.919	12.212	44.031	38.856	20.432
hsa-mir-190a	14.636	9.427	8.684	33.247	9.571	16.951	6.72	13.261	4.447	14.357	9.692	16.932	16.039	9.398	10.723	8.998	8.412	18.557	0.881	7.653	6.967	6.91	9.904	14.188	6.086	8.081	11.879	6.86	7.503	0	34.762	3.744	13.687	18.172	14.257	7.494	7.029	21.975	3.425	2.654	20.76	14.153	4.317	9.227
hsa-mir-191	985.25	1649.686	1413.287	2331.101	2475.705	1616.933	2502.5	3029.394	2805.08	1191.112	2764.626	3265.092	1999.879	1787.786	2501.327	1704.051	1059.126	3710.223	1041.826	3006.186	4113.885	1233.012	2109.619	3085.184	2901.053	3247.338	1301.295	2094.565	2142.899	3917.528	2782.893	2123.093	1420.666	2038.946	1153.947	1688.134	1117.669	3446.088	2363.243	2166.218	2107.788	904.739	2745.85	2372.041
hsa-mir-192	7313.499	57101.531	24628.687	301475.822	14920.166	119410.115	45538.249	78941.062	6836.479	33922.528	253051.672	96671.559	35144.083	186158.938	265349.3	64600.483	9188.905	223676.082	105036.653	24146.423	146052.514	13896.801	26587.139	165468.434	25693.592	242343.539	42498.885	19404.452	327453.868	148115.724	122769.813	189734.16	28205.274	46229.736	67240.054	51715.738	24135.714	58851.893	64701.473	45077.5	68277.18	25958.56	31384.071	214967.926
hsa-mir-193a	618.574	476.052	622.339	563.302	3105.266	1533.12	1917.195	1906.632	723.784	1674.448	3469.714	2302.779	2225.652	3120.855	4447.996	2415.864	1624.442	2553.484	4422.911	769.084	2606.448	1284.346	1145.929	1942.339	1501.244	3353.742	949.243	1256.51	3828.106	317.603	2076.065	1802.944	680.222	1200.289	1826.524	1926.084	2015.866	2457.231	3799.455	2559.834	786.452	2328.942	2977.909	4175.293
hsa-mir-193b	121.712	247.453	259.79	157.687	305.209	177.043	342.044	204.808	167.882	552.726	1075.805	623.669	148.048	491.587	702.828	75.98	580.458	527.027	59.054	649.193	674.907	208.299	138.66	439.828	228.23	922.616	89.633	401.306	507.213	153.108	1342.2	685.231	751.392	249.871	222.235	1157.899	275.707	325.695	195.224	174.253	2530.322	117.941	232.059	972.807
hsa-mir-195	331.241	121.37	189.596	49.396	84.012	72.512	233.181	72.199	314.64	165.578	188.993	84.661	783.42	323.869	324.607	642.831	165.725	324.134	250.32	72.699	230.775	199.414	248.598	221.333	86.22	169.707	347.732	81.176	208.588	39.226	48.281	86.122	119.073	216.252	169.402	86.187	206.976	75.341	74.208	480.301	439.631	138.908	62.602	242.543
hsa-mir-196b	204.907	11.783	123.744	2622.727	1006.021	21.66	24.864	25.048	250.156	411.553	21.807	67.729	420.703	23.856	25.345	4840.225	26.079	34.64	47.596	2237.103	18.288	206.325	1145.929	36.889	43.617	22.897	112.311	14.863	24.01	10.123	677.859	16.85	12.318	582.426	10.063	25.294	11.716	1087.743	997.814	25.651	12.212	46.652	35.618	16.477
hsa-mir-197	711.784	1452.902	895.154	1495.173	966.674	1974.787	1477.712	1583.949	1041.76	979.593	1226.03	1199.364	1487.88	1037.393	1236.042	2255.406	1586.586	1303.96	480.368	1869.779	1217.445	1067.162	1575.776	1174.768	1051.885	1741.521	862.85	2176.884	1661.197	1002.158	1009.064	1069.036	964.903	975.859	746.376	1217.855	1293.403	2283.788	1796.978	1031.364	808.433	1674.239	1422.575	1147.464
hsa-mir-1976	36.205	18.854	23.157	50.346	38.284	13.184	8.064	39.783	57.814	11.007	36.345	14.11	22.207	28.194	19.496	25.993	18.507	29.692	19.391	26.784	27.867	16.782	13.866	20.573	16.23	43.1	36.717	13.72	48.02	11.388	19.312	31.828	16.424	20.898	14.257	21.547	30.461	20.405	13.7	22.998	30.53	19.395	41.015	34.931
hsa-mir-199b	20920.582	17176.768	19008.825	3479.554	14434.17	7984.845	25764.196	8908.423	12986.975	22664.15	16061.965	5632.778	22130.68	19175.508	11680.009	9035.62	15528.518	13446.619	12106.155	6012.373	14868.857	27445.12	18705.286	16152.346	10076.595	9410.68	23434.106	7206.355	13324.09	11609.6	6425.181	4521.403	12955.703	13349.462	19637.226	18105.754	13878.309	11183.5	7960.817	12445.36	4175.276	11290.364	9378.416	12240.495
hsa-mir-19a	189.501	309.905	118.679	92.142	62.743	191.169	59.807	78.092	85.609	159.836	116.303	160.856	74.024	130.126	143.295	86.477	53.84	143.51	77.564	164.53	107.114	165.849	194.125	104.282	131.866	126.607	70.194	94.896	147.062	75.921	55.04	76.761	264.151	164.46	51.995	73.071	76.542	93.392	131.291	71.647	102.581	185.561	73.395	110.067
hsa-mir-19b-1	329.701	539.683	271.369	360.019	214.816	494.403	264.765	240.171	341.324	330.2	314.988	397.907	417.001	394.715	452.305	249.434	148.9	632.185	331.41	524.201	356.177	308.993	358.536	380.948	398.641	377.128	236.501	289.26	397.667	370.748	183.466	234.027	510.509	323.469	181.981	223.898	293.671	226.024	460.09	329.046	150.207	301.405	251.487	301.86
hsa-mir-200a	1378.888	3210.996	8406.636	12696.619	6207.342	5162.51	4016.5	4171.311	86.721	5935.461	1344.756	8917.624	3317.505	341.219	418.188	9605.47	2675.155	384.755	2387.738	14911.041	995.379	1952.68	2417.643	544.82	5641.838	577.813	1861.77	3602.606	1009.924	4083.289	4240.967	4191.893	2325.347	2961.196	3855.156	2458.193	3865.37	3548.897	2045.86	4157.299	5527.142	1844.074	3122.541	551.653
hsa-mir-200b	1936.606	5396.831	10819.284	9427.947	4370.768	5296.234	2483.685	3229.782	75.603	6489.144	983.732	6431.413	3720.935	385.317	386.994	9707.443	1960.098	340.217	2171.792	12432.882	826.435	2938.892	2248.279	396.555	4300.862	440.431	1561.554	4570.999	727.805	2338.37	3075.474	2946.869	3611.885	3201.072	3082.783	2040.375	3943.474	1921.208	1623.445	6130.689	4995.921	4025.721	2160.846	688.083
hsa-mir-200c	21350.425	374.714	30987.396	60099.481	673.162	169.51	101.471	162.078	459.175	2216.646	205.954	251.161	4800.45	188.683	132.572	233.938	504.746	190.522	213.301	74908.499	411.911	118.464	29441.562	385.205	284.019	180.482	597.192	149.775	124.552	112.616	266.509	2344.015	264.151	188.993	222.235	346.62	50442.721	315.492	401.865	190.174	13010.644	1062.518	704.811	143.68
hsa-mir-203a	20322.036	5046.861	8788	8441.931	7277.17	13551.353	11860.669	3511.209	202.348	8150.193	8029.771	4173.787	20301.056	5725.543	7549.797	6361.824	4783.312	7382.094	6329.399	106031.518	4355.981	7930.17	9787.442	7318.178	64981.559	8241.585	26690.042	4982.595	7458.129	2521.846	589.989	13313.331	2735.944	3084.769	19244.749	4474.211	13322.208	109.873	7105.711	21677.216	1546.037	5492.383	6144.703	5823.001
hsa-mir-204	51.612	45.956	146.901	5.7	77.632	40.494	1559.023	45.677	78.938	30.149	140.533	406.373	46.882	99.04	131.598	3.999	56.363	157.118	37.019	52.293	82.731	128.336	88.148	122.017	23.33	91.588	123.11	1.143	165.069	10.123	4.828	39.317	20.53	65.421	36.899	18.736	21.869	31.392	28.542	22.113	3607.419	61.329	4.317	90.294
hsa-mir-20a	1330.357	3682.335	1095.605	1538.869	1180.427	1239.304	902.486	1349.672	1477.587	2231.002	1756.664	2576.516	1448.401	3423.036	2931.212	1602.078	1036.412	3721.357	1581.248	4008.673	1692.928	1127.381	1010.24	2016.826	1646.297	2419.004	968.682	1738.992	2617.098	1704.429	698.137	1246.896	3021.994	1510.128	1365.28	755.07	1391.033	1074.401	3609.939	1526.702	718.064	2289.104	1420.416	2054.363
hsa-mir-20b	43.909	86.019	28.946	2707.269	49.982	44.261	26.88	35.363	143.423	36.37	36.345	53.619	20.973	41.929	32.168	4.999	124.504	48.249	336.698	229.577	59.218	92.797	138.66	29.085	51.732	22.897	33.477	50.306	57.024	8.857	60.834	61.783	19.161	44.522	30.19	83.376	54.673	11.772	125.583	3.538	166.083	69.716	24.825	50.09
hsa-mir-21	3138738.184	2689050.969	2478810.73	748361.459	1691202.375	3763387.762	1461385.634	1986021.33	677072.668	2647072.179	284615.894	2106461.296	1543011.037	497830.881	377873.936	1942326.84	2232874.526	268407.834	3117486.167	1520220.865	581434.662	3497757.709	1405550.827	326963.515	2768936.414	400337.104	1030482.94	2438992.852	281738.69	1291195.074	2103887.508	1194992.703	2742845.219	1814149.367	2259461.726	2149050.08	2396245.595	2509108.069	4618768.163	2403283.009	670205.676	4798737.717	2094488.748	392049.108
hsa-mir-210	201.056	5661.959	8778.592	5434.487	889.042	4653.981	823.863	2177.745	226.808	1296.393	4104.536	3499.321	6315.473	1578.862	1837.491	3410.102	836.196	943.948	7720.263	10739.113	1428.191	3752.344	1056.79	600.862	946.392	2128.077	639.308	2657.079	3934.651	1909.415	1470.627	8879.923	22580.096	613.319	556.008	8124.965	6924.705	1641.816	2795.933	5858.253	221.037	2931.228	6769.642	1669.458
hsa-mir-212	14.636	15.319	21.709	18.048	23.396	9.417	16.128	22.102	25.571	12.442	16.961	8.466	13.571	16.627	6.824	14.496	20.19	14.846	23.798	20.407	18.288	27.642	8.914	7.803	12.172	12.122	19.438	11.433	4.502	16.45	24.14	29.955	13.687	7.269	31.029	20.61	28.117	13.342	34.25	22.113	19.539	13.629	21.587	6.591
hsa-mir-214	233.41	253.345	302.485	37.047	146.756	168.568	383.036	113.455	182.336	401.025	162.34	152.39	297.329	140.97	109.177	120.968	159.836	108.869	80.208	86.729	168.944	412.649	325.852	166	137.952	76.772	273.218	97.182	121.551	194.864	71.455	56.166	191.612	220.795	226.429	240.761	231.188	93.392	94.758	214.941	83.041	128.425	91.744	125.885
hsa-mir-215	16.947	104.873	210.582	12842.906	102.091	1652.719	303.069	135.557	1003.958	149.786	516.096	474.102	193.696	211.816	335.33	237.437	48.792	376.095	971.313	105.861	261.254	60.219	68.34	293.692	90.278	325.946	210.583	28.583	417.175	1442.501	938.575	814.414	94.437	142.654	822.69	218.277	125.748	238.581	333.366	589.098	227.143	85.966	199.679	179.93
hsa-mir-217	842.739	149.65	1579.727	15.199	68.061	55.561	196.222	461.187	237.926	107.674	2469.021	76.195	128.308	1581.031	289.515	61.984	550.173	718.786	173.638	117.339	663.586	2316.956	1453.953	520.7	2558.201	588.588	236.501	7694.554	531.223	426.423	364.036	71.144	93.069	254.414	146.759	90.871	29026.59	304.505	151.841	155.678	255.23	247.938	65.84	5288.484
hsa-mir-218-1	246.505	223.886	159.927	19.948	152.073	195.878	260.733	103.141	132.305	975.764	46.037	76.195	133.243	54.219	44.841	103.473	218.723	71.755	125.16	65.047	108.856	179.67	158.469	59.59	179.541	40.407	200.864	68.599	25.511	194.864	48.281	28.083	99.912	183.541	198.754	109.607	220.253	135.772	142.708	109.682	89.147	221.729	346.469	46.795
hsa-mir-219a-1	6.163	7.07	3.618	6.649	1.063	3.767	13.44	4.42	7.783	15.792	24.23	11.288	8.636	20.242	25.345	21.494	6.73	22.269	6.17	17.856	13.934	4.936	12.876	7.803	8.115	17.509	19.438	3.43	22.509	7.592	12.553	28.083	4.106	8.178	9.225	16.863	7.029	7.063	20.55	2.654	14.654	9.435	9.714	27.022
hsa-mir-22	572456.538	743768.096	471333.91	313212.072	321085.581	362882.443	376520.805	396695.929	202290.394	350123.306	1402312.067	280699.145	343354.95	917641.844	1294783.904	278817.052	442941.742	609971.017	420139.56	238806.233	800055.802	484234.944	285037.226	627821.083	581253.357	1356985.898	356541.819	442759.25	1532609.435	474365.106	401871.209	1601392.856	664400.638	342877.28	479634.371	562709.831	282843.671	304466.665	469310.299	337740.706	660079.503	459696.419	613994.27	1308037.801
hsa-mir-221	1002.968	374.714	2045.034	750.436	878.407	433.191	338.012	418.457	1604.332	807.793	184.147	510.788	333.108	251.577	253.447	707.314	966.589	200.419	674.278	635.164	283.896	437.329	452.627	188.701	355.024	168.361	679.265	897.507	399.167	482.099	1586.5	507.371	797.927	587.878	1016.413	1072.649	1432.428	799.718	1417.946	1127.778	318.733	1036.309	1759.33	162.794
hsa-mir-222	199.515	129.618	519.58	179.535	352.001	141.258	108.863	123.769	376.901	206.255	31.499	242.695	80.193	46.267	122.824	171.455	264.992	53.198	180.689	201.518	64.443	114.515	169.364	52.496	83.177	28.285	197.624	176.072	70.53	215.11	416.179	134.8	205.298	203.531	258.296	299.78	314.759	296.657	477.215	275.974	81.82	183.988	420.944	32.954
hsa-mir-223	2410.358	950.926	796.738	3296.219	1767.449	358.795	715.672	970.997	1463.133	468.979	566.978	1326.355	808.094	953.534	840.274	1465.114	1854.101	1469.738	521.794	6392.45	1594.523	1811.51	2187.863	925.768	3145.512	1505.817	2585.311	4486.394	472.698	523.856	1711.064	237.771	1461.725	1883.572	489.757	2669.913	2553.221	795.01	2702.317	665.168	433.525	4875.945	4117.695	1185.691
hsa-mir-224	165.621	777.709	144.73	427.464	584.896	96.055	33.6	123.769	35.578	103.367	121.149	459.991	266.486	116.39	336.305	699.816	265.833	29.692	275	575.218	231.646	331.699	156.488	53.914	680.632	189.911	277.538	710.003	162.068	608.634	612.198	1772.989	700.752	114.486	60.381	75.882	357.717	443.416	154.125	615.634	481.152	386.322	256.884	159.498
hsa-mir-2355	229.558	309.905	155.585	208.982	248.847	101.706	128.351	259.326	132.305	72.74	116.303	191.898	194.93	115.668	165.715	169.955	67.299	111.344	118.109	292.073	123.66	218.171	217.895	125.564	92.306	153.545	127.43	94.896	175.574	217.64	203.744	52.422	313.422	147.197	116.569	216.403	224.94	309.999	250.024	152.139	89.147	78.103	183.488	104.794
hsa-mir-23a	16130.679	25844.691	18876.397	10936.418	28243.034	15516.723	17741.948	18817.312	7994.978	16118.536	5805.471	14750.766	43041.2	7621.767	6378.092	25419.804	18186.848	8974.31	15053.588	8964.991	9515.755	28116.416	20606.914	7975.083	27801.42	6812.541	16320.721	26212.932	6775.342	22878.821	22258.317	11684.503	41759.08	15999.001	14219.713	32322.804	26901.379	25357.115	23381.26	34505.578	13770.229	18765.205	24545.351	6930.92
hsa-mir-23b	5581.8	12372.647	5769.658	2850.707	14446.932	3377.008	6962.515	6742.465	1263.009	4271.541	11484.947	4647.888	6405.535	9080.624	13098.338	4157.905	4546.922	8541.306	3955.764	3808.431	8404.553	6705.056	4169.716	7091.879	5868.039	12992.046	3573.431	4408.648	13183.03	11623.519	5683.591	6541.524	9588.808	4355.93	5298.428	5126.232	4223.086	6520.177	3380.464	8561.381	42062.944	4433.535	3804.686	10998.123
hsa-mir-24-1	3423.34	3783.673	3325.893	2296.904	3921.994	3682.126	5033.224	2689.029	1326.381	3559.937	2779.163	2805.101	4509.29	2501.31	2344.385	4163.903	3893.276	1800.058	2462.657	2851.859	2735.333	3954.719	2720.715	1616.724	3585.742	2150.974	2820.732	4093.091	2378.498	3868.18	3465.581	2819.558	4954.537	2287.908	3523.899	4093.866	6681.021	2422.699	3517.464	7372.571	6973.041	3575.972	3616.88	2468.926
hsa-mir-24-2	3487.277	3489.086	3445.295	2329.202	3691.226	3719.795	5007.689	2634.512	1401.984	3573.336	2452.06	2779.702	4526.562	2429.741	2095.812	4240.883	3954.687	1780.264	2470.59	2958.995	2526.33	3933.001	2700.906	1451.434	3534.01	1955.676	2816.412	4449.807	2055.862	3578.414	3420.197	2690.375	5147.517	2307.898	3532.285	4176.305	6577.923	2544.344	3710.405	7124.902	6392.972	3610.568	3832.749	2327.223
hsa-mir-25	41194.858	38663.931	27614.465	27060.345	30098.749	31147.394	37440.067	19885.556	29268.223	38492.206	19631.022	57944.801	30465.772	15821.872	19912.164	55259.443	34836.744	17270.66	21524.894	41382.571	15552.473	29243.797	44087.07	16413.405	19809.323	22441.786	38406.015	40409.555	17345.777	28824.708	18659.482	26989.872	33640.209	36517.484	23644.172	25709.853	33461.338	40459.941	24968.172	38330.293	16834.214	26925.152	18465.409	13720.137
