	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
hsa-mir-1180	28.502	73.058	50.655	118.74	55.299	68.746	79.967	100.194	28.907	156.965	31.499	50.797	53.05	20.242	54.589	147.461	91.696	30.929	96.955	159.429	47.897	48.373	91.12	20.573	52.746	51.182	29.158	110.902	55.523	189.803	88.836	74.889	60.221	41.797	159.339	113.354	96.068	120.075	163.258	73.416	31.751	47.176	63.681	40.204
hsa-mir-1247	252.668	27.102	204.069	13.299	1013.465	506.645	157.918	42.73	146.758	16.749	43.614	25.398	18.506	67.232	15.597	16.996	63.935	199.182	30.849	998.661	50.509	317.878	87.158	85.128	2560.23	16.163	128.51	3.43	4.502	22.776	29.934	125.439	24.636	49.066	49.479	28.104	21.088	71.417	349.349	68.993	2.442	111.651	206.155	28.341
hsa-mir-125a	3270.045	7925.564	3609.564	3401.66	2746.884	6701.281	4662.285	4168.364	2725.03	3847.067	2221.877	1354.576	6943.442	2079.124	2449.663	5184.134	3111.761	2740.295	2876.038	1996.046	1941.991	5970.58	4093.453	2598.535	4423.599	1870.822	1386.608	6576.385	1958.322	5270.189	3252.18	1351.74	3934.888	4242.352	4589.791	5194.619	4708.112	5324.916	3324.523	9164.632	9765.92	4179.83	2612.011	2111.703
hsa-mir-125b-1	1814.124	1279.685	2651.452	229.88	1095.351	942.662	1578.511	1090.346	1602.109	1645.735	2711.32	807.101	1901.181	2670.474	4395.357	492.37	1269.437	3919.302	780.929	593.075	2595.127	2840.172	1449.001	2697.851	876.402	2825.763	1883.368	778.602	2524.059	1076.814	425.835	750.759	1448.039	1318.409	2330.537	1875.496	1587.855	875.845	1058.322	2042.383	854.839	1045.22	2711.311	2929.625
hsa-mir-125b-2	1914.266	1295.004	2658.688	235.58	1111.302	1014.233	1582.543	1116.868	1762.208	1699.811	2926.965	908.695	2070.202	2942.293	4622.484	497.869	1292.992	4169.207	845.271	609.655	2707.466	2904.34	1493.57	2786.526	893.646	3134.2	1939.523	840.341	2762.659	1074.283	420.041	879.942	1430.246	1342.033	2302.862	1870.812	1686.266	837.389	1115.405	2077.765	925.668	1078.767	2781.468	3211.713
hsa-mir-126	6231.958	20909.773	5844.917	15173.058	12091.396	12770.667	22397.513	15826.227	31673.053	10806.148	26795.787	16822.138	15081.137	22695.415	24494.681	5037.673	17407.856	37905.14	7338.613	10040.177	32901.504	11986.571	23079.031	28660.5	14407.887	21197.265	16717.049	8351.963	26490.613	15002.008	9084.476	21610.995	6613.348	26178.284	18615.781	14057.792	8671.893	7683.261	16104.3	12236.61	41332.668	6459.5	13269.449	24810.532
hsa-mir-1266	16.177	8.248	21.709	21.848	43.601	43.319	10.08	8.841	5.559	20.099	2.423	73.373	14.805	0	6.824	26.493	36.173	1.237	29.968	71.424	4.354	8.885	24.761	3.547	6.086	4.041	6.479	5.717	22.509	34.164	43.453	74.889	9.581	24.533	22.643	12.179	13.278	54.152	44.525	17.691	21.982	14.153	18.349	5.932
hsa-mir-127	4194.439	2060.929	4330.319	1912.187	1169.792	13171.84	2878.144	3194.42	1005.07	3615.449	3040.846	2108.059	953.675	2993.62	1869.659	1436.622	2129.188	1899.03	26343.558	2646.515	3157.694	4182.762	1047.876	3011.406	17098.969	2068.814	4354.208	10441.955	2506.051	3133.01	4520.994	2327.165	1022.386	1893.566	5269.915	4794.601	1661.273	6544.506	1349.446	2589.909	2029.631	11463.345	7965.555	2375.995
hsa-mir-1271	5.392	14.14	7.96	0.95	21.269	6.592	4.704	14.734	16.677	10.05	2.423	2.822	23.441	11.567	12.672	11.997	0.841	4.949	9.696	2.551	13.934	13.821	13.866	17.026	6.086	8.081	11.879	8.003	1.501	6.327	2.897	0	8.212	9.086	7.548	19.673	8.591	13.342	6.85	10.614	12.212	5.242	16.19	7.909
hsa-mir-128-1	171.783	246.275	188.873	389.467	302.019	122.424	204.286	341.838	294.628	417.296	552.441	293.491	420.703	436.645	604.374	682.32	422.304	334.031	426.602	579.045	377.077	172.76	135.689	290.854	357.053	615.526	239.741	461.902	594.249	311.276	541.708	893.047	376.381	187.176	411.765	240.761	543.604	483.441	485.207	285.704	390.783	254.753	382.088	714.446
