	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
ENSG00000154760.14	855.0425413	3267.433303	627.4637434	2010.211055	5208.544041	3548.363019	2513.893183	1906.603142	1381.26878	6013.131002	164.0912684	5234.798093	3303.747208	212.8962404	225.535036	8308.875833	4498.468239	215.9161464	4676.750472	2386.169451	423.9532477	4929.536989	3239.558403	368.9359703	1747.330024	169.6810706	3035.000612	4334.60261	190.0763338	3583.964037	1348.950487	1786.424834	3154.368318	4031.134175	1850.103478	6724.725239	4686.775218	4817.937186	4457.310913	3262.548227	538.3569176	3244.776957	603.1309577	257.5187948
ENSG00000154764.6	389.4009656	17.12113424	5402.046577	0	50.32409702	1482.006238	51.4866814	83.60700146	39.36484807	6.795595255	15.11366945	0.901308212	4.641957136	7.695044834	10.34564385	2.155536795	2.124925952	11.01612992	0	0	90.04316766	6.912827078	0	99.71242441	15.92772135	20.97181771	29.69397641	13.87072835	1.68209145	1.040035995	14.75270526	1.77049042	125.3598934	4.74344088	1.825459771	5.937947231	11.34601077	0	7.061397327	2.125438585	0	112.7186375	110.7068571	2.278927387
ENSG00000154928.18	168.8770503	54.96785204	36.22947904	225.4868894	51.89672505	136.9799276	22.38551365	378.9578218	128.591837	3.883197289	120.9093556	6.309157481	52.38780197	41.04023911	424.1713979	6.466610385	23.37418547	240.1516323	35.17643907	265.7272707	86.291369	49.77235496	91.06373525	223.3558307	60.17139177	68.63503978	39.36178268	15.60456939	166.5270535	19.7606839	11.98657302	17.7049042	17.23698534	27.6700718	16.42913794	21.52505871	72.43991491	14.01281987	91.01356555	32.41293842	71.07890843	48.76030946	408.2868891	132.1777885
ENSG00000155066.16	3219.321246	423.5227944	2788.128206	133.2837484	1721.241381	64.118264	429.8018621	1284.09449	42.86394568	1711.519205	41.02281709	252.3662993	3417.806726	79.51546328	57.93560557	4508.664463	8792.235279	127.7871071	4.289809642	2353.145541	208.2248252	1663.917478	3277.614889	199.4248488	4462.12164	64.82198202	147.0887668	2358.89074	75.69411523	5.200179973	287.6777525	33.63931799	66.59744337	1334.488034	89.44752876	202.6324493	7473.530017	58.52413006	111.4131578	3672.757874	6035.783974	3197.283149	1904.157943	72.9256764
ENSG00000155265.11	718.9571512	587.5252382	331.4611912	550.480139	479.6515497	2991.699909	1941.943309	1114.154172	322.7917542	780.522655	41.02281709	2829.206476	2710.902968	48.73528395	49.65909049	1470.076094	3103.100198	85.92581338	873.4052431	509.1826025	196.9694292	950.5137232	555.216953	103.7009214	202.9309683	41.94363542	1485.389378	1106.190586	53.82692639	561.6194371	3118.353073	26.55735631	3632.302911	1727.403054	402.5138794	570.7851776	709.5620581	1666.701281	611.2031686	3941.094496	1387.354991	1341.225136	287.8378286	125.3410063
ENSG00000155465.20	1672.374673	1528.286509	2185.331342	4370.063724	1193.624676	2177.10651	751.033983	1805.729477	2102.082887	2787.164854	274.2051458	1241.101407	651.2002726	1074.741262	453.1392007	836.3482765	631.8113163	630.1226314	1580.365872	1327.100358	660.3165628	1023.78969	1099.560624	769.7799164	1321.410956	539.5476739	1552.373464	684.8672123	311.1869182	1060.836714	866.7214338	256.721111	770.9633444	1200.090543	3201.856438	1152.704006	1020.268199	1416.119091	427.6068381	1451.143194	422.5246223	945.4434029	1172.607031	631.2628863
ENSG00000155659.15	771.4238076	432.5339177	863.3407772	202.6643298	412.0285443	157.3811935	158.9371469	646.1367178	94.47563538	26.2115817	265.5687633	626.4092071	82.22895499	1818.595596	982.8361659	38.08115005	207.5344346	790.9581282	203.336977	52.99185456	776.622321	340.1110922	265.0362444	1035.014965	119.1629523	1092.44105	539.3254784	201.1255611	531.5408981	211.1273069	128.1641269	177.049042	825.8082977	249.8212197	155.1640805	119.501188	290.6324297	333.8348264	167.1197367	75.45306975	105.9602246	483.1703392	3122.819026	1257.967918
ENSG00000155761.14	58.20519696	2.703336986	138.7511963	6.390316705	96.71662396	126.7792947	179.0841092	3.63508702	0	335.8965655	4.318191272	4.506541058	29.84115302	2.565014945	4.13825754	7.903634916	88.53858132	0	204.194939	241.919336	15.00719461	866.1772329	663.2701911	1.994248488	86.12767841	5.719586649	240.3140416	0.866920522	0	5.200179973	10.14248486	0	5.484495336	246.6589258	12.77821839	320.6491505	253.9760872	56.87556302	546.865993	175.3486832	46.06966287	108.285882	19.48440686	9.11570955
ENSG00000155903.13	806.6748424	469.4795232	884.9242966	1256.153684	692.742648	950.1160939	184.6804876	843.3401886	1724.180346	465.0128753	524.6602396	578.6398719	684.3571092	715.6391695	831.7897656	402.3668684	572.3133896	830.616196	539.658053	1266.428524	656.5647642	667.087813	677.5413735	610.2400374	605.8433269	604.3696559	841.0991456	529.6884389	652.6514824	220.4876309	428.7504965	734.7535245	807.7878131	694.1235155	292.9862932	457.9641802	810.803385	482.2058604	602.5725719	961.7609595	771.3377841	973.3064369	895.3970606	665.4467971
ENSG00000155966.14	45.90832437	50.4622904	25.43771933	1018.799063	67.62300537	837.9091318	58.20233549	10.90526106	124.217965	34.9487756	4.318191272	182.0642587	5.30509387	23.0851345	2.06912877	7.903634916	9.208012457	0	117.5407842	108.2877028	9.379496631	13.13437145	226.979758	3.988496976	12.97814332	3.813057766	11.73947904	0	31.95973754	44.72154777	0	12.39343294	8.618492671	9.48688176	72.10566094	16.32935489	4.363850296	39.56560905	1237.313732	4.782236815	0.658138041	34.82879247	331.2349166	9.11570955
