	TCGA.AF.2687.01A	TCGA.AF.2690.01A	TCGA.AF.2693.01A	TCGA.AF.3911.01A	TCGA.AF.4110.01A	TCGA.AF.6136.01A	TCGA.AF.6655.01A	TCGA.AF.6672.01A	TCGA.AF.A56K.01A	TCGA.AF.A56L.01A	TCGA.AF.A56N.01A	TCGA.AG.3591.01A	TCGA.AG.3592.01A	TCGA.AG.3725.01A	TCGA.AG.3731.01A	TCGA.AG.3732.01A	TCGA.AG.3742.01A	TCGA.AG.4021.01A	TCGA.AG.4022.01A	TCGA.AG.A01W.01A	TCGA.AG.A01Y.01A	TCGA.AG.A020.01A	TCGA.AG.A026.01A	TCGA.AG.A02N.01A	TCGA.AG.A036.01A	TCGA.AH.6544.01A	TCGA.AH.6547.01A	TCGA.AH.6549.01A	TCGA.AH.6643.01A	TCGA.AH.6644.01A	TCGA.AH.6897.01A	TCGA.AH.6903.01A	TCGA.BM.6198.01A	TCGA.CI.6619.01B	TCGA.CI.6620.01A	TCGA.CI.6621.01A	TCGA.CI.6622.01A	TCGA.CI.6623.01B	TCGA.CI.6624.01C	TCGA.CL.4957.01A	TCGA.CL.5917.01A	TCGA.CL.5918.01A	TCGA.DC.4745.01A	TCGA.DC.4749.01A	TCGA.DC.5337.01A	TCGA.DC.5869.01A	TCGA.DC.6154.01A	TCGA.DC.6155.01A	TCGA.DC.6156.01A	TCGA.DC.6157.01A	TCGA.DC.6158.01A	TCGA.DC.6160.01A	TCGA.DC.6681.01A	TCGA.DC.6682.01A	TCGA.DC.6683.01A	TCGA.DT.5265.01A	TCGA.DY.A0XA.01A	TCGA.DY.A1DC.01A	TCGA.DY.A1DD.01A	TCGA.DY.A1DE.01A	TCGA.DY.A1DF.01A	TCGA.DY.A1DG.01A	TCGA.DY.A1H8.01A	TCGA.EF.5830.01A	TCGA.EF.5831.01A	TCGA.EI.6506.01A	TCGA.EI.6507.01A	TCGA.EI.6508.01A	TCGA.EI.6509.01A	TCGA.EI.6510.01A	TCGA.EI.6511.01A	TCGA.EI.6512.01A	TCGA.EI.6513.01A	TCGA.EI.6514.01A	TCGA.EI.6881.01A	TCGA.EI.6882.01A	TCGA.EI.6883.01A	TCGA.EI.6884.01A	TCGA.EI.6885.01A	TCGA.EI.6917.01A	TCGA.EI.7002.01A	TCGA.EI.7004.01A	TCGA.F5.6464.01A	TCGA.F5.6465.01A	TCGA.F5.6571.01A	TCGA.F5.6702.01A	TCGA.F5.6810.01A	TCGA.F5.6811.01A	TCGA.F5.6812.01A	TCGA.F5.6813.01A	TCGA.F5.6814.01A	TCGA.F5.6861.01A	TCGA.F5.6863.01A	TCGA.F5.6864.01A	TCGA.G5.6233.01A	TCGA.G5.6235.01A	TCGA.G5.6572.01A	TCGA.G5.6572.02A	TCGA.G5.6641.01A
hsa-mir-193a	756.093	1013.881	230.294	497.86	324.3	217.628	280.662	218.568	288.82	248.894	185.564	480.362	280.94	283.878	503.969	626.466	477.127	357.689	226.001	383.092	478.384	243.072	270.627	72.778	292.672	237.587	309.145	158.817	358.217	408.577	544.821	510.19	437.321	229.263	494.25	516.108	309.095	315.548	330.456	344.242	702.655	727.39	198.358	156.319	414.657	210.631	412.409	463.496	785.598	481.892	534.224	683.644	428.756	196.473	427.438	1662.813	325.005	505.128	274.672	399.871	303.183	259.055	143.618	477.081	608.341	238.332	1064.309	180.192	497.565	318.727	494.613	361.638	864.966	552.614	1033.752	368.028	491.559	339.451	976.564	501.994	528.771	944	800.698	492.529	255.573	404.38	488.406	427.595	469.644	605.908	893.558	399.885	557.76	693.618	341.212	186.6	507.651	796.642	326.768
hsa-mir-193b	85.14	149.72	122.497	94.96	76.851	111.755	280.284	169.907	236.545	266.435	204.12	50.749	160.537	92.968	126.519	38.834	81.545	125.162	84.435	345.237	242.499	181.064	53.457	47.682	77.715	279.484	155.451	60.477	114.703	83.885	57.293	135.357	203.447	104.417	57.849	121.233	99.368	165.885	115.001	118.457	355.56	69.673	86.026	73.031	36.527	78.22	354.527	158.166	180.444	68.118	138.122	121.103	215.298	110.447	140.482	914.495	287.48	313.99	206.563	125.917	53.079	245.782	361.034	28.702	115.757	68.731	124.729	107.587	111.17	145.734	162.946	81.757	139.104	151.437	138.963	56.925	123.074	111.947	174.865	69.024	141.335	120.522	189.566	148.957	128.476	467.704	105.02	202.712	166.544	140.425	79.932	197.793	301.061	154.563	101.98	150.732	107.949	398.321	137.379
hsa-mir-195	138.511	139.545	162.676	102.647	122.089	143.37	78.087	94.483	115.876	46.934	28.63	92.747	96.493	127.481	132.424	209.921	61.882	101.049	136.105	62.082	26.454	44.646	33.411	25.096	112.439	260.579	190.581	73.098	43.55	80.992	42.159	109.8	79.947	131.656	218.539	103.481	100.284	83.204	175.455	72.346	44.445	116.494	132.239	75.083	76.655	110.939	30.256	121.032	130.68	83.881	58.217	79.693	307.306	106.006	128.831	55.392	82.046	76.264	129.754	121.379	119.654	81.927	110.546	56.629	46.795	85.542	49.385	89.106	74.113	84.924	57.737	52.164	26.905	108.264	79.085	23.829	47.903	97.502	29.61	69.721	64.243	105.004	115.009	55.93	108.35	104.314	137.918	49.411	268.291	132.624	37.021	53.748	118.295	93.675	226.196	257.482	233.403	168.269	209.117
hsa-mir-196b	15948.488	2914.455	12872.946	35442.145	28538.916	14339.18	1156.975	12254.421	1188.387	4284.773	15902.796	24905.316	31153.587	25777.565	2457.427	601.92	3945.405	31115.479	21905.76	785.869	919.29	3045.847	43896.672	3485.806	18410.255	5720.992	2744.105	5122.112	8930.276	11009.879	1382.592	5447.393	19467.047	11762.21	5886.01	8431.784	11093.999	11662.705	19388.734	29769.384	4816.994	4501.454	58564.752	45298.185	12391.862	4942.153	15461.712	6494.452	6992.508	8654.913	3467.321	325.024	2721.59	1461.335	19798.623	1146.515	41487.379	7526.821	6558.067	9119.893	2028.266	758.858	9237.765	5585.338	5209.074	17417.502	760.402	22001.257	15207.209	17204.965	45766.124	9043.953	36479.141	22764.101	13699.762	4755.234	1162.939	6214.836	24835.91	2941.548	19158.318	5298.813	2383.851	24839.904	7160.718	5697.323	38723.271	3068.548	4817.463	16414.125	5152.683	6574.456	18343.99	1351.895	3988.725	3873.332	6709.49	4316.733	10826.394
hsa-mir-197	670.318	883.785	539.966	550.767	434.398	716.113	642.051	853.592	650.825	591.657	753.388	867.101	1432.025	1072.083	843.884	1086.606	855.358	624.089	474.267	802.525	1040.54	711.855	738.377	1560.958	656.446	634.076	845.759	1185.343	758.758	569.115	876.687	773.331	1201.589	1025.441	1199.259	614.827	638.797	751.453	817.277	1206.04	859.976	938.639	474.922	387.722	346.233	442.222	703.792	819.715	860.055	599.55	859.838	646.141	1148.257	1187.716	510.994	4441.832	1071.052	719.879	1071.095	655.108	1303.146	1178.107	964.596	597.321	701.932	1071.998	1831.042	1098.974	639.675	717.136	685.145	1290.56	2179.303	908.957	1078.944	1068.339	363.326	826.057	520.127	947.515	363.715	824.513	628.185	894.885	767.269	834.511	955.302	494.11	751.323	623.244	1330.24	631.36	677.83	622.936	1014.433	692.17	968.621	818.743	1269.41
hsa-mir-1976	17.155	26.891	26.459	25.323	17.986	22.792	13.958	17.031	14.376	28.919	20.147	18.374	19.64	22.698	18.134	32.239	21.977	28.707	16.383	19.685	19.841	22.323	18.376	12.548	14.882	19.416	30.3	36.286	21.468	9.401	31.349	32.183	34.604	23.267	17.93	16.02	17.859	27.735	27.727	25.441	28.219	28.984	10.664	10.667	25.723	21.983	18.417	27.507	23.553	11.822	33.674	54.691	10.428	27.195	15.646	76.295	9.54	28.399	20.383	9.075	16.644	27.919	10.718	41.114	71.425	48.952	37.988	17.161	21.227	22.017	21.812	21.568	22.325	24.243	74.566	50.306	25.057	46.043	38.549	34.164	21.744	14.483	19.432	38.809	19.575	20.232	25.939	13.936	18.207	13.002	46.277	40.132	30.757	21.29	17.636	17.08	9.169	14.064	18.293
hsa-mir-199b	9056.601	7310.122	4778.356	7937.731	6116.455	3115.902	8002.251	3259.465	12972.936	12181.118	7750.724	2116.567	4947.616	2268.227	5714.034	2096.645	3901.451	6661.738	8198.224	5196.727	8751.998	6215.71	2804.83	3842.166	13889.54	5821.136	5762.664	3601.781	1745.081	5592.801	5904.393	6490.49	4129.193	3322.043	6559.557	4564.438	4789.831	6206.817	4694.115	4308.193	3554.896	4899.428	5334.345	8286.163	7433.985	9653.226	3583.418	5318.519	5533.757	6016.893	8029.916	1195.4	6554.022	4181.983	5185.179	1209.224	4408.233	8337.961	3290.095	4539.244	3763.695	1863.276	3709.866	4902.686	4940.615	2228.55	2491.407	5042.738	3009.854	1777.113	3240.965	2200.924	1570.793	4264.823	3994.917	3075.281	8808.271	7541.944	7883.467	10465.888	8511.733	17652.021	4448.85	3696.537	5141.502	9488.094	5185.203	10236.941	6322.251	4808.257	5697.905	14798.618	9755.189	12382.931	3988.725	5385.772	7836.075	5558.912	4221.802
hsa-mir-19a	63.537	40.701	61.738	95.864	86.117	178.661	144.48	145.171	502.277	285.399	243.884	100.622	128.088	165.103	79.707	30.041	124.342	24.688	98.718	607.193	1113.289	386.932	479.444	313.697	345.585	124.158	72.895	154.61	125.744	64.36	327.541	125.891	69.208	136.196	118.742	175.788	133.254	150.709	124.092	97.787	203.177	137.674	96.691	117.752	87.459	118.096	228.897	122.407	59.262	103.584	130.702	73.443	107.342	232.548	114.516	13.587	96.039	145.827	218.246	104.363	137.197	166.601	448.92	81.453	32.018	64.775	116.498	124.088	104.334	77.585	159.739	167.527	84.15	64.095	228.216	127.089	193.086	115.558	146.932	145.021	190.753	41.898	32.916	30.819	119.102	115.087	79.714	76.017	65.332	66.745	127.892	110.363	181.583	131.57	163.321	169.947	49.181	54.248	117.292
hsa-mir-19b-1	116.273	133.004	266.553	255.939	356.457	515.396	299.901	374.283	976.673	675.096	434.749	192.495	384.264	651.707	208.757	146.175	371.87	93.585	268.429	956.973	1163.994	729.217	793.505	449.215	520.858	324.958	205.511	294.495	410.968	334.093	538.335	338.865	162.28	366.594	266.915	388.38	424.033	558.88	335.911	239.3	519.936	396.859	294.338	312.229	143.021	163.085	607.103	233.811	199.439	378.308	246.565	363.308	280.93	443.451	361.524	61.663	227.694	400.146	597.318	284.731	381.003	525.434	970.108	211.777	197.034	236.354	366.588	236.296	470.942	255.82	391.969	386.717	265.043	221.843	636.068	210.491	502.614	354.798	288.835	223.806	474.411	153.626	121.75	150.669	539.818	299.804	175.877	246.421	278.466	287.785	238.955	245.091	422.313	224.393	428.623	469.275	294.671	279.277	440.832
hsa-mir-200a	2082.751	867.069	4542.182	7597.232	4653.564	6538.395	5708.672	11281.204	4185.928	6840.086	5268.944	21510.41	7163.54	10905.211	2903.196	11236.814	8550.69	10004.377	5103.096	4056.536	3968.16	14589.308	12081.316	9875.194	4077.572	8676.778	5796.477	4927.535	8370.255	5641.252	8216.64	9072.677	4448.98	6545.911	7625.866	4653.199	8718.316	5860.919	5433.664	10933.859	5511.888	5814.1	6382.302	6366.018	11722.031	4765.775	6613.011	7417.319	2660.321	3869.209	6745.437	12441.535	2574.991	5184.881	3989.752	2794.696	4060.332	4577.104	5195.646	2622.699	12981.533	12316.569	3182.247	8942.747	7142.465	12725.531	8045.315	8777.269	7564.209	15764.403	2417.894	7506.616	5718.166	4994.114	16502.756	13178.83	3844.775	7699.03	2522.419	9206.718	3722.154	3664.271	2820.884	4710.131	5388.804	4095.304	6177.832	3256.69	4164.139	963.038	6925.495	7209.399	6489.067	1912.239	4533.896	7387.129	2034.354	1599.311	6468.647
