	TCGA.AB.2805.03A	TCGA.AB.2806.03A	TCGA.AB.2808.03A	TCGA.AB.2810.03A	TCGA.AB.2812.03A	TCGA.AB.2813.03A	TCGA.AB.2814.03A	TCGA.AB.2815.03A	TCGA.AB.2817.03A	TCGA.AB.2818.03A	TCGA.AB.2819.03A	TCGA.AB.2820.03A	TCGA.AB.2821.03A	TCGA.AB.2822.03A	TCGA.AB.2823.03A	TCGA.AB.2825.03A	TCGA.AB.2826.03A	TCGA.AB.2828.03A	TCGA.AB.2830.03A	TCGA.AB.2834.03A	TCGA.AB.2835.03A	TCGA.AB.2836.03A	TCGA.AB.2839.03A	TCGA.AB.2840.03A	TCGA.AB.2842.03A	TCGA.AB.2843.03A	TCGA.AB.2844.03A	TCGA.AB.2846.03A	TCGA.AB.2847.03A	TCGA.AB.2849.03A	TCGA.AB.2851.03A	TCGA.AB.2853.03A	TCGA.AB.2856.03A	TCGA.AB.2857.03A	TCGA.AB.2858.03A	TCGA.AB.2861.03A	TCGA.AB.2862.03A	TCGA.AB.2863.03A	TCGA.AB.2866.03A	TCGA.AB.2867.03A	TCGA.AB.2869.03A	TCGA.AB.2870.03A	TCGA.AB.2871.03A	TCGA.AB.2872.03A	TCGA.AB.2873.03A	TCGA.AB.2874.03A	TCGA.AB.2875.03A	TCGA.AB.2876.03A	TCGA.AB.2877.03A	TCGA.AB.2878.03A	TCGA.AB.2880.03A	TCGA.AB.2881.03A	TCGA.AB.2882.03A	TCGA.AB.2883.03A	TCGA.AB.2884.03A	TCGA.AB.2885.03A	TCGA.AB.2886.03A	TCGA.AB.2889.03A	TCGA.AB.2890.03A	TCGA.AB.2891.03A	TCGA.AB.2892.03A	TCGA.AB.2893.03A	TCGA.AB.2894.03A	TCGA.AB.2895.03A	TCGA.AB.2897.03A	TCGA.AB.2898.03A	TCGA.AB.2899.03A	TCGA.AB.2900.03A	TCGA.AB.2901.03A	TCGA.AB.2908.03A	TCGA.AB.2909.03A	TCGA.AB.2910.03A	TCGA.AB.2911.03A	TCGA.AB.2912.03A	TCGA.AB.2913.03A	TCGA.AB.2914.03A	TCGA.AB.2915.03A	TCGA.AB.2916.03A	TCGA.AB.2917.03A	TCGA.AB.2918.03A	TCGA.AB.2919.03A	TCGA.AB.2921.03A	TCGA.AB.2924.03A	TCGA.AB.2925.03A	TCGA.AB.2927.03A	TCGA.AB.2928.03A	TCGA.AB.2929.03A	TCGA.AB.2930.03A	TCGA.AB.2931.03A	TCGA.AB.2932.03A	TCGA.AB.2933.03A	TCGA.AB.2934.03A	TCGA.AB.2935.03A	TCGA.AB.2936.03A	TCGA.AB.2937.03A	TCGA.AB.2938.03A	TCGA.AB.2939.03A	TCGA.AB.2940.03A	TCGA.AB.2941.03A	TCGA.AB.2942.03A	TCGA.AB.2943.03A	TCGA.AB.2944.03A	TCGA.AB.2946.03A	TCGA.AB.2948.03A	TCGA.AB.2950.03A	TCGA.AB.2955.03A	TCGA.AB.2956.03A	TCGA.AB.2959.03A	TCGA.AB.2963.03A	TCGA.AB.2965.03A	TCGA.AB.2966.03A	TCGA.AB.2970.03A	TCGA.AB.2971.03A	TCGA.AB.2973.03A	TCGA.AB.2975.03A	TCGA.AB.2976.03A	TCGA.AB.2980.03A	TCGA.AB.2983.03A	TCGA.AB.2984.03A	TCGA.AB.2986.03A	TCGA.AB.2987.03A	TCGA.AB.2991.03A	TCGA.AB.2992.03A	TCGA.AB.2995.03A	TCGA.AB.2996.03A	TCGA.AB.2998.03A	TCGA.AB.3000.03A	TCGA.AB.3001.03A	TCGA.AB.3002.03A	TCGA.AB.3007.03A	TCGA.AB.3008.03A	TCGA.AB.3009.03A	TCGA.AB.3011.03A	TCGA.AB.3012.03A
hsa-mir-24-1	1293.477	496.852	901.932	1064.846	1009.714	1618.074	714.313	1667.413	960.238	1161.568	282.24	1585.242	782.023	789.472	1648.126	1927.074	1597.414	977.362	603.602	940.994	1557.096	1240.095	939.214	350.307	1361.851	642.691	690.51	1292.597	869.758	385.098	1677.069	898.054	1620.219	1089.722	960.701	1308.858	475.99	734.868	1770.043	544.653	565.793	1369.598	961.557	818.982	1307.091	804.662	1040.029	913.249	660.539	887.63	1037.342	1642.502	1457.382	1820.179	920.477	684.701	784.095	1212.142	930.76	1131.626	976.328	1063.587	881.51	1077.687	449.645	1104.156	859.827	1548.49	2356.203	875.893	1384.8	1401.229	1000.696	899.792	763.409	821.562	1738.778	1191.118	1339.242	1533.015	651.594	1141.218	1337.706	646.619	1061.768	1339.067	906.818	1107.714	1144.987	1658.516	696.187	1878.001	1165.601	703.985	810.235	1158.145	1243.735	1185.915	1664.564	1196.618	470.153	636.296	743.718	2069.556	653.845	571.797	2054.952	552.914	629.521	688.765	593.177	534.348	775.529	1775.788	1011.726	513.223	388.227	595.962	941.402	504.256	852.9	488.099	1816.777	794.698	1027.821	1102.4	697.174	793.582	727.791	336.22	414.476	796.569	693.122	629.023
hsa-mir-24-2	1324.106	531.946	977.452	1140.168	1136.145	1727.618	755.312	1734.904	1028.547	1302.385	339.84	1627.034	801.446	777.394	1732.722	1947.198	1809.566	1054.38	640.861	952.032	1655.974	1441.708	1058.479	370.064	1326.206	668.67	743.992	1380.56	886.446	356.782	1736.16	919.895	1835.214	1091.199	1067.696	1392.114	504.7	748.446	1814.932	577.086	669.496	1428.855	988.799	842.701	1422.85	787.796	1095.281	961.665	811.29	936.212	1088.347	1818.336	1484.194	1850.867	940.454	750.995	819.864	1256.023	996.041	1151.754	1063.096	1234.418	917.701	1192.825	480.216	1227.873	885.621	1579.878	2428.633	926.108	1467.078	1445.214	999.27	927.765	871.502	919.966	1777.343	1288.033	1388.626	1652.618	678.326	1202.621	1379.788	732.939	1121.426	1457.181	868.574	1219.339	1278.417	1810.908	738.287	2009.375	1146.972	738.212	866.964	1236.635	1344.331	1273.202	1747.619	1260.952	468.932	675.791	792.253	2114.18	673.43	617.303	2189.992	558.101	679.302	848.63	599.377	558.849	916.687	2048.986	1211.584	577.628	427.755	604.55	1002.228	605.557	897.955	558.071	1764.902	857.294	1120.379	1219.146	750.802	806.735	768.354	322.599	394.501	805.42	843.927	670.136
hsa-mir-25	19517.605	36726.446	15153.206	23073.632	32373.191	16195.793	15766.933	19754.874	8081.023	13370.639	26012.152	15183.75	14288.02	24291.373	13067.023	11845.572	14001.017	37397.935	15924.652	27542.694	9359.855	6440.324	23919.462	15247.866	21982.512	24607.494	9689.719	17944.499	7777.762	32388.844	12677.907	20950.734	15365.485	6638.002	14228.056	13868.864	16133.789	15975.327	7805.44	16765.698	18610.162	22153.101	13613.144	11924.774	12765.023	10951.894	16083.081	31411.224	20653.942	14585.674	17400.799	18186.463	12259.046	24604.069	14903.579	16274.329	20895.701	19483.47	18791.534	14829.67	19794.156	23158.742	14008.516	10248.777	13248.614	9814.401	15205.175	13243.249	12749.43	11275.419	14349.895	13219.869	23891.251	21391.743	20909.286	23825.291	8055.612	17390.005	15573.541	9816.041	19929.302	7098.181	11522.238	17658.026	8440.879	8613.027	16585.344	10885.177	15077.64	9079.013	20590.922	9947.808	9107.12	12481.155	41453.949	11041.202	14586.445	19053.541	8937.822	30078.434	22540.483	15593.651	13267.022	10942.767	20791.978	31865.644	9515.896	17760.671	16585.344	15161.789	29119.745	15907.945	24210.287	17011.837	21100.572	19750.04	20832.941	17036.451	36454.649	33211.096	10012.671	16968.271	20911.377	26150.176	18706.351	14530.833	19087.365	8692.13	17303.167	14986.508	17776.511	20571.836	21872.493	8542.175
hsa-mir-26a-2	946.351	1140.544	771.389	1609.823	1241.792	1228.398	1557.929	1151.309	2147.848	825.288	901.44	3709.979	2069.039	1760.117	698.283	648.835	763.435	938.311	1456.841	757.486	876.466	1771.067	1727.991	752.287	714.998	1419.793	1212.255	1662.042	1790.247	1614.015	2192.007	824.822	1069.433	1992.656	2006.997	479.205	1573.789	841.789	620.527	952.304	994.331	1318.687	1751.587	1678.426	1323.19	1058.193	1097.719	1536.006	1796.345	1406.848	790.57	1875.224	2470.876	937.901	1419.901	1752.668	1729.15	1627.939	1791.529	894.566	1042.68	453.168	775.522	1136.024	1453.386	1930.127	1993.078	1051.508	886.147	3322.081	1229.738	439.15	778.319	818.671	930.615	949.144	1629.79	1336.49	2268.128	1023.276	2101.808	1223.673	1361.984	1115.888	3422.515	2602.488	3030.66	1061.5	924.233	2189.479	1230.136	1267.436	1396.592	1944.514	899.028	1414.49	1508.028	1331.112	1616.609	1335.294	1172.33	1656.565	1070.612	1299.547	1251.948	652.257	808.037	1331.973	811.014	582.686	1680.323	1342.871	1250.257	1336.219	809.203	580.647	1369.381	1828.248	1902.336	1134.576	1151.52	1643.495	2137.249	2529.697	2521.66	958.028	1133.354	2005.145	1423.599	952.025	804.982	2215.347	1915.027	1920.987
hsa-mir-26b	1983.018	2554.45	2214.911	2088.339	2019.428	4074.035	1308.786	2910.033	2550.875	2611.075	1631.519	3517.167	1905.478	1564.671	1521.975	2859.731	2454.907	2500.355	2392.051	2054.457	2758.997	3815.008	1683.267	971.134	1968.865	1448.031	2726.385	3344.455	2273.52	1289.324	4348.841	1783.26	2957.842	2958.344	3258.273	2130.767	2432.837	590.61	2064.903	1619.42	1916.985	3280.859	2648.57	2003.507	4013.266	1806.818	2182.437	2338.184	3395.909	2025.254	2232.949	3788.717	3406.913	3256.759	3250.097	2601.034	2878.465	3582.472	3525.179	1830.506	2659.929	2035.682	1925.88	2178.402	2101.741	2977.073	3459.083	2906.034	1870.656	8658.5	2363.907	3857.395	1294.347	1442.465	1386.634	1767.273	6467.182	2168.084	2796.065	3578.617	4425.268	4478.907	4168.496	3277.038	6651.142	2759.088	3318.769	4468.539	2834.174	7491.317	1778.461	2456.262	4421.299	3296.054	1470.016	2380.584	4312.375	3383.174	8771.712	2752.079	1565.549	1077.316	2429.575	6420.88	3428.921	1613.826	3472.135	1495.876	2370.816	1420.857	1645.532	2495.57	2164.424	2719.722	1224.02	1051.605	1874.781	2846.708	2943.626	2435.736	2505.263	1889.251	1891.707	1963.611	3252.436	2157.568	2303.355	3842.952	2594.461	1281.076	2348.029	3175.655	2429.31	2749.406
hsa-mir-27a	3984.884	2373.44	2554.754	3684.869	4376.581	2350.598	1704.576	3209.108	2385.956	5591.358	1202.4	3958.831	2130.374	1573.455	2859.177	2629.342	7717.438	2690.187	1800.559	2438.029	2156.127	2056.107	6860.463	1192.261	3333.861	1215.352	1219.386	2182.414	1039.304	962.746	3244.396	3123.274	9467.533	1909.228	1551.988	2292.438	1177.886	2046.77	1954.001	1883.359	1485.397	4602.049	1606.295	1081.28	3212.146	1763.837	2178.374	4570.994	12236.091	2483.745	2212.697	4183.828	1682.603	8955.129	3238.572	1684.301	1578.544	3864.466	1607.799	1581.146	2210.045	4438.044	3668.22	2901.466	1089.084	2240.492	1100.578	2754.324	3799.434	1618.358	1385.433	2332.589	1747.654	1640.139	2793.535	2878.327	1175.953	3015.31	4530.378	1859.552	1068.168	2764.01	3081.661	3801.239	1149.834	3499.623	2705.158	1672.236	2669.307	4341.879	2318.571	1888.77	1570.634	867.723	4627.096	2103.364	1706.934	2551.439	2041.773	5304.006	468.932	890.815	916.444	2446.876	1756.644	1493.795	2131.279	1189.854	2982.707	3630.582	1493.965	1180.7	2916.426	7793.151	5620.009	2448.377	1328.441	1651.348	4250.541	3898.978	2611.09	1267.18	4192.65	1487.336	1240.92	1830.502	2019.122	1047.148	1432.18	643.764	800.987	790.373	1392.044	1273.463
hsa-mir-27b	240.318	391.571	278.887	259.935	706.626	153.863	253.873	255.405	415.713	365.705	168.48	188.063	228.985	236.073	321.314	204.019	352.194	252.747	256.158	289.749	194.877	201.613	398.454	176.293	229.596	136.671	310.195	250.927	433.878	349.231	306.712	246.676	581.816	267.262	170.065	190.714	320.349	161.23	190.119	179.501	195.206	274.587	250.227	175.795	286.717	247.002	156.004	374.983	598.398	199.388	234.021	277.198	185.897	423.877	381.867	137.769	121.426	310.049	232.185	203.514	199.057	338.804	404.564	256.373	256.03	233.846	159.068	159.557	245.904	145.623	101.265	291.137	119.741	138.932	459.396	168.775	137.493	284.493	336.28	270.532	238.918	347.365	258.963	337.434	269.171	220.302	972.259	258.087	253.588	269.931	224.875	165.833	346.487	89.733	241.714	243.82	281.212	336.555	204.672	354.554	90.367	72.406	137.038	351.537	421.836	213.022	220.173	91.288	206.383	165.841	256.974	292.842	250.388	311.726	197.193	156.986	376.933	420.78	493.86	333.169	290.238	320.848	340.069	566.086	293.817	263.792	303.896	232.375	204.374	297.508	184.766	214.189	221.374	287.788
hsa-mir-28	3281.992	3208.3	1343.727	3580.009	3806.777	2321.33	3044.899	2666.537	2327.405	2811.442	2347.199	2362.191	3480.769	5729.439	2684.049	5702.113	2447.591	6224.311	2407.886	2355.244	2952.914	2507.129	4293.55	2552.456	4630.711	2971.74	1768.466	2306.488	1675.436	3622.567	3698.837	4347.66	2054.642	1577.734	1643.215	2803.59	2498.569	3540.267	2600.053	1965.001	3448.134	3159.84	2160.224	1555.648	2606.515	2334.01	1984.994	2735.951	3550.112	1677.084	2406.964	2590.974	2591.828	3312.381	2543.22	2841.352	2086.84	2503.414	2697.388	2129.067	3362.097	4195.02	3164.131	3578.475	1866.092	1063.394	3193.396	4012.472	1223.259	1649.204	1953.15	2408.69	5197.345	2786.092	3058.701	2170.044	1469.382	2746.448	1686.105	1267.229	3202.834	1821.913	3428.024	3716.488	2654.775	4112.09	3241.43	1507.288	3833.156	3242.875	2931.585	3172.358	1478.556	2286.793	3922.919	1986.464	1182.005	1995.829	792.485	4190.308	3247.109	9368.916	3435.95	1732.398	1774.723	3492.116	2644.283	3702.344	2817.808	3975.711	3785.033	2611.073	4052.413	3807.261	2456.922	4215.475	2017.366	2555.596	5345.96	4788.179	6351.697	2078.688	3059.47	3229.139	2672.336	2007.848	2297.992	1608.355	1786.325	2080.404	1785.741	3273.013	3410.508	1783.26
hsa-mir-296	3.141	1.847	1.079	5.908	6.928	3.345	3.154	1.323	14.638	3.503	0	0.95	2.045	4.392	2.968	2.082	5.225	1.085	6.52	0	1.92	4.345	2.711	3.04	3.145	33.885	2.377	0.926	5.34	3.775	2.814	6.424	21.056	9.598	6.758	3.872	5.289	5.091	0	2.237	16.776	3.338	14.126	0	5.366	1.088	7.313	1.899	1.151	7.085	0	3.103	5.958	51.786	3.073	3.108	0	1.439	3.365	3.355	5.104	10.722	32.313	7.676	5.095	2.861	5.159	10.463	6.259	1.435	0.633	4.189	7.127	2.797	5.067	2.861	0	3.126	1.176	1.898	2.785	7.895	4.046	7.847	4.971	3.981	0	2.133	3.493	1.483	0	2.154	9.048	1.85	3.7	7.515	6.402	3.357	15.82	2.859	9.769	15.359	1.427	0.496	1.507	1.319	1.468	0	5.186	4.482	3.445	3.5	16.805	14.01	0	10.063	7.059	2.576	1.116	9.005	8.382	3.413	5.764	8.165	9.686	5.347	2.681	0.731	2.34	1.434	0.999	0.885	4.833	5.139
hsa-mir-29a	4310.02	2229.371	4636.425	1456.225	8647.515	3842.403	7326.05	3117.798	4300.576	3806.271	5844.958	5226.835	4609.335	3870.501	4162.243	3228.213	2750.666	4379.147	7254.398	2297.984	2087.008	4858.704	2683.468	5782.73	2376.686	5868.931	4707.589	3370.381	4792.682	2160.515	5032.613	1951.565	10074.838	5719.564	9217.321	2966.229	6781.722	2661.14	1821.093	5872.636	6752.913	3195.729	6866.102	7301.081	6343.031	1550.022	7554.839	3794.447	2392.442	5840.95	2901.258	3837.33	7879.156	3617.343	5048.792	2143.185	6649.274	4370.185	9086.859	3603.983	4552.065	1957.771	3465.292	4771.3	6463.173	3921.04	7649.018	2440.441	1817.898	18141.244	2600.614	2666.315	1719.144	3905.005	8439.718	4144.424	4706.606	6621.489	3881.333	4451.913	2043.888	8801.675	4645.15	4499.65	17212.006	3434.594	2401.752	6871.668	4306.799	4786.449	3893.72	3948.756	12878.556	8430.238	5727.142	7079.963	4336.61	5306.825	8028.665	4314.688	6440.487	1669.73	3026.263	3845.587	2443.634	2343.246	3940.371	6681.647	3509.555	5224.751	5967.937	6605.852	4470.005	6509.471	4265.415	9298.399	8576.277	6801.184	882.251	4283.923	5157.217	4368.999	7418.121	4286.468	3869.129	4853.414	3194.486	8415.18	6618.762	3908.464	2453.896	2268.451	1145.536	7996.405
