	TCGA.RZ.AB0B.01A	TCGA.V3.A9ZX.01A	TCGA.V3.A9ZY.01A	TCGA.V4.A9E5.01A	TCGA.V4.A9E7.01A	TCGA.V4.A9E8.01A	TCGA.V4.A9E9.01A	TCGA.V4.A9EA.01A	TCGA.V4.A9EC.01A	TCGA.V4.A9ED.01A	TCGA.V4.A9EE.01A	TCGA.V4.A9EF.01A	TCGA.V4.A9EH.01A	TCGA.V4.A9EI.01A	TCGA.V4.A9EJ.01A	TCGA.V4.A9EK.01A	TCGA.V4.A9EL.01A	TCGA.V4.A9EM.01A	TCGA.V4.A9EO.01A	TCGA.V4.A9EQ.01A	TCGA.V4.A9ES.01A	TCGA.V4.A9ET.01A	TCGA.V4.A9EU.01A	TCGA.V4.A9EV.01A	TCGA.V4.A9EW.01A	TCGA.V4.A9EX.01A	TCGA.V4.A9EY.01A	TCGA.V4.A9EZ.01A	TCGA.V4.A9F0.01A	TCGA.V4.A9F1.01A	TCGA.V4.A9F2.01A	TCGA.V4.A9F3.01A	TCGA.V4.A9F4.01A	TCGA.V4.A9F5.01A	TCGA.V4.A9F7.01A	TCGA.V4.A9F8.01A	TCGA.VD.A8K7.01B	TCGA.VD.A8K8.01A	TCGA.VD.A8K9.01A	TCGA.VD.A8KA.01B	TCGA.VD.A8KB.01A	TCGA.VD.A8KD.01A	TCGA.VD.A8KE.01A	TCGA.VD.A8KF.01A	TCGA.VD.A8KG.01A	TCGA.VD.A8KH.01A	TCGA.VD.A8KI.01A	TCGA.VD.A8KJ.01A	TCGA.VD.A8KK.01A	TCGA.VD.A8KL.01A	TCGA.VD.A8KM.01A	TCGA.VD.A8KN.01A	TCGA.VD.A8KO.01A	TCGA.VD.AA8M.01A	TCGA.VD.AA8N.01A	TCGA.VD.AA8O.01A	TCGA.VD.AA8P.01A	TCGA.VD.AA8Q.01A	TCGA.VD.AA8R.01A	TCGA.VD.AA8S.01B	TCGA.VD.AA8T.01A	TCGA.WC.A87T.01A	TCGA.WC.A87U.01A	TCGA.WC.A87W.01A	TCGA.WC.A87Y.01A	TCGA.WC.A880.01A	TCGA.WC.A881.01A	TCGA.WC.A882.01A	TCGA.WC.A883.01A	TCGA.WC.A884.01A	TCGA.WC.A885.01A	TCGA.WC.A888.01A	TCGA.WC.A88A.01A	TCGA.WC.AA9A.01A	TCGA.WC.AA9E.01A	TCGA.YZ.A980.01A	TCGA.YZ.A982.01A	TCGA.YZ.A983.01A	TCGA.YZ.A984.01A	TCGA.YZ.A985.01A
hsa-mir-101-2	14601.23	1845.93	31535.592	23200.266	10291.867	1596.071	1248.138	2194.701	47769.391	13183.858	7460.022	1911.781	5807.352	1571.281	1792.685	27607.967	2390.432	19724.585	27431.891	21825.812	19897.954	74755	17592.121	35852.274	37071.063	6166.764	6755.809	26051.121	9906.821	12536.168	36109.615	21752.323	73722.652	29535.961	40574.849	10459.857	72451.165	123402.466	174492.593	25839.929	243921.866	287997.563	161695.866	141016.276	4877.307	5658.974	2043.553	4316.7	4085.714	3455.188	9469.434	31372.622	29177.666	36942.718	22259.451	33887.698	18464.316	41531.53	25006.933	17714.65	23597.973	14757.3	23144.604	49381.775	19832.869	13306.62	35657.249	8887.682	9470.565	3496.934	3908.448	18567.262	2881.403	17626.889	23571.135	4021.944	16355.517	13778.21	17728.353	16065.659
hsa-mir-103a-1	101431.874	108359.615	54598.617	73729.833	145100.072	155879.24	54791.051	54474.49	67693.244	90357.905	97984.053	100898.454	152399.738	146097.852	95732.15	93480.049	162637.973	54113.684	194403.243	178333.119	138427.037	38507.234	117304.069	115933.193	51094.837	118844.006	116028.726	65605.813	121748.623	161465.398	95513.638	85690.469	42339.227	110332.127	77145.306	123419.983	48718.512	161924.044	105305.475	67625.544	79638.447	98531.295	133685.54	124757.645	104459.408	129893.899	93609.007	71760.158	100888.647	74209.142	142112.761	57110.926	95556.43	72859.21	113513.477	109745.888	66350.331	69312.584	88192.624	104328.789	106053.362	93907.888	65648.96	46519.612	108388.616	100579.901	39942.43	237449.821	153167.774	93572.118	51604.967	111948.304	100305.525	67171.846	101514.806	93572.118	88466.706	101035.137	92842.711	84661.357
hsa-mir-106a	19.229	9.146	16.786	26.78	16.944	7.441	1.777	0	140.334	2.989	19.289	11.739	27.026	8.7	15.725	9.455	7.381	7.787	25.64	45.819	81.345	47.724	33.1	21.755	25.496	10.383	9.672	50.661	10.798	20.511	53.286	24.459	38.537	15.448	36.588	29.79	26.96	29.171	33.998	45.093	56.246	12.567	65.552	28.075	18.017	22.445	11.471	21.635	20.136	23.495	41.95	13.237	36.238	120.652	30.383	11.327	18.21	62.864	32.151	40.962	25.539	38.142	15.121	66.07	11.651	17.973	44.238	74.754	98.501	51.641	13.631	12.437	26.609	26.101	64.227	10.4	90.153	21.281	30.898	19.443
hsa-mir-106b	1654.86	2556.255	2405.037	1650.641	1358.159	1204.184	3905.207	4499.451	1668.717	1988.888	2158.277	2768.729	1345.896	2674.485	1420.519	1558.552	2293.423	5043.631	2159.801	1963.222	1774.908	1849.703	1002.836	1995.915	2566.929	3349.101	1479.798	1637.49	1662.834	1747.195	2902.167	2005.669	3281.307	1682.583	1737.54	1590.948	2426.403	2586.222	2957.842	2050.817	2593.257	2029.214	2204.659	2510.126	1180.139	1698.961	2193.554	2343.384	2489.207	1473.292	1518.865	2697.247	2438.578	1638.395	1723.15	3753.973	1713.206	1286.72	1036.236	1437.907	1094.245	1565.29	2041.37	2318.625	1287.844	1832.224	3000.806	1496.409	1771.972	1140.987	3140.571	2227.01	2981.505	2095.042	2049.783	1629.956	1425.751	2325.757	1872.897	3172.023
hsa-mir-107	1006.318	592.954	668.405	575.777	1432.176	1029.323	791.524	361.591	776.336	1231.596	569.396	560.118	885.372	636.865	659.589	540.529	793.999	1121.384	1194.527	1543.214	767.131	441.032	535.86	954.447	619.041	634.328	866.842	763.181	658.655	898.77	760.273	750.969	651.334	708.049	806.57	1177.618	677.479	716.22	1624.13	768.38	766.728	823.459	1161.101	1265.461	783.756	859.727	873.539	527.204	659.697	975.745	1006.806	963.191	871.834	911.057	947.081	1314.882	1070.026	632.617	1368.871	615.136	765.186	1372.38	828.645	540.895	959.784	1018.137	802.181	1333.553	1274.804	450.812	563.413	772.738	737.457	551.602	792.583	455.707	527.561	942.464	636.975	727.732
hsa-mir-10a	1466.067	833.793	883.576	2169.205	517.224	2197.543	193.661	194.945	720.562	3924.965	3692.861	1133.653	1019.422	525.501	460.402	806.854	902.607	689.616	429.849	299.733	666.579	478.059	1555.693	2611.759	523.176	1915.255	5591.556	552.367	1193.138	482.949	424.382	2055.91	339.25	584.463	2476.624	717.742	2020.263	3087.499	454.674	580.794	1350.507	6494.41	3587.281	165.331	3109.801	660.653	335.298	2302.392	554.223	250.156	1767.903	760.742	417.798	1473.184	1157.158	580.511	168.99	1774.512	1558.064	1477.457	2647.209	707.095	1525.735	406.993	1256.167	1123.863	547.076	2562.984	3880.402	2990.992	673.369	1935.161	1543.337	1526.04	132082.533	616.433	1101.869	1316.409	884.16	1797.11
hsa-mir-10b	65397.87	606.672	3277.931	433.354	195437.565	31396.842	224.754	314.427	85.46	995.441	27548.928	927.382	1544.807	121507.211	221.901	1044.813	14638.894	1210.506	2188.458	1718.854	5050.185	270.708	10810.231	684.457	4525.015	42505.644	33571.1	1387.454	5477.095	3040.342	15207.354	7710.655	1428.386	22060.246	102842.521	1202.753	700.091	1162.994	290.828	608.752	107.756	10804.175	25407.079	2563.157	1578.323	5999.547	2523.558	686.618	442.036	2281.806	4454.05	3730.516	334.665	88294.397	16334.767	374.737	190.113	763.915	129.839	392.67	16218.204	1549.887	19450.48	329.47	2024.795	71634.356	162562.608	463.206	166386.024	3382.486	102.687	529.806	19268.909	24869.052	223016.36	6004.552	264.894	28042.852	695.206	1074.933
hsa-mir-1180	180.053	231.694	431.869	258.065	176.57	336.08	463.721	279.84	279.769	202.277	227.901	154.284	286.476	212.288	164.242	187.531	168.712	687.021	420.799	153.367	206.753	272.354	104.667	174.601	255.979	138.759	235.752	186.301	118.774	246.136	152.245	173.86	241.328	162.208	258.558	159.188	216.55	119.754	167.943	161.432	197.751	71.433	114.528	92.544	153.148	408.883	168.531	211.793	215.744	129.915	215.744	301.338	232.347	146.701	226.57	459.689	231.633	120.158	432.796	330.521	176.808	292.667	196.576	272.209	224.289	206.165	364.226	260.303	224.477	221.219	293.52	118.564	141.916	273.191	143.485	1087.267	247.086	182.412	273.329	256.928
hsa-mir-1247	416.629	504.544	4.578	175.289	4.459	1.24	63.962	0	9.895	174.376	13.574	50.31	19.459	0	34.945	25.214	2.109	316.687	15.082	7.637	7.909	15.634	55.465	7.81	90.765	17.935	50.777	8.171	465.648	3.729	14.273	56.852	5.686	10.299	13.009	29.79	15.654	4.606	5.735	0.902	2.368	82.677	4.521	4.159	3.603	80.02	6.177	92.232	121.776	5.528	0	28.81	0	1.371	204.868	697.557	58.272	27.055	2.473	9.887	5.894	0.734	19.658	12.333	668.863	4.229	14.746	196.228	68.432	1047.475	29.079	4.146	1.267	1.74	2.733	193.817	71.232	12.161	42.782	24.998
hsa-mir-125a	19847.254	16145.412	12554.721	24490.589	24714.392	28115.409	23406.369	26021.984	12112.818	30912.466	27934.003	40501.256	35498.139	17209.273	22720.442	19041.444	19254.21	23009.997	32959.595	22957.926	36446.066	14294.882	20875.268	27853.554	19651.233	16985.267	23231.859	15226.04	24939.815	14288.024	24440.05	20682.721	14641.429	25332.722	16150.909	26095.649	17240.504	22831.525	11842.836	27864.592	20400.88	22423.21	12091.72	25185.489	19550.667	34011.42	30127.402	18460.127	28348.773	19339.377	17818.198	24154.528	6759.379	17516.428	11766.032	11671.58	13095.978	29955.03	24164.836	9279.304	25082.178	25084.989	18127.369	22042.792	22716.955	9495.213	16602.496	16014.648	14478.538	12071.436	12489.587	22737.724	11958.964	26922.333	14025.98	23117.195	14245.271	10981.221	26766.034	29499.539
