	TCGA.RZ.AB0B.01A	TCGA.V3.A9ZX.01A	TCGA.V3.A9ZY.01A	TCGA.V4.A9E5.01A	TCGA.V4.A9E7.01A	TCGA.V4.A9E8.01A	TCGA.V4.A9E9.01A	TCGA.V4.A9EA.01A	TCGA.V4.A9EC.01A	TCGA.V4.A9ED.01A	TCGA.V4.A9EE.01A	TCGA.V4.A9EF.01A	TCGA.V4.A9EH.01A	TCGA.V4.A9EI.01A	TCGA.V4.A9EJ.01A	TCGA.V4.A9EK.01A	TCGA.V4.A9EL.01A	TCGA.V4.A9EM.01A	TCGA.V4.A9EO.01A	TCGA.V4.A9EQ.01A	TCGA.V4.A9ES.01A	TCGA.V4.A9ET.01A	TCGA.V4.A9EU.01A	TCGA.V4.A9EV.01A	TCGA.V4.A9EW.01A	TCGA.V4.A9EX.01A	TCGA.V4.A9EY.01A	TCGA.V4.A9EZ.01A	TCGA.V4.A9F0.01A	TCGA.V4.A9F1.01A	TCGA.V4.A9F2.01A	TCGA.V4.A9F3.01A	TCGA.V4.A9F4.01A	TCGA.V4.A9F5.01A	TCGA.V4.A9F7.01A	TCGA.V4.A9F8.01A	TCGA.VD.A8K7.01B	TCGA.VD.A8K8.01A	TCGA.VD.A8K9.01A	TCGA.VD.A8KA.01B	TCGA.VD.A8KB.01A	TCGA.VD.A8KD.01A	TCGA.VD.A8KE.01A	TCGA.VD.A8KF.01A	TCGA.VD.A8KG.01A	TCGA.VD.A8KH.01A	TCGA.VD.A8KI.01A	TCGA.VD.A8KJ.01A	TCGA.VD.A8KK.01A	TCGA.VD.A8KL.01A	TCGA.VD.A8KM.01A	TCGA.VD.A8KN.01A	TCGA.VD.A8KO.01A	TCGA.VD.AA8M.01A	TCGA.VD.AA8N.01A	TCGA.VD.AA8O.01A	TCGA.VD.AA8P.01A	TCGA.VD.AA8Q.01A	TCGA.VD.AA8R.01A	TCGA.VD.AA8S.01B	TCGA.VD.AA8T.01A	TCGA.WC.A87T.01A	TCGA.WC.A87U.01A	TCGA.WC.A87W.01A	TCGA.WC.A87Y.01A	TCGA.WC.A880.01A	TCGA.WC.A881.01A	TCGA.WC.A882.01A	TCGA.WC.A883.01A	TCGA.WC.A884.01A	TCGA.WC.A885.01A	TCGA.WC.A888.01A	TCGA.WC.A88A.01A	TCGA.WC.AA9A.01A	TCGA.WC.AA9E.01A	TCGA.YZ.A980.01A	TCGA.YZ.A982.01A	TCGA.YZ.A983.01A	TCGA.YZ.A984.01A	TCGA.YZ.A985.01A
hsa-mir-125b-1	3508.421	2519.672	10125.268	7771.158	3707.961	4586.07	5637.499	10608.769	13862.497	11995.109	2726.244	4158.963	11710.916	1144.965	3272.61	6161.719	1074.482	2809.516	14718.926	1220.571	9799.844	10926.25	1496.65	1571.406	16313.307	1954.901	12244.602	10968.893	7706.805	1846.022	24612.277	5057.804	9004.959	2370.035	5606.961	10117.277	19271.203	700.867	3243.754	9110.532	4310.846	6751.7	5393.353	4138.485	6942.099	20466.574	6314.19	10697.81	2222.644	10621.247	1781.22	7889.29	4231.273	12077.506	2382.027	351.139	11326.684	9334.886	19208.707	6025.651	10478.82	16196.428	14569.336	35199.578	7364.414	3008.95	8189.916	9302.832	4301.88	11041.407	3862.103	2599.284	1032.693	502.88	8911.089	8543.085	9343.625	2015.656	14853.645	10788.212
hsa-mir-125b-2	3829.487	2476.992	10677.694	8029.223	3787.329	4603.432	5650.824	10954.639	14414.838	12362.794	2856.984	4376.973	12011.445	1216.308	3347.742	6120.746	1090.299	2950.554	16190.969	1349.755	9595.351	10788.016	1591.476	1593.162	16572.346	2048.351	12621.805	11519.626	7593.43	1963.496	24697.915	5640.862	9654.397	2506.495	5805.351	10689.795	19759.962	743.855	3605.855	9334.192	4651.285	6935.572	5452.878	4181.118	7289.835	20375.82	6726.253	10876.581	2313.735	11023.431	1841.815	8476.393	4706.625	12688.991	2420.223	382.288	11773.924	9958.75	19572.256	6224.811	10997.457	16401.808	14628.309	35403.075	7557.754	3319.783	8751.738	9529.763	4249.001	11481.751	4045.667	2720.335	1150.534	511.58	9273.217	8582.794	9886.768	2237.591	15679.574	11531.221
hsa-mir-126	3817.25	6656.629	7483.694	6019.482	6891.565	6349.561	6018.603	3125.405	4988.16	12590.978	5781.124	5995.279	5378.178	9462.49	7098.227	6757.404	9205.326	3033.62	6802.168	9741.655	7949.24	5933.368	8033.422	5234.674	6060.889	15470.242	4636.458	4523.525	8940.434	11975.835	7412.419	8544.257	8312.561	10034.992	2347.346	9686.26	9523.848	7007.133	6294.989	4593.144	6908.839	10207.581	6616.238	10423.159	18053.422	16470.454	8859.807	8610.627	11881.267	4320.367	13903.508	10038.367	4776.969	4312.612	15942.392	10352.923	9783.924	6275.246	5369.139	17252.062	9937.591	2820.31	5188.105	6892.447	5774.726	5541.077	5571.03	2440.175	4787.643	6583.531	5827.686	10557.985	18182.998	5954.513	6290.1	6236.187	5426.982	6645.888	10766.783	5067.738
hsa-mir-1266	19.812	19.816	19.839	32.867	25.861	42.165	17.767	28.298	26.987	85.694	60.012	50.31	19.459	62.642	48.923	17.335	17.926	22.497	263.942	33.728	5.649	7.405	25.049	15.619	71.389	63.244	20.553	17.976	56.688	49.414	22.837	21.154	27.797	43.77	10.57	71.681	20.003	31.474	31.54	45.995	13.025	28.441	3.014	31.195	32.431	19.517	40.589	17.08	50.82	105.038	37.289	36.597	98.055	5.484	23.438	11.327	53.174	11.14	45.753	37.431	77.599	36.675	37.803	21.142	18.205	22.202	10.322	46.721	47.177	34.893	15.448	16.582	22.808	127.025	30.063	28.363	55.65	85.126	35.652	115.271
hsa-mir-127	668.937	2429.738	44.255	170.42	44.588	350.962	63.962	91.184	220.397	588.894	116.451	125.775	110.266	309.732	274.319	115.04	365.893	770.951	131.217	103.093	150.263	95.447	285.374	339.16	146.856	145.367	180.139	299.062	311.781	242.407	383.467	780.056	843.386	332.14	82.121	382.61	88.707	165.045	27.444	138.886	246.892	332.029	227.549	150.774	73.871	188.34	111.178	421.308	49.861	554.212	228.396	200.892	23.448	95.973	860.273	266.186	145.681	321.481	9.892	456.232	144.393	46.944	210.186	127.736	1713.848	155.417	97.323	700.816	422.515	1458.51	164.48	463.477	340.852	41.762	211.811	8873.992	435.183	33.442	1631.655	274.983
hsa-mir-1271	19.229	18.292	54.937	32.867	16.944	8.681	45.306	66.03	71.966	6.975	37.865	23.478	50.809	24.361	34.945	34.67	21.089	68.356	28.657	9.546	38.413	102.853	11.63	15.619	53.032	36.814	6.045	32.684	37.792	17.714	48.528	16.527	81.496	33.471	24.392	12.102	84.359	20.727	21.3	53.209	68.68	19.842	19.59	12.478	14.414	43.913	4.412	28.467	22.054	8.292	5.993	17.909	61.817	12.339	19.966	69.85	26.223	32.626	68.011	16.95	15.716	33.741	52.924	65.189	11.651	17.973	75.204	17.354	20.219	18.144	49.98	20.728	13.938	22.621	60.127	7.564	65.667	39.523	29.71	26.387
hsa-mir-128-1	1470.145	1242.307	1298.659	609.861	1746.077	1108.693	1304.105	682.307	787.131	1452.805	818.016	1155.454	1031.313	1061.442	1061.458	1314.29	1312.787	1440.667	939.634	2011.587	1341.067	542.24	725.513	1234.477	786.294	1648.12	961.143	859.6	881.356	1122.531	765.03	1361.132	874.973	902.441	1110.66	1195.306	760.969	696.261	1622.901	1362.702	838.368	730.861	1106.097	880.728	904.473	1879.494	2244.731	1361.85	1296.382	2277.66	1350.398	1292.56	1038.101	1048.161	1318.622	1305.442	1341.72	896.805	1199.462	1136.342	806.441	1619.569	1208.189	1020.124	1777.931	1691.609	834.622	870.347	973.6	983.273	1423.071	817.51	1282.313	722.128	856.809	1691.41	1229.864	869.499	1285.834	1011.048
hsa-mir-1287	656.117	1161.518	1281.873	563.604	693.794	405.529	4716.275	1933.726	878.888	1165.831	635.124	1066.573	635.652	819.572	968.853	1153.549	1420.341	5001.233	674.184	742.015	482.423	973.398	738.037	633.137	1141.197	1551.838	1166.671	614.467	604.667	913.688	582.336	787.328	1167.473	505.934	408.976	484.08	1928.947	845.953	2252.072	603.341	971.583	569.476	523.663	768.427	461.245	2401.575	1493.841	813.011	1187.072	819.571	1193.917	1013.025	1681.851	293.403	776.937	735.314	922.888	228.379	1027.581	848.902	685.622	612.473	547.39	420.207	612.063	694.617	451.227	768.895	476.431	299.378	1321.294	892.131	816.017	280.151	352.563	448.143	779.099	969.825	572.802	1705.449
hsa-mir-129-1	639.219	1153.897	1017.868	438.223	2780.525	837.1	511.692	2031.199	940.959	1194.728	407.222	591.981	451.875	824.792	89.984	64.611	142.35	678.368	285.058	498.919	194.325	125.892	405.249	388.807	319.209	443.652	1210.194	419.995	410.31	977.086	696.52	559.26	373.364	1015.729	303.277	516.663	1721.963	207.266	97.898	532.996	165.187	136.251	401.601	739.312	127.923	1391.567	1083.542	1035.052	541.757	310.967	560.002	3350.535	187.583	442.161	858.537	101	2488.957	679.566	1481.398	115.117	1526.442	1386.316	326.619	503.015	926.651	83.523	383.395	1621.889	433.921	117.937	369.853	446.894	1581.351	817.832	2466.572	6129.351	229.278	510.754	223.417	1494.351
hsa-mir-1296	25.639	25.913	15.26	70.603	46.372	52.086	127.923	110.049	69.268	71.743	15.003	57.018	36.755	33.061	99.594	77.218	34.797	18.171	18.099	19.091	51.971	60.889	22.365	3.905	34.674	20.767	38.688	57.198	35.092	21.444	26.643	9.916	62.543	19.31	50.411	21.411	82.619	23.03	66.768	32.467	62.759	21.827	42.194	41.593	41.44	23.42	27.353	50.102	44.108	30.406	0.666	24.138	72.475	57.584	20.834	10.383	37.149	53.315	53.172	81.218	66.794	46.944	60.485	44.047	9.103	75.065	73.73	32.037	7.776	28.612	93.599	19.07	46.883	22.621	65.593	39.709	56.763	60.804	58.231	45.83
hsa-mir-1301	135.186	320.104	73.25	86.427	167.652	297.636	175.894	194.945	119.644	164.412	257.193	243.165	112.428	652.526	185.209	196.986	422.833	192.089	129.709	201.731	89.254	70.763	330.104	274.452	92.805	490.849	174.094	40.856	170.063	330.979	135.117	176.504	54.962	205.978	121.961	82.852	74.792	205.731	79.056	78.461	84.666	92.598	78.361	101.902	187.381	179.557	252.356	135.502	200.402	145.118	263.021	119.134	153.477	74.036	145.838	310.55	257.855	76.392	194.14	139.13	104.12	144.5	149.7	96.903	221.377	137.443	54.56	148.173	300.686	159.11	106.321	232.153	127.978	102.664	49.195	297.817	131.334	100.327	137.853	116.659
hsa-mir-1306	80.995	77.739	137.343	83.993	93.635	101.692	108.379	78.607	124.142	75.729	102.163	98.943	88.645	80.043	82.121	78.794	83.301	83.931	43.739	90.365	123.148	166.21	88.564	51.32	96.884	84.011	108.809	78.443	79.632	84.842	120.844	63.462	71.388	167.357	108.952	65.165	105.231	46.827	39.733	30.663	79.337	44.976	27.125	98.783	64.863	58.551	123.531	85.4	106.434	107.802	48.609	102.782	136.424	47.986	85.94	120.822	158.064	43.766	211.452	74.155	68.759	102.69	123.994	123.331	73.914	62.378	45.713	70.749	97.464	64.202	103.595	58.867	78.561	85.263	54.661	128.581	71.232	91.206	109.332	55.552
hsa-mir-1307	13181.196	16053.954	8558.026	4788.806	8294.312	14117.852	10553.653	8272.576	6817.002	9470.137	13716.953	12974.958	6105.719	36651.053	8980.022	5840.238	22451.295	18880.086	10611.985	9175.916	10129.744	7922.128	16246.657	7986.448	7296.931	28090.728	9893.126	4968.033	10754.435	21631.09	4985.066	13645.03	8640.439	14231.794	6174.487	9460.976	8128.884	14691.336	10463.247	5363.327	8647.742	9341.13	6165.662	14049.013	8731.226	10277.688	12276.316	13520.574	12795.063	5967.8	7149.519	10030.58	10849.965	4560.77	16678.529	12627.772	11809.616	3677.934	12428.654	6081.444	7149.919	7671.683	6263.227	4659.273	7706.674	6649.081	6659.284	8381.76	13978.259	6998.055	7526.103	8403.108	8705.031	9683.479	7037.587	11681.979	6399.743	19016.483	5722.082	12006.191
hsa-mir-130a	596.099	228.645	958.352	2064.518	911.384	543.185	819.063	679.162	1932.294	1255.511	825.16	273.351	1099.419	709.948	819.463	1478.182	463.957	544.252	2748.015	1264.481	1247.294	1439.938	319.369	929.344	1382.899	522.943	920.038	1318.817	510.188	537.025	1563.364	801.871	1625.492	902.441	1645.662	1270.711	1104.492	2371.279	3897.093	1338.352	2871.529	2031.859	2684.621	1820.725	617.996	323.007	265.591	360.959	486.143	704.858	325.614	644.723	1541.164	2452.108	923.643	1337.536	1265.238	2017.214	1337.957	961.901	669.906	1868.96	1350.329	2023.511	656.12	1260.249	1515.887	571.332	473.839	940.704	645.198	1617.609	349.722	1461.657	1321.427	262.835	2949.447	1343.771	1102.823	1197.147
hsa-mir-130b	249.394	205.781	228.906	135.119	248.803	163.7	119.928	160.358	121.443	119.572	193.609	196.209	375.121	396.736	103.088	196.986	333.205	83.065	111.61	170.549	152.522	107.79	147.607	171.254	112.182	361.529	210.363	112.761	148.467	214.437	197.918	114.364	90.34	185.38	186.194	138.708	56.529	148.157	67.177	86.578	117.821	96.566	113.021	118.54	97.294	110.271	108.531	198.129	237.798	186.58	99.882	122.248	215.294	117.91	125.872	133.093	222.892	181.43	354.892	79.805	56.971	132.764	320.571	190.282	192.248	89.867	128.29	109.461	198.038	147.247	134.492	136.804	182.464	245.35	127.087	242.981	416.262	155.05	200.837	154.157
hsa-mir-132	8601.778	1028.904	1768.679	1476.569	12959.138	1491.899	1334.309	317.571	3671.178	1276.436	3220.626	1859.794	881.048	1806.191	1257.151	1675.168	3954.178	2584.547	3224.62	6347.858	6063.611	1750.142	2342.038	6955.021	2450.668	2941.319	697.584	2774.908	3289.227	6351.062	1786.973	2779.115	2789.806	5862.649	2049.76	4600.624	1294.081	2646.099	1797.807	3840.997	1821.793	4469.826	1042.805	3373.177	908.076	3122.731	2191.79	1529.235	3741.482	3627.947	2481.723	2981.454	1394.082	1645.936	5294.454	15510.506	7184.25	781.422	1560.537	2329.89	1372.226	2325.197	1574.123	2159.175	3289.336	1111.176	1812.281	4212.906	4253.667	1080.972	2340.889	8227.335	2816.781	4886.111	3209.96	2473.297	2798.079	568.518	1355.949	1380.469
hsa-mir-133a-1	74.585	59.448	50.359	272.672	19.619	13.642	29.316	609.989	142.133	42.847	270.767	75.465	17.297	304.512	96.973	23.638	35.851	189.493	9.049	43.274	204.493	37.85	308.634	26.776	547.652	184.068	39.897	101.322	133.621	180.873	12.37	46.936	116.874	118.437	31.71	38.168	1295.821	19.959	167.124	67.639	63.943	216.943	21.097	77.987	81.078	37.082	63.53	299.47	60.408	26.259	9.988	33.482	272.848	10.283	14.757	8.495	48.803	11.936	196.613	382.783	70.723	52.079	99.8	95.141	30.949	151.188	16.221	68.079	23.329	57.224	80.877	7.462	46.883	52.202	228.209	120.072	56.763	243.216	14.261	5.555
hsa-mir-134	220.842	972.505	7.63	120.511	9.809	115.334	40.864	53.453	83.661	584.909	75.729	60.372	39.999	259.27	164.242	138.678	165.548	374.66	55.805	46.456	30.504	40.318	116.297	89.253	97.904	82.123	93.092	111.127	269.941	107.218	301.635	241.95	333.564	117.15	39.028	186.185	36.526	46.059	6.144	70.345	61.575	74.74	63.292	55.11	52.25	91.73	47.648	335.908	44.108	182.434	131.844	156.509	10.658	41.131	296.017	103.831	82.31	163.128	3.71	382.783	112.961	14.67	182.967	52.856	707.459	54.977	35.39	465.876	217.738	644.815	67.246	259.514	88.698	33.061	98.39	4788.704	132.447	39.523	848.508	140.269
hsa-mir-135b	6.41	25.913	3.052	10.956	5.351	4.961	18.655	34.587	26.088	7.971	37.15	5.031	1.081	53.942	45.429	0	9.49	18.171	10.558	0	2.26	2.468	11.63	8.367	49.972	15.103	7.254	3.268	9.448	2.797	0	11.238	1.895	3.862	26.831	13.964	46.093	82.906	553.802	13.528	16.578	35.055	1.507	9.358	3.603	439.134	9.706	18.219	0.959	9.675	9.988	1.557	8.526	5.484	5.209	15.103	4.37	0.796	3.71	2.119	6.876	4.401	0	1.762	39.688	27.489	2.949	4.005	4.666	28.612	36.349	26.532	0	12.18	0	41.6	4.452	15.201	0	0
hsa-mir-136	18.646	54.875	9.156	10.956	3.567	8.681	1.777	0	4.498	32.882	2.858	1.677	1.081	12.18	6.115	6.304	1.054	38.072	3.016	0.636	1.13	4.114	6.262	6.136	5.099	2.832	1.209	1.634	10.798	2.797	14.273	24.459	18.952	6.437	4.065	7.447	6.957	19.191	1.638	7.215	25.459	31.086	20.344	21.836	1.802	11.71	0	11.387	0.959	16.585	10.654	10.122	2.132	1.371	26.911	18.878	5.827	11.14	1.237	19.775	14.734	0.734	6.049	12.333	64.083	7.401	5.898	14.684	12.961	42.569	9.996	25.703	8.87	0	5.466	200.435	14.469	0	42.782	13.888
hsa-mir-139	462.662	281.996	448.655	225.198	613.535	638.677	255.846	59.741	160.125	817.078	182.893	219.687	419.444	280.151	418.468	242.687	352.185	201.607	553.525	734.379	396.558	148.931	318.474	235.404	187.65	666.422	327.635	333.381	210.554	440.994	515.729	831.619	360.729	212.415	157.736	454.291	360.047	84.442	168.352	278.673	122.558	174.613	377.49	224.601	740.515	452.796	461.476	252.785	214.785	150.646	980.171	562.186	119.371	263.24	798.639	327.54	320.498	535.536	239.892	627.142	483.275	345.479	185.992	344.446	648.837	581.491	271.326	308.359	487.318	311.242	118.135	287.704	613.28	252.31	325.232	648.579	235.956	446.91	633.41	266.65
hsa-mir-140	30722.134	8170.261	29945.46	103899.065	19673.241	25430.487	37909.647	76081.918	164265.641	26958.604	44425.782	23258.33	31265.864	10932.847	99004.761	22180.611	16783.64	18769.332	87680.095	35344.363	71230.203	65224.256	15839.619	31439.283	98269.422	16367.93	45483.231	62373.324	15057.288	24384.273	26584.799	29087.494	49323.85	29009.43	108617.788	37243.459	77555.308	26321.274	202323.586	52086.594	68603.487	26287.844	53342.811	26957.342	44077.737	60380.931	13954.571	30477.657	18531.938	57718.221	16315.98	13441.85	148034.876	58668.929	21417.408	16528.052	22787.395	41014.296	28571.932	53719.538	30782.271	56677.595	27505.576	18652.068	23104.364	195772.028	14757.775	21978.926	22297.405	41818.054	76555.971	21004.039	9355.057	21096.585	23331.993	15319.124	19946.051	97961.489	19521.628	69384.537
hsa-mir-141	0.583	0	22.891	7.304	0	0	13.325	0	0	0.996	2.143	0	1.081	0	0.874	1.576	3.163	5.192	7.541	1.909	2.26	7.405	0.895	11.157	2.04	3.776	3.627	3.268	1.35	9.323	0.952	7.933	5.054	2.575	1.626	5.586	6.088	19.191	9.012	2.706	6.513	14.551	7.535	10.398	0	0	4.412	1.139	0	0	7.325	8.565	0	2.742	2.604	10.383	1.457	4.774	3.71	1.412	5.894	0.734	1.512	1.762	7.282	1.057	10.322	2.67	2.592	0	18.175	4.146	0	5.22	4.1	2.836	1.113	0	2.377	5.555
hsa-mir-142	388.659	304.86	305.208	242.24	115.93	119.054	43.529	28.298	194.309	268.042	1633.175	31.863	85.402	102.664	59.407	876.193	320.552	236.217	346.895	400.281	225.959	229.567	1019.833	5986.071	281.475	404.951	71.33	480.461	611.416	1478.682	1056.198	3933.333	771.998	204.691	116.27	517.593	701.83	10972.827	537.417	229.973	494.377	17885.919	751.965	1983.977	174.769	259.577	59.118	67.182	131.364	35.934	4615.858	703.122	202.504	322.195	1393.277	1669.796	182.829	772.669	116.237	299.446	507.832	76.284	190.528	388.493	2272.387	273.829	949.641	112.131	1472.323	346.832	81.786	3530.383	46.883	252.31	608.102	104.945	400.68	243.216	224.605	141.658
hsa-mir-143	116164.211	87715.986	54626.085	12959.233	26356.132	106329.102	32922.424	21019.45	10352.344	55296.276	53731.877	21772.507	22887.797	54218.78	17942.571	13620.393	223036.723	43737.424	27033.715	39306.444	12796.061	19886.779	42549.406	53338.562	16703.905	109474.452	14093.14	22158.406	44379.589	41726.625	40385.791	124364.057	49268.256	93134.25	5583.381	66224.971	60043.464	20911.626	26057.353	23807.149	18712.895	54378.036	23332.017	28451.564	25164.885	47090.783	42884.606	44468.502	37019.768	55294.062	136243.723	65311.676	12879.271	18853.194	148244.714	63815.649	30287.043	15789.175	4429.354	24483.973	22416.307	6550.161	13070.819	34869.227	61913.361	13964.233	38310.05	80894.194	22043.377	24112.863	23145.357	39820.037	107733.311	18315.956	39060.66	35118.735	14785.075	20351.133	93795.797	19454.335
hsa-mir-144	167.817	82.312	42.729	53.561	109.687	66.968	29.316	15.721	125.941	16.939	90.018	55.341	68.106	102.664	27.956	39.397	137.078	22.497	171.939	329.007	126.537	60.066	2130.914	1910.009	162.154	130.264	6.045	303.965	51.289	49.414	117.99	364.246	103.607	68.23	80.494	1024.947	265.252	590.325	335.476	404.933	523.98	332.691	327.76	213.163	181.976	289.828	92.648	38.715	224.374	58.047	3438.588	208.678	102.318	758.872	157.123	106.663	96.149	91.511	55.645	99.58	154.216	112.226	84.679	68.713	157.658	577.262	405.514	340.396	8528.589	44.662	13.631	90.374	105.17	389.775	1511.373	19.854	203.679	72.965	339.879	29.165
hsa-mir-145	7045.394	4095.801	1887.71	1017.652	1787.098	10319.277	1726.961	1657.031	886.984	3908.026	5420.34	1740.727	943.749	3930.814	1291.222	461.735	11166.598	691.347	800.876	1639.306	1038.282	752.059	2737.447	1499.446	1462.446	4140.123	886.186	838.356	3274.38	3434.72	1161.818	2836.627	2258.505	5633.499	721.197	1535.093	1242.77	1010.231	423.544	445.516	539.966	1143.582	825.805	1439.111	2344.062	3577.479	2022.376	2115.65	2475.783	4030.131	3218.849	1092.447	573.407	989.892	5052.258	1421.545	2254.411	646.941	563.871	1502.881	1417.411	717.364	757.575	1154.027	1845.655	550.83	1240.137	1192.055	924.35	1201.7	756.972	1447.64	7454.396	2530.059	3267.354	2809.877	594.341	1775.48	3991.791	1038.824
hsa-mir-1468	16.898	42.68	90.036	55.995	4.459	19.842	32.869	132.059	34.184	48.825	22.147	25.155	59.457	26.101	52.418	171.772	26.361	51.051	18.099	7	41.802	27.153	3.578	24.545	27.536	16.047	154.75	22.879	10.798	10.256	108.474	11.238	20.848	7.724	19.514	17.688	53.92	39.15	6.144	85.676	24.275	29.764	50.483	38.473	23.423	61.479	18.53	35.299	31.642	2.764	37.289	35.818	36.238	17.824	8.681	9.439	46.618	67.638	60.591	33.9	90.369	40.343	37.803	119.807	25.487	65.55	39.814	29.368	13.997	40.475	98.143	30.677	25.342	41.762	16.398	277.017	11.13	148.97	49.912	45.83
hsa-mir-146a	24956.927	58033.244	36637.14	69250.218	72659.278	76172.408	110270.576	98013.206	41703.536	38364.818	28881.33	105233.502	125999.638	35647.034	92622.908	42922.438	75347.651	28770.932	48146.076	45448.116	43788.605	36095.544	32971.026	20865.621	44607.656	19936.969	57047.175	72157.407	53831.561	13055.478	12187.197	15449.735	39424.966	44640.587	73732.833	81552.627	78996.365	48509.506	86314.828	43498.236	75244.712	64213.242	69235.798	51948.385	84361.012	74454.69	98285.531	55464.644	100059.231	182724.153	22655.793	33733.491	57807.505	74337.879	38397.162	25969.147	17569.107	39910.597	60904.24	38691.429	33524.76	56885.176	58504.164	24550.818	19977.784	115349.763	39556.085	78347.228	24466.49	44070.021	110893.248	42262.618	119353.957	71976.174	45697.856	19141.578	24337.944	43274.28	76989.632	38830.898
hsa-mir-146b	556.476	1217.918	103.771	381.011	313.901	1694.043	253.181	267.263	265.376	733.378	1041.631	466.206	750.242	850.893	546.017	857.283	2574.961	261.31	250.368	812.017	151.393	104.498	582.378	3565.648	270.257	341.706	369.949	482.095	1202.586	1825.511	1089.502	1119.843	471.285	110.713	173.185	1172.033	242.64	2345.179	290.009	141.591	285.377	2574.218	947.114	1314.333	756.73	804.103	592.066	518.095	734.489	1319.882	4922.827	466.412	213.162	452.444	1286.503	747.585	140.582	770.281	179.301	746.497	666.959	219.317	119.458	677.44	1676.709	462.021	234.461	2765.887	1264.435	4099.878	154.484	2679.708	736.19	250.57	539.776	1632.792	536.465	246.257	511.006	320.813
hsa-mir-148a	96460.3	44704.743	160926.897	108736.562	159780.318	68494.648	135361.266	120293.508	245398.581	87369.591	169747.293	50955.681	127568.229	86383.938	175763.459	77681.781	68729.939	102462.972	144498.557	118689.348	75127.997	127019.814	122096.39	87234.528	224670.019	84532.71	124722.538	118337.232	128410.758	130745.912	247005.791	181390.115	66053.843	205371.674	256501.374	101464.151	219340.711	171024.566	370118.537	85791.595	170024.7	332770.565	306923.845	334379.188	225941.643	418210.772	96556.982	95569.76	65452.921	113959.005	165481.042	67103.352	478899.123	197861.877	125394.965	151948.584	123272.2	131592.373	295955.556	175990.386	135584.226	155189.667	185572.667	114147.343	52416.013	352040.756	69269.231	92439.637	65375.307	101621.138	98540.879	124158.721	100409.428	102331.661	123111.317	39020.607	101317.389	467732.516	92521.846	75256.391
hsa-mir-148b	1249.886	769.773	692.822	656.117	1335.865	855.703	848.379	622.566	816.817	608.823	1270.961	461.175	664.84	977.918	606.298	450.704	1483.608	1200.988	628.937	1042.385	702.733	500.276	980.471	2257.537	638.418	1607.531	787.049	841.624	758.533	858.68	454.831	1226.935	617.219	1031.177	753.72	766.15	769.665	1063.199	1300.942	537.505	510.955	1340.022	687.92	746.591	711.687	765.069	1159.425	601.218	743.119	808.514	1357.057	570.751	929.388	785.607	1284.767	1260.134	775.75	457.553	719.677	571.349	408.623	582.4	570.072	391.136	1072.657	819.373	498.414	895.71	1305.909	591.08	672.46	1445.152	785.607	551.602	770.718	730.833	521.996	601.961	702.337	665.236
hsa-mir-149	201.031	221.024	90.036	93.731	121.28	354.683	376.662	185.512	71.067	215.23	252.906	258.258	185.939	229.689	88.236	18.911	210.889	64.895	125.184	113.911	707.252	70.763	108.245	48.531	65.27	89.674	184.975	52.295	246.996	82.045	69.462	72.056	68.861	131.311	69.924	202.01	23.481	89.815	38.094	103.713	72.824	68.125	45.962	120.619	36.035	266.408	142.943	117.283	275.194	143.736	53.936	246.832	46.896	39.76	87.677	148.196	303.016	104.243	100.161	40.256	333.971	41.81	87.703	73.118	281.09	57.092	125.341	198.898	158.119	134.685	210.825	114.418	196.402	269.711	71.059	1915.481	197.001	63.844	218.663	183.322
hsa-mir-150	419.542	2063.906	346.411	267.803	171.219	1920.99	119.928	75.462	165.522	1053.234	845.879	236.457	2078.842	281.891	682.303	1676.744	1679.735	558.961	122.168	274.915	125.407	91.333	885.645	8936.432	321.249	800.462	178.93	529.488	441.353	450.318	1165.624	4261.221	683.553	149.334	47.971	296.034	363.526	1360.28	77.827	142.493	33.748	3798.493	198.163	174.69	1567.513	210.784	302.651	257.34	341.355	138.208	10244.515	1051.957	89.528	150.129	2026.98	681.511	71.384	502.911	45.753	228.822	359.51	180.441	219.258	155.045	3879.552	446.162	501.363	1014.515	419.923	3420.17	60.885	11581.116	473.898	102.664	538.41	346.035	132.447	504.674	573.991	283.316
hsa-mir-151a	33355.344	35854.643	23896.242	15405.979	41550.926	19439.329	24908.577	21601.14	13615.113	17438.644	23429.556	25545.759	15148.626	37014.727	25300.265	24112.649	51135.429	28015.556	25646.134	35295.998	15605.862	37244.203	34341.539	35187.899	15446.446	45932.148	21129.434	19171.05	17905.162	22509.349	17400.631	28985.69	31313.933	33260.301	14576.797	26309.762	14502.756	25700.243	55404.747	45534.623	38274.815	20881.457	21015.844	18001.37	39978.781	22417.305	42595.191	27126.549	23438.438	31834.718	29558.272	42227.793	15812.385	18041.537	27608.594	27409.57	27680.085	15468.49	12250.59	22498.729	20432.128	15387.377	16395.985	19662.502	22062.292	24260.845	47017.55	21418.273	28047.243	17151.795	38422.019	22802.396	25126.749	14226.796	13102.211	11950.486	24962.336	19089.448	22416.538	19066.86
