	TCGA.3H.AB3K.01A	TCGA.3H.AB3L.01A	TCGA.3H.AB3M.01A	TCGA.3H.AB3O.01A	TCGA.3H.AB3S.01A	TCGA.3H.AB3T.01A	TCGA.3H.AB3U.01A	TCGA.3H.AB3X.01A	TCGA.3U.A98D.01A	TCGA.3U.A98E.01A	TCGA.3U.A98F.01A	TCGA.3U.A98G.01A	TCGA.3U.A98H.01A	TCGA.3U.A98I.01A	TCGA.3U.A98J.01A	TCGA.LK.A4NW.01A	TCGA.LK.A4NY.01A	TCGA.LK.A4NZ.01A	TCGA.LK.A4O0.01A	TCGA.LK.A4O2.01A	TCGA.LK.A4O4.01A	TCGA.LK.A4O5.01A	TCGA.LK.A4O6.01A	TCGA.LK.A4O7.01A	TCGA.MQ.A4KX.01A	TCGA.MQ.A4LC.01A	TCGA.MQ.A4LI.01A	TCGA.MQ.A4LJ.01A	TCGA.MQ.A4LM.01A	TCGA.MQ.A4LP.01A	TCGA.MQ.A4LV.01A	TCGA.MQ.A6BL.01A	TCGA.MQ.A6BN.01A	TCGA.MQ.A6BQ.01A	TCGA.MQ.A6BR.01A	TCGA.MQ.A6BS.01A	TCGA.NQ.A57I.01A	TCGA.NQ.A638.01A	TCGA.SC.A6LM.01A	TCGA.SC.A6LN.01A	TCGA.SC.A6LP.01A	TCGA.SC.A6LQ.01A	TCGA.SC.A6LR.01A	TCGA.SC.AA5Z.01A	TCGA.SH.A7BC.01A	TCGA.SH.A7BD.01A	TCGA.SH.A7BH.01A	TCGA.SH.A9CT.01A	TCGA.SH.A9CU.01A	TCGA.TS.A7OU.01B	TCGA.TS.A7OY.01A	TCGA.TS.A7OZ.01A	TCGA.TS.A7P0.01A	TCGA.TS.A7P1.01A	TCGA.TS.A7P3.01A	TCGA.TS.A7P6.01A	TCGA.TS.A7P7.01A	TCGA.TS.A7P8.01A	TCGA.TS.A7PB.01A	TCGA.TS.A8AF.01A	TCGA.TS.A8AI.01A	TCGA.TS.A8AS.01A	TCGA.TS.A8AV.01A	TCGA.TS.A8AY.01A	TCGA.UD.AABY.01A	TCGA.UD.AABZ.01A	TCGA.UD.AAC1.01A	TCGA.UD.AAC4.01A	TCGA.UD.AAC5.01A	TCGA.UD.AAC6.01A	TCGA.UD.AAC7.01A	TCGA.UT.A88C.01B	TCGA.UT.A88D.01B	TCGA.UT.A88E.01B	TCGA.UT.A88G.01B	TCGA.UT.A97Y.01A	TCGA.XT.AASU.01A	TCGA.YS.A95B.01A	TCGA.YS.A95C.01A	TCGA.YS.AA4M.01A	TCGA.ZN.A9VO.01A	TCGA.ZN.A9VP.01A	TCGA.ZN.A9VQ.01A	TCGA.ZN.A9VS.01A	TCGA.ZN.A9VU.01A	TCGA.ZN.A9VV.01A	TCGA.ZN.A9VW.01A
hsa-mir-376c	114.683	122.07	14.241	66.275	104.203	85.105	54.923	25.833	30.944	76.417	132.971	287.135	52.272	115.01	45.645	32.753	34.321	14.104	13.967	41.918	18.601	67.458	85.577	14.39	39.568	80.71	27.333	92.808	187.962	121.022	212.04	29.348	54.928	89.333	40.798	75.741	114.573	9.692	239.505	37.545	36.846	60.302	51.754	239.162	57.394	53.877	19.509	31.276	21.091	87.188	27.057	105.412	15.324	163.3	85.88	76.115	165.439	76.899	107.921	105.893	55.526	67.795	142.286	25.397	80.291	68.688	5.032	367.052	78.976	174.369	17.262	71.656	95.911	58.169	4.652	226.505	207.016	71.917	22.731	114.554	82.579	16.191	126.193	50.122	243.178	215.623	0
hsa-mir-378a	3431.938	2493.91	2980.782	2591.127	2477.359	1270.127	6057.363	7395.143	1886.777	5002.35	1027.9	2514.211	2518.718	1703.131	2809.556	13095.001	3373.042	1212.439	3629.982	18492.989	5887.567	12115.375	2432.843	1723.577	1687.489	3813.305	11704.375	3414.661	3809.093	2681.196	5082.523	2115.013	6141.081	5239.154	10905.013	4789.193	2892.27	6250.508	4545.279	839.648	1657.132	5716.675	9456.254	7447.274	5045.863	880.617	11393.092	2352.71	9537.068	5723.922	7679.982	1248.729	8096.483	1522.847	1413.177	2430.878	621.822	5869.482	2510.025	1366.016	1680.129	4426.143	1888.606	2030.551	2151.392	2651.595	4366.179	1731.192	5044.875	5405.454	3727.039	1583.315	1540.438	343.197	3472.591	1827.362	2622.972	1848.585	11510.879	4288.687	2004.17	5589.917	816.984	7308.594	6207.751	1096.285	1266.088
hsa-mir-378c	48.783	35.485	39.437	54.298	38.39	32.237	91.538	74.781	28.563	203.386	8.748	18.263	36.784	9.788	42.497	263.234	67.046	39.29	66.733	127.502	81.605	157.952	22.923	44.768	97.571	169.806	175.508	88.281	70.281	17.467	51.404	58.696	117.592	265.136	368.588	91.035	13.041	180.625	46.127	12.515	23.95	133.935	155.935	44.955	56.703	23.223	94.292	21.111	79.093	158.619	43.707	10.812	143.486	26.19	12.177	37.791	7.987	76.899	76.18	17.92	22.019	56.106	15.024	27.256	22.376	21.317	85.552	25.314	127.002	64.34	42.371	26.871	21.232	3.49	44.664	14.225	25.443	35.958	274.038	48.004	120.621	114.686	6.543	128.885	204.389	9.691	16.267
hsa-mir-379	1965.02	4092.169	1079.041	2233.399	3651.009	6017.954	3849.471	882.414	1168.723	4004.231	10507.33	19158.936	1748.195	8606.196	1980.068	2848.269	3632.445	1243.165	2549.833	3755.188	1086.668	3503.727	13070.416	1690.001	4798.079	7020.758	1122.101	4718.502	11622.595	8167.106	18810.474	2160.014	4688.976	5168.719	3047.889	6214.444	11389.305	572.714	13137.312	5135.732	7572.699	5428.493	2917.734	10361.269	6675.724	7297.6	2380.064	1537.979	944.592	5324.75	1850.272	4760.846	1107.485	8761.186	9168.667	9027.301	3817.646	4568.11	5917.604	3349.469	3524.919	4313.151	6801.457	996.692	7884.927	2473.953	496.202	5868.615	2306.32	5936.022	1616.358	4113.311	3527.485	4505.773	203.777	16584.133	15519.251	5372.503	1519.209	7513.658	4668.047	940.423	7781.447	1037.217	5952.638	5423.277	78.622
hsa-mir-381	368.013	420.146	130.361	251.527	345.514	707.919	474.776	329.036	149.958	761.815	940.42	1707.594	181.983	587.287	199.896	129.798	218.697	82.609	142.778	244.524	96.606	324.13	589.873	91.135	305.304	641.491	117.964	340.674	707.718	310.664	1339.704	135.001	239.826	551.46	178.667	354.674	691.164	57.271	894.153	257.128	376.747	260.253	299.772	1351.353	419.048	390.147	110.549	202.51	146.886	471.654	126.959	496.789	107.266	657.821	401.842	690.354	1218.543	412.594	515.19	311.976	401.125	546.255	1588.126	142.473	624.555	317.386	43.279	1134.908	340.452	859.726	178.898	504.346	497.86	486.293	22.332	1388.576	1291.825	549.182	217.21	1074.627	753.42	130.877	1033.382	236.289	1035.371	1039.35	12.2
hsa-mir-382	116.395	117.811	51.487	91.029	107.337	180.526	139.137	19.035	96.005	189.278	501.265	1088.68	100.671	254.491	110.179	107.962	158.037	33.245	76.045	118.769	37.202	113.528	565.422	54.361	165.467	299.782	37.403	92.808	538.552	275.106	565.439	93.914	127.649	200.999	123.801	170.418	273.857	22.909	463.044	187.726	245.023	187.255	68.558	506.195	186.013	194.144	78.035	60.987	0	170.174	52.032	257.314	34.827	402.087	249.309	356.089	316.045	181.896	245.143	161.283	148.387	192.475	371.181	58.848	236.923	145.666	20.13	352.989	125.935	385.105	86.31	162.603	164.001	325.747	11.166	486.932	434.849	173.254	41.674	188.742	248.666	22.937	722.106	85.923	343.135	241.061	2.711
hsa-mir-3913-2	6.847	14.194	25.196	3.194	7.835	12.895	14.646	17.675	11.901	5.878	8.748	3.044	13.552	9.788	14.166	6.065	11.972	9.067	6.208	6.986	4.8	8.227	7.641	12.791	4.047	5.241	7.193	9.054	8.989	6.862	6.425	1.957	8.51	7.444	4.924	18.935	3.726	12.335	1.774	10.24	0	5.713	6.721	5.395	6.223	8.36	6.503	7.037	19.585	8.404	6.244	5.406	22.289	17.716	7.691	9.049	25.101	3.697	9.767	15.477	7.659	7.793	4.419	14.247	19.744	13.027	4.026	4.219	11.74	9.325	17.262	9.646	8.786	6.98	13.957	9.848	6.939	21.248	16.417	3.273	8.351	2.698	14.956	10.229	7.459	10.902	4.067
hsa-mir-409	145.494	193.04	71.206	95.021	176.283	257.894	151.343	27.193	86.484	166.941	573.875	1049.11	102.607	449.03	149.528	137.076	165.22	29.215	74.493	167.673	18.001	129.981	464.563	59.158	160.071	373.155	46.035	126.762	369.386	348.718	597.566	131.088	191.087	177.521	116.767	120.895	427.553	16.741	580.135	190.002	259.762	228.515	60.492	570.931	212.981	184.855	71.532	97.736	75.326	165.972	22.894	292.451	40.399	395.925	282.635	323.088	282.958	156.756	247.584	210.971	155.089	147.278	315.504	68.759	285.624	125.533	40.26	521.748	133.406	522.176	91.018	263.197	213.787	294.335	12.096	814.106	360.832	214.116	98.502	391.666	193.922	71.51	516.457	112.519	441.599	311.321	2.711
hsa-mir-410	110.404	146.2	29.578	61.484	78.348	212.762	50.041	46.228	61.094	76.417	474.146	989.248	108.415	170.068	89.717	37.605	63.055	10.578	43.454	43.665	29.402	74.04	212.415	7.994	70.593	80.71	14.386	74.699	633.351	330.627	401.59	19.565	57.249	150.606	47.832	86.666	256.159	28.195	599.65	75.09	94.878	85.058	47.049	393.807	116.172	90.105	26.012	56.296	33.897	100.844	20.813	190.823	16.717	399.776	121.129	159.681	269.266	150.101	124.525	140.919	152.217	90.393	243.919	31.592	157.949	90.005	6.039	399.398	66.169	328.225	40.801	90.259	174.983	442.085	9.305	317.326	301.85	109.509	23.994	115.645	281.141	20.239	892.233	59.328	167.092	568.13	1.356
hsa-mir-411	30.81	36.905	8.764	19.962	35.257	70.921	47.6	31.272	19.836	24.688	110.226	289.165	21.296	88.093	20.462	35.179	46.294	14.608	13.967	29.692	13.201	40.311	143.648	22.384	48.561	31.446	15.824	47.536	139.746	95.445	250.592	29.348	41.776	44.094	31.654	56.078	104.327	4.405	205.797	56.887	84.745	65.381	32.262	159.141	60.16	36.228	48.772	24.239	18.832	44.119	29.138	52.436	15.324	87.042	72.421	104.857	61.612	45.844	89.365	35.026	53.611	53.768	82.19	23.539	102.008	43.818	7.045	92.818	21.345	73.664	32.955	55.12	52.715	50.025	4.652	213.375	182.729	73.551	25.257	78.551	33.403	10.794	143.486	18.412	76.086	94.486	1.356
