	TCGA.3H.AB3K.01A	TCGA.3H.AB3L.01A	TCGA.3H.AB3M.01A	TCGA.3H.AB3O.01A	TCGA.3H.AB3S.01A	TCGA.3H.AB3T.01A	TCGA.3H.AB3U.01A	TCGA.3H.AB3X.01A	TCGA.3U.A98D.01A	TCGA.3U.A98E.01A	TCGA.3U.A98F.01A	TCGA.3U.A98G.01A	TCGA.3U.A98H.01A	TCGA.3U.A98I.01A	TCGA.3U.A98J.01A	TCGA.LK.A4NW.01A	TCGA.LK.A4NY.01A	TCGA.LK.A4NZ.01A	TCGA.LK.A4O0.01A	TCGA.LK.A4O2.01A	TCGA.LK.A4O4.01A	TCGA.LK.A4O5.01A	TCGA.LK.A4O6.01A	TCGA.LK.A4O7.01A	TCGA.MQ.A4KX.01A	TCGA.MQ.A4LC.01A	TCGA.MQ.A4LI.01A	TCGA.MQ.A4LJ.01A	TCGA.MQ.A4LM.01A	TCGA.MQ.A4LP.01A	TCGA.MQ.A4LV.01A	TCGA.MQ.A6BL.01A	TCGA.MQ.A6BN.01A	TCGA.MQ.A6BQ.01A	TCGA.MQ.A6BR.01A	TCGA.MQ.A6BS.01A	TCGA.NQ.A57I.01A	TCGA.NQ.A638.01A	TCGA.SC.A6LM.01A	TCGA.SC.A6LN.01A	TCGA.SC.A6LP.01A	TCGA.SC.A6LQ.01A	TCGA.SC.A6LR.01A	TCGA.SC.AA5Z.01A	TCGA.SH.A7BC.01A	TCGA.SH.A7BD.01A	TCGA.SH.A7BH.01A	TCGA.SH.A9CT.01A	TCGA.SH.A9CU.01A	TCGA.TS.A7OU.01B	TCGA.TS.A7OY.01A	TCGA.TS.A7OZ.01A	TCGA.TS.A7P0.01A	TCGA.TS.A7P1.01A	TCGA.TS.A7P3.01A	TCGA.TS.A7P6.01A	TCGA.TS.A7P7.01A	TCGA.TS.A7P8.01A	TCGA.TS.A7PB.01A	TCGA.TS.A8AF.01A	TCGA.TS.A8AI.01A	TCGA.TS.A8AS.01A	TCGA.TS.A8AV.01A	TCGA.TS.A8AY.01A	TCGA.UD.AABY.01A	TCGA.UD.AABZ.01A	TCGA.UD.AAC1.01A	TCGA.UD.AAC4.01A	TCGA.UD.AAC5.01A	TCGA.UD.AAC6.01A	TCGA.UD.AAC7.01A	TCGA.UT.A88C.01B	TCGA.UT.A88D.01B	TCGA.UT.A88E.01B	TCGA.UT.A88G.01B	TCGA.UT.A97Y.01A	TCGA.XT.AASU.01A	TCGA.YS.A95B.01A	TCGA.YS.A95C.01A	TCGA.YS.AA4M.01A	TCGA.ZN.A9VO.01A	TCGA.ZN.A9VP.01A	TCGA.ZN.A9VQ.01A	TCGA.ZN.A9VS.01A	TCGA.ZN.A9VU.01A	TCGA.ZN.A9VV.01A	TCGA.ZN.A9VW.01A
ENSG00000005100.13	926.135009	943.5508839	764.2724834	848.160013	1417.164761	1086.300981	1312.720765	1313.347897	1444.479744	988.2604106	2405.058705	1315.877986	1006.592338	1132.859666	1192.129484	637.6242237	2065.535572	1101.55257	1866.535225	1106.545665	1531.790944	1291.116671	1179.524225	1496.995033	826.8436123	950.6690215	1333.22828	1092.696822	1834.722029	1505.653608	1051.528627	1015.632283	951.8194175	954.4118643	1346.715194	1038.155113	1791.985764	1184.538477	1148.518271	723.3905093	872.5200402	794.0422491	1075.888927	840.3327008	998.4890284	746.5660327	815.4965303	793.4905944	1218.224548	574.4729906	784.9381714	1352.318579	1659.713328	1343.299072	1125.713568	918.1889057	1358.501957	1111.794824	751.422925	1764.566262	1348.673251	2290.406208	934.2950258	986.8636448	1114.677701	1883.089984	1445.094074	1251.748172	1913.748524	1390.149666	1164.95454	866.0995273	1059.768452	1551.623898	1307.601587	1081.032848	1457.260841	966.932889	1600.092851	1454.011681	539.9456629	958.568957	1280.735122	763.6966446	1165.268581	1101.332737	1373.902607
ENSG00000005102.14	84.07828142	66.99211276	35.82527266	299.8545501	76.38032943	362.1003268	57.47908051	39.54165712	166.6707396	5.719099599	18.6375843	796.846467	303.5400399	100.0759422	50.77392657	182.1783496	1760.498673	190.0178184	99.50574716	48.98972373	6.387785422	44.7448771	454.4183696	3074.545853	133.1016547	54.20836123	56.33358931	238.5464894	247.7876822	262.3123388	41.03971224	137.0654187	18.3684449	61.86002824	69.52234971	99.08161206	174.1743173	65.52403931	186.659719	118.4863765	32.92528454	80.19738587	149.2393525	363.8987666	81.21044098	40.6962687	173.388281	270.8094391	1.349085878	74.6561816	326.4462489	256.1494801	26.30425009	4.470213218	71.80227081	328.1930331	425.8969156	168.6481843	67.61715726	92.69766481	50.93768814	330.0155182	178.9661395	41.72401439	577.1321929	36.6619289	20.1173189	27.39804481	190.0920228	82.47663536	88.16886211	501.4691681	967.4279384	2.447356306	498.1711786	211.9672251	405.6114743	85.89891231	87.1147429	243.3141301	29.0903708	67.23611641	902.4374279	15.41783266	11.6080395	21.72583549	4.686421626
ENSG00000005381.8	6.369566774	12.26616149	5.970878777	124.2254565	6.192999683	18.76739499	5.071683574	13.18055237	13.00268182	22.87639839	2.430989257	56.56112709	20.08720852	22.01670729	24.32917315	0	11.62045329	25.70289331	17.65424546	36.54788913	68.98808255	16.21191199	37.86819747	5.967095299	54.85401525	32.36320073	5.522900912	2.565016015	27.32952377	8.64765952	20.06385932	13.48184446	3.339717254	19.44172316	6.727969327	38.53173802	10.0485183	0	5.099992323	323.3876292	9.407224153	18.50708905	2.926261814	24.1898024	10.65054964	11.22655688	26.67512015	7.575089207	8.09451527	22.77646218	10.0868223	81.36512898	5.939669375	7.822873132	35.29264158	60.1269679	9.828390361	10.08222841	30.5367807	17.38081215	8.620224147	22.16522137	78.01088133	9.070437912	56.25476248	8.332256568	7.376350262	12.8428335	19.82554839	1.195313556	9.379666182	15.56848725	7.516088312	1.631570871	15.6411673	22.31233948	6.053902602	9.122008387	3.843297481	31.88254119	7.804733629	3.634384671	8.916107262	43.16993146	27.68070959	6.684872458	5.467491897
ENSG00000005471.19	57.32610097	42.45978977	80.60686348	97.45272877	42.31883117	45.26254085	27.04897906	342.6943617	30.73361156	19.44493864	14.58593554	48.24331429	97.08817454	46.03493343	32.79149424	59.48680804	35.82973098	34.88249806	73.02437897	27.99412785	29.38381294	20.75124735	42.07577497	29.83547649	84.70105297	38.02676086	19.88244328	41.89526158	80.16660307	32.66893596	58.36759073	68.53270935	60.11491058	22.09286723	60.55172394	50.64171283	12.56064788	51.90865452	70.37989406	225.3913779	77.60959926	61.69029682	60.47607749	55.74171858	118.4873647	15.43651571	1562.399895	93.74172893	29.67988932	141.7202091	143.0494798	76.09146321	66.18488732	29.05638592	68.15130788	33.82141945	102.6520771	381.2915471	25.08378414	93.52532254	61.90888251	60.33865817	87.18863207	61.6789778	392.7415825	29.99612364	18.7761643	35.10374491	23.32417457	84.86726247	25.32509869	58.99637272	315.6757091	7.342068917	133.7319805	41.27782804	132.321014	114.0251048	64.05495802	156.056649	37.60462567	72.68769342	14.0110257	39.05850942	77.68457207	41.78045286	45.30207572
ENSG00000005513.10	30.57392052	63.21790922	5.22451893	53.54545537	24.77199873	27.59911028	13.52448953	13.18055237	15.36680578	32.02695775	25.12022232	56.56112709	62.49353763	44.03341459	21.15580274	86.44176793	25.17764879	55.07762851	24.87643679	48.21210907	43.43694087	30.47839454	133.2399541	32.07313723	44.36721822	17.7997604	14.35954237	43.60527225	45.54920629	115.3021269	50.15964829	323.5642671	46.75604156	15.02314972	10.09195399	29.72448362	52.75472109	5.956730846	174.4197375	228.0640029	12.93493321	32.60772832	20.4838327	22.08634132	15.97582445	213.3045808	697.3638554	12.30951996	8.09451527	17.71502614	176.0608983	759.4078705	17.81900813	98.3446908	71.80227081	25.05290329	70.98281927	101.7388503	78.52315036	76.9721681	44.66843422	119.4459152	50.47762909	12.69861308	203.1421978	53.32644203	5.364618372	1.7123778	74.63735863	4.781254224	43.14646444	49.983038	293.1274442	8.157854353	1607.911999	122.7178671	521.500467	13.68301258	5.124396641	63.76508237	17.73803098	5.451577007	405.0460156	18.5013992	40.18167521	157.0945028	14.05926488
ENSG00000005844.19	918.4915289	835.9860831	494.8365786	10861.16017	338.5506493	2584.380686	714.2621034	1559.071052	470.4606693	1186.141257	359.78641	1490.552055	1357.002531	770.5847553	1209.054126	514.9326821	248.8713746	1226.395195	1008.699389	1435.476667	2238.280012	1402.006149	796.6346727	263.2980801	2073.159106	957.9507417	397.6488657	638.6889877	1989.589331	567.8629752	1920.658533	4542.258097	778.1541202	1534.1287	633.5504449	456.8763223	175.0116938	993.9230898	1095.478351	973.7263876	1177.078922	1742.31024	339.4463704	954.9713296	1572.28739	822.3452917	1158.462361	486.6994815	155.144876	1829.709129	1545.117779	792.5566267	1377.154771	795.6979528	475.8421676	1231.350197	169.2667229	1490.336672	1091.68991	886.4214198	491.3527764	600.9237794	6814.479928	790.9421859	111.4677701	351.6212272	611.5664945	454.636306	674.0686451	1552.712309	977.3612162	1281.532318	3513.234422	416.050572	700.7242952	512.0681911	793.9260841	136.8301258	769.9405954	6327.845411	3221.935946	921.3165141	350.2756424	999.0755566	1428.681785	394.407475	1767.562023
ENSG00000006016.11	1449.713398	410.4446345	105.2367384	129.580002	1699.978413	9.9356797	38.03762681	39.54165712	316.7926115	115.5258119	611.798963	6.654250246	289.0326116	70.05315957	79.33426027	38.1087364	127.8249862	1061.162309	40.12328515	185.0722896	335.9975132	459.7698241	161.2904707	155.8903647	677.6084237	1822.048201	27.61450456	135.9458488	395.3671106	1865.011903	53.80762271	1049.336894	716.369351	633.6234321	12.33461043	1367.326246	26.79604881	155.7259636	93.83985875	363.4770047	49.3879268	14.98192923	49.74645084	340.7606947	204.3574211	527.6481735	63917.39861	65.33514441	13.49085878	51.87971941	83.44552991	188.345206	108.6110971	464.9021747	114.3968382	101.4642583	384.3992675	66.90933399	1517.023641	24.82973165	976.4362988	236.4290279	535.9806435	15.41974445	3106.512995	108.3193354	10.72923674	17.9799669	7193.175438	17.92970334	302.9632177	31.95636856	758.0511926	684.4439802	172.0528403	123.8334841	548.3106071	533.6374906	102.4879328	60.4090254	24.83324337	59.0587509	10801.86395	46.25349799	302.7019532	3225.450961	49.20742707
ENSG00000006047.13	253.5087576	4.717754419	132.8520528	8.567272859	538.7909724	50.78236291	15.21505072	62.13688977	348.7082851	128.107831	73.74000746	1.663562562	25.66698867	0	4.231160547	5.576888254	13.5571955	7.343683802	2.407397109	23.32843987	6.387785422	103.1077603	26.64799081	69.36748285	45.17389491	59.06284134	28.71908474	84.64552849	0.910984126	10.56936164	15.50389129	267.3899152	21.70816215	51.25545197	19.06257976	68.25622164	2.512129576	48.50480832	6.119990788	166.5936272	17.63854529	7.931609592	367.733568	23.13807186	4.659615466	304.5203555	4346.139219	60.60071365	187.5229371	51.87971941	1.83396769	303.612472	55.15407277	27.93883261	13.38686405	141.5489036	24.02495422	33.9129501	65.43595864	36.41693975	201.3997823	12.31401187	5.506650447	4.535218956	192.7246492	146.6477156	72.42234803	8.561889002	5.831043643	83.67194892	3.751866473	148.3103259	249.1046412	419.3137137	165.0143151	25.6591904	4.324216144	12.92284521	201.1325682	10.0681709	128.4233443	13.62894252	219.7183575	8.222844087	13.39389174	83.56090573	2.343210813
ENSG00000006283.18	91.72176155	7.548407071	37.31799235	16.06363661	125.9243269	7.727750878	117.4940028	21.65376462	137.1191901	25.16403823	1994.221521	39.92550148	179.6689207	196.1488468	31.73370411	77.14695418	32.92461765	91.79604752	10.43205414	56.76587035	42.15938378	29.18144158	75.73639494	57.43329225	271.8500462	48.5448011	14.35954237	95.76059789	13.66476189	163.3446798	50.15964829	3.370461116	18.3684449	27.39515536	115.4968068	192.6586901	113.8832074	7.658653945	368.2194457	122.0498766	9.407224153	252.048927	30.23803874	196.6736108	89.1983532	33.67967065	966.0204226	61.54759981	16.18903054	51.87971941	71.52473992	355.5957489	5.091145179	6.705319827	541.5595002	52.61109692	1583.462892	114.5707774	51.2581676	96.83595342	51.72134488	233.9662256	36.71100298	59.86489022	226.0608048	73.3238578	22.12905079	137.8464129	124.784334	81.2813218	60.96783018	118.8121395	82.67697143	17.13149414	952.5470888	53.54961475	138.3749166	51.69138086	81.99034626	36.07761239	4.257127434	85.40803977	730.4839307	21.58496573	52.68264083	21.72583549	13.27819461
ENSG00000006453.14	2298.139692	1871.061403	1058.338263	1517.478205	1167.38044	1331.38108	1718.455451	549.8173276	1247.075392	861.2963995	433.5264175	781.8744039	2459.567088	1184.899156	1161.45357	3666.804027	800.8429059	1662.426421	404.4427143	4047.484318	3956.59429	1540.131639	1089.762572	1376.90724	1842.449571	2145.680209	1255.907667	1477.449225	2680.115298	44.19914866	2492.478523	1338.073063	3401.502023	3150.442867	687.3741995	3586.754356	1091.101612	1141.990399	375.359435	628.0668831	1215.883722	2080.725583	980.2977077	1668.044635	951.2272144	2286.007645	666.8780038	1729.960998	727.1572884	1381.772039	698.74169	1110.483334	1500.190779	3286.724269	585.3710552	1156.191487	579.8750313	828.575862	2015.427526	725.8558218	3333.675775	728.9895028	522.2140174	689.3532813	674.0153949	1878.09063	2233.692975	1448.671619	703.2238633	1963.900172	2750.118125	1847.733618	738.7241084	1716.412556	2278.918076	1352.127773	3321.862842	1786.393309	955.6999736	1247.614177	1368.66647	4171.365006	1216.411776	2125.605197	993.8267668	747.0344972	2156.535018
