	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
hsa-mir-424	1346.214	3133.679	4920.58	3010.252	1111.072	4272.668	1370.003	1905.969	1122.81	718.603	1811.24	219.41	2715.109	5952.821	10664.906	1167.984	2417.695	637.569	1855.259	3761.505	401.953	3989.869	1976.669	1481.373	4567.301	344.943	2508.347	8983.298	1329.952	2325.585	698.289	3316.578	899.392	7196.088	964.135	362.421	1340.628	4117.325	6190.36	15145.807	1883.673	1367.746	1500.585	2064.002	4131.164	4459.773	3669.773	2541.807	3401.43	1006.287	876.964	1210.039	4631.057	2228.163	452.705	10740.871	5895.342	1628.188	1143.405	2022.779	1192.271	14841.977	2485.078	6257.28	1526.883	263.774	1438.766	2994.669	996.144	4544.675	3265.696	6891.36	3314.532	1822.096	591.234	1728.17	586.799	1565.624	390.207
hsa-mir-425	377.885	934.584	433.567	282.783	625.483	1702.503	697.019	429.223	774.775	546.232	421.441	865.781	3232.405	346.192	362.655	1025.222	604.962	263.858	550.946	1681.035	461.576	369.023	777.078	798.442	1044.621	539.576	459.619	217.667	251.592	2278.181	341.34	1131.505	443.144	797.456	600.283	449.519	976.627	1006.972	246.977	1753.562	397.185	537.281	1170.218	2362.938	282.195	3055.479	433.357	1040.45	871.153	421.842	291.896	758.356	279.785	297.742	425.414	333.588	1199.897	614.69	1414.691	720.99	777.247	579.171	797.101	693.094	461.283	449.199	773.366	443.714	351.211	640.505	1254.54	236.418	420.46	3554.51	452.65	1960.343	274.938	783.705	1228.465
hsa-mir-431	4344.198	15.054	3068.716	3262.519	14169.537	3889.092	2228.057	6.52	742.067	12.811	2147.435	268.827	20836.195	31.898	2972.813	865.987	1141.032	2175.513	22718.168	29.104	899.705	11562.374	30.491	21.278	483.579	28.906	25.426	14.511	997.275	36.25	20.813	11.268	40.502	4220.397	464.022	4828.383	8740.894	645.009	23.901	6663.296	3748.754	1036.754	31.843	8234.175	5825.189	7206.245	33.534	4160.437	573.207	2243.937	1608.616	22.535	282.86	16.541	1939.246	347.668	2069.256	9079.117	7980.622	1171.61	8.448	1207.093	56.266	171.654	10570.176	1435.738	4652.565	30.217	27.845	1509.069	641.006	571.475	2579.183	111.034	13.498	4189.198	5274.595	65.16	1617.691
hsa-mir-432	2765.496	10.036	2746.608	1614.645	10876.673	2494.27	1013.482	2.173	808.505	17.47	866.828	51.393	12067.151	24.393	2204.558	342.002	1371.391	1354.505	21065.329	25.09	604.939	5386.524	16.552	5.066	709.951	25.052	9.779	23.581	783.573	11.154	21.854	7.512	34.546	2317.474	249.688	2709.389	6532.514	499.803	19.475	4713.965	2961.989	1310.038	23.882	5652.913	6297.224	2672.562	14.617	1853.856	527.834	1485.737	713.808	14.697	1802.461	14.091	1201.594	276.185	1086.699	3011.577	7766.233	817.79	15.841	871.681	20.46	258.021	6897.791	280.096	3894.894	25.446	15.27	1091.77	251.824	449.351	2442.67	108.187	17.098	3504.794	3421.234	24.993	1085.323
hsa-mir-4326	17.713	17.563	2.045	50.182	16.141	12.307	38.456	26.079	66.438	138.596	8.62	47.44	48.121	37.528	111.341	14.904	36.599	16.82	28.917	33.119	16.748	36.198	63.595	26.345	57.909	55.885	35.205	20.86	15.914	2.788	29.139	44.133	59.562	0	59.66	44.426	30.875	45.245	84.981	31.036	33.803	36.482	29.852	65.497	2.565	51.108	96.301	92.045	21.174	26.946	16.571	32.333	12.298	18.992	23.277	92.062	0.906	82.721	25.945	24.2	2.112	56.552	80.989	43.183	25.031	0	15.696	63.615	31.438	11.646	58.377	20.354	3.64	132.387	32.396	14.132	9.231	15.174	123.533
hsa-mir-450a-2	59.044	294.174	455.041	191.235	82.053	132.303	66.497	83.671	556.55	19.799	89.077	21.743	198.035	247.682	302.212	64.322	548.987	93.559	386.576	73.263	11.389	86.474	71.435	63.835	105.289	19.271	90.946	232.178	54.562	257.469	27.057	116.437	39.311	74.893	169.405	54.948	227.5	335.657	362.056	74.01	150.423	66.331	154.238	164.583	735.417	129.736	150.471	111.136	49.91	131.012	49.712	73.484	169.101	63.714	18.461	209.034	120.442	137.196	215.754	75.938	390.736	120.904	271.099	121.993	60.789	13.711	203.568	100.193	91.62	194.092	167.119	243.464	256.644	55.517	10.799	131.228	38.9	130.32	68.629
hsa-mir-450b	246.511	1465.854	1518.508	423.158	270.37	554.852	161.837	347.725	2000.31	38.434	308.418	35.58	1031.815	858.445	765.074	295.722	1954.824	449.399	995.356	348.25	40.865	275.51	342.367	267.498	446.728	129.113	629.776	680.209	131.858	1359.845	164.426	396.262	281.135	341.767	745.381	211.607	776.752	1083.783	1255.245	156.376	637.187	303.133	391.068	670.087	2919.436	283.847	586.407	509.998	145.192	657.85	226.889	341.946	642.583	257.308	58.595	454.892	412.04	312.725	890.327	163.558	1352.79	251.559	955.668	329.274	264.612	43.745	762.427	478.702	333.246	453.206	499.069	609.051	1104.844	102.493	56.694	327.06	210.324	615.895	305.891
hsa-mir-451a	1012.613	383.869	2185.22	522.166	5882.227	3893.194	25838.571	787.815	1460.625	4180.012	2337.084	4817.144	2281.099	2118.435	962.307	1460.569	348.768	1035.983	6259.786	1191.277	15960.884	998.473	2719.772	812.627	955.877	381.557	300.219	1433.881	713.097	2024.431	1372.643	6393.708	1141.215	3302.69	8483.502	413.277	1706.254	9807.714	601.951	584.918	1856.63	1189.315	8734.839	450.083	1114.243	503.218	274.287	1787.038	2604.385	1006.287	520.06	589.833	767.103	1418.256	1496.173	1100.406	914.638	503.05	699.607	611.674	27711.599	557.72	1379.368	917.648	3318.377	1398.522	3531.516	632.968	1118.305	18466.926	504.792	174.574	844.56	26702.242	1023.186	2012.834	1302.166	371.322	457.856
hsa-mir-452	15.499	107.258	40.903	164.109	201.769	10.256	267.591	64.112	14.821	795.472	113.023	88.95	24.986	76.932	20.678	351.415	36.599	166.619	28.917	13.047	833.383	78.43	114.994	423.539	37.603	566.555	15.647	25.394	24.25	8058.683	148.816	57.28	54.797	35.864	6.629	32.15	40.625	15.783	42.491	70.429	44.789	59.698	80.602	398.022	29.075	382.918	49.011	53.863	40.835	64.112	421.911	515.369	99.923	71.066	132.44	32.492	98.708	20.848	7.738	121.834	41.186	40.951	497.868	388.651	3.576	307.518	47.087	119.278	354.803	18.439	127.057	90.027	52.785	185.057	41.395	32.302	870.308	37.489	238.242
hsa-mir-454	56.092	46.416	16.361	38.654	22.867	44.101	38.456	49.986	35.775	137.431	43.102	49.417	111.973	21.578	27.04	50.202	31.217	32.062	31.961	145.522	36.176	70.386	61.853	37.49	57.157	52.031	44.006	22.674	30.312	75.289	45.789	125.827	52.415	60.126	84.702	37.411	71.5	26.305	37.179	66.848	33.803	27.196	97.518	33.588	17.103	135.24	50.73	143.863	24.199	74.333	29.317	84.262	23.828	29.407	24.08	25.994	75.163	119.037	45.063	21.696	14.785	17.551	24.723	45.343	28.607	64.638	19.976	31.807	39.522	36.878	72.113	32.097	16.382	98.222	34.196	56.529	28.351	41.06	56.864
hsa-mir-455	160.896	1457.073	2296.68	1557.004	99.539	92.304	825.206	1444.147	3567.236	398.318	1513.357	589.048	242.454	2628.811	1937.339	829.12	1899.925	2358.952	514.42	108.389	417.361	57.314	939.114	2872.566	829.53	1981.014	238.611	3793.754	2396.945	110.609	2085.502	4796.455	1705.867	315.396	75.864	963.923	160.875	1767.725	3934.814	649.379	1434.938	807.249	1659.799	1958.199	3662.549	618.015	4309.49	1931.583	816.706	1009.075	1379.178	2305.442	1036.127	966.13	976.044	1177.304	1409.992	1660.47	137.464	893.728	392.848	2388.835	514.918	1893.594	2335.022	530.812	748.634	224.242	2307.57	1697.338	1205.32	1425.556	4384.793	495.382	826.108	1027.615	1262.606	125.857	1431.411
hsa-mir-4661	5.166	14.426	3.068	26.447	18.832	12.307	64.094	1.087	3.577	19.799	9.578	5.93	8.329	21.578	25.449	3.922	5.382	6.833	7.61	17.061	9.379	47.259	9.583	14.186	8.273	9.635	18.58	27.208	3.789	17.66	20.813	2.817	22.634	5.274	22.096	22.213	6.5	10.522	12.393	2.387	3.38	7.96	11.941	5.038	10.262	3.145	30.094	6.818	4.537	6.504	26.768	8.818	13.067	47.786	15.251	10.831	4.528	2.69	39.145	8.345	21.121	13.65	23.018	16.194	10.728	16.323	4.281	30.217	30.54	9.705	14.88	1.566	7.281	9.965	10.799	10.094	1.978	7.141	39.217
hsa-mir-4662a	52.402	144.892	270.98	42.723	126.442	489.213	159.433	83.671	460.47	92.009	136.011	136.39	183.228	286.148	141.563	96.482	175.461	206.566	2187.044	267.962	285.387	58.32	102.797	273.578	202.306	171.508	186.781	155.995	62.898	395.034	80.132	80.755	151.288	82.277	38.3	70.146	76.375	178.877	226.617	272.166	327.889	395.996	167.174	23.512	1069.776	61.33	114.358	20.454	388.692	86.412	131.29	84.262	49.193	105.374	410.163	120.222	66.108	15.468	1150.233	70.931	566.039	124.804	172.208	132.789	339.705	184.772	511.773	146.314	88.027	150.422	26.327	193.362	161.995	69.752	180.88	161.511	158.897	432.019	147.063
hsa-mir-4677	13.285	102.24	34.767	16.953	14.796	38.973	36.053	26.079	21.976	90.845	18.199	31.627	28.687	21.578	62.033	41.574	35.523	25.229	18.263	53.191	28.137	37.204	34.847	17.225	31.587	23.125	47.918	27.208	11.367	26.026	28.098	49.767	26.207	23.206	44.929	23.382	19.5	18.94	41.605	14.325	19.437	23.879	15.921	21.832	11.972	3.145	27.515	49.091	25.711	26.946	19.12	26.454	16.141	22.055	24.883	6.498	32.601	26.229	18.662	17.524	20.065	27.301	30.691	24.83	21.455	37.216	7.134	36.579	15.27	20.38	40.063	10.96	23.662	204.986	47.695	12.113	19.12	40.167	85.296
hsa-mir-4746	2.952	10.663	5.113	34.585	0	36.922	14.421	1.087	28.109	29.117	5.747	7.907	19.433	2.815	34.993	6.275	22.605	3.154	0	63.227	6.699	15.083	19.166	5.066	8.273	3.854	9.779	9.069	3.789	64.135	6.244	11.268	14.295	7.384	5.892	7.599	3.25	12.627	8.852	22.681	23.662	5.97	2.985	13.435	4.276	2.359	8.598	34.091	0	3.717	0	9.798	3.075	3.676	0	7.582	19.923	16.141	6.828	2.503	0	3.9	4.263	1.08	0	9.141	10.939	4.771	5.389	5.823	19.459	1.566	3.64	21.353	0.9	8.076	2.637	11.604	91.179
hsa-mir-4772	1.476	5.018	1.023	2.034	5.38	4.102	14.421	1.087	1.533	65.222	13.409	7.907	1.851	6.567	1.591	10.982	5.382	6.307	7.61	2.007	36.176	11.061	22.65	10.133	2.256	5.781	12.713	4.535	3.789	1.859	3.122	0.939	2.382	0	1.473	0.585	0	0	2.656	3.581	5.07	4.643	4.975	1.679	4.276	2.359	0	2.045	3.025	0.929	10.197	2.939	0.769	7.352	5.619	0	0	1.345	0.455	2.503	4.224	1.95	9.378	4.318	0	14.364	1.427	4.771	3.593	11.646	0	2.349	1.82	241.997	10.799	2.019	12.527	7.141	0
hsa-mir-484	398.55	107.885	531.733	552.004	313.414	809.202	302.843	390.104	396.587	320.285	439.64	173.947	257.26	203.587	451.728	385.145	320.781	485.667	485.502	177.638	247.871	277.521	376.343	429.618	757.331	608.95	405.834	455.287	1259.476	328.11	473.505	356.823	415.746	530.582	293.144	517.911	227.5	473.498	522.281	506.134	371.833	218.229	483.61	298.936	508.806	511.081	302.662	373.635	344.831	394.896	330.136	691.731	388.932	1552.424	452.705	459.224	994.33	609.31	220.306	383.026	310.476	169.656	173.913	201.883	965.476	203.706	399.525	249.688	724.877	646.328	486.478	102.552	498.727	538.088	326.664	1366.789	163.512	160.668	172.554
hsa-mir-485	331.387	5.645	3109.618	1259.979	1479.636	619.465	205.901	0	803.906	5.823	216.468	114.647	1837.835	10.32	3556.559	462.801	1256.211	1052.277	3870.322	2.007	181.549	781.282	12.196	4.053	436.951	1.927	7.823	9.069	287.209	3.718	3.122	1.878	10.721	335.438	275.467	3646.423	414.376	445.088	4.426	2213.141	1936.912	580.397	10.946	754.058	1635.021	1550.542	6.879	278.181	246.524	1672.499	528.982	5.879	809.378	4.288	716.782	132.135	1093.038	506.413	782.45	548.253	13.729	627.922	14.493	237.509	2295.688	364.321	1179.55	11.133	8.084	1076.243	251.824	376.547	611.578	49.823	3.6	3890.402	565.041	10.711	165.691
hsa-mir-486-2	148.349	72.76	514.35	55.607	1058.613	1204.06	1790.618	182.556	144.631	458.881	278.726	1753.306	318.336	308.665	147.925	247.873	76.428	208.143	753.366	136.49	1029.67	105.579	610.685	149.961	95.512	150.31	58.675	260.293	115.187	309.52	1518.337	755.902	471.734	479.95	1962.887	191.148	263.251	1107.984	108.882	151.601	283.945	330.992	1252.81	73.894	223.191	55.04	46.431	155.454	273.748	203.487	346.707	114.635	292.852	810.52	207.088	178.708	162.099	38.334	99.684	122.669	3840.825	85.803	182.438	190.007	479.162	317.965	487.516	201.977	513.791	2482.442	85.849	43.839	227.521	2938.129	219.576	153.436	269.004	59.804	50.001
hsa-mir-487b	1149.153	8.781	1785.397	1597.014	5416.814	2288.123	267.591	3.26	864.722	5.823	476.037	98.833	3828.359	20.64	3289.34	336.511	754.588	2715.843	6145.64	12.043	299.455	1483.129	10.454	5.066	663.323	7.708	6.845	8.163	499.395	7.436	7.285	3.756	21.442	1525.292	263.682	1811.52	1704.629	602.92	4.426	2573.641	2233.534	683.873	8.956	1812.09	3237.546	2468.915	13.757	628.634	547.496	2593.303	605.462	8.818	2830.902	7.964	1002.532	354.166	781.518	1538.07	2866.251	960.486	9.504	752.727	23.87	256.941	3382.742	648.988	2843.762	17.494	8.982	2038.941	230.075	716.301	1028.397	34.164	4.499	2838.56	1661.497	19.637	712.764
hsa-mir-493	1865.068	16.935	1044.038	1007.712	16836.917	3628.588	1224.19	4.347	870.344	8.153	992.303	128.484	8145.327	54.415	4426.612	742.835	651.249	1362.915	6081.718	36.13	450.187	4004.951	40.945	14.186	1766.605	21.198	19.558	51.696	569.113	29.744	21.854	8.451	28.59	2229.922	436.77	2423.544	1883.379	242.01	25.671	2050.796	3865.374	1215.848	48.759	94.047	3599.269	2883.284	42.992	2061.128	1185.736	2623.966	929.225	10.778	1609.533	20.217	1443.197	58.486	1223.442	3093.625	7164.489	926.273	25.345	224.258	45.183	567.862	1952.407	1028.978	281.094	36.579	18.863	294.05	172.843	226.241	813.617	216.374	7.199	3850.024	3670.459	62.482	1844.168
hsa-mir-495	684.178	11.29	2135.114	2407.388	2992.901	1342.516	350.913	2.173	1458.069	12.811	353.436	63.253	2944.607	36.589	2890.102	288.662	1185.166	1496.421	5084.839	11.04	466.935	1403.694	5.227	8.106	982.951	15.416	9.779	16.325	420.583	31.603	12.488	2.817	25.016	727.836	131.841	2508.888	822.252	755.492	8.852	4039.519	2062.829	768.113	36.818	675.125	2612.442	1925.597	20.636	470.453	564.132	1530.337	416.813	4.899	1928.518	9.802	610.83	311.926	718.127	34.299	1130.205	627.529	17.953	571.37	10.23	323.876	3486.442	232.434	1559.099	20.675	14.372	1741.009	220.918	747.614	833.639	81.14	8.999	4645.467	909.868	15.174	342.166
hsa-mir-497	55.354	81.541	235.19	149.868	22.867	36.922	14.421	16.3	44.463	52.41	106.318	126.507	22.209	63.797	233.817	69.028	83.963	122.993	53.268	16.058	76.371	33.182	115.865	23.305	34.595	9.635	8.801	35.371	317.521	13.013	4.163	301.422	14.295	37.974	8.102	5.845	26	327.239	48.687	137.277	130.987	92.863	115.43	53.741	88.079	7.863	57.609	17.045	183.003	105.925	61.184	13.717	159.877	104.761	67.424	54.154	56.146	23.538	10.469	33.379	33.793	66.302	61.381	36.706	25.031	278.138	82.759	54.073	41.319	15.527	8.013	80.633	72.807	66.905	113.387	18.17	52.746	32.134	25.491
hsa-mir-500a	2669.549	1475.263	1616.674	3131.639	1560.344	4212.157	4958.448	1898.363	2327.902	1391.785	2275.783	1164.258	1012.382	2201.934	2191.833	1513.124	2067.851	1296.688	4323.864	1060.809	3574.702	1582.675	1671.762	3226.191	801.703	3141.102	3204.621	1434.788	1803.582	2651.837	2004.33	752.146	4790.008	843.868	3235.633	2317.156	404.626	763.91	2899.103	1097.021	1242.261	2019.117	1215.992	3167.378	1945.435	2344.683	2470.304	1531.357	2480.367	2392.603	2461.362	1923.324	512.683	2768.509	2491.481	1809.821	949.05	1057.213	387.356	2084.53	2731.981	920.433	5428.809	3173.982	1587.672	3084.976	1361.715	2495.292	2691.117	1511.98	2530.829	2391.583	1062.98	2267.655	3395.321	2731.559	2934.653	3305.305	6702.142
hsa-mir-500b	43.545	29.48	61.354	80.698	30.938	71.792	96.141	89.105	73.082	39.599	65.132	35.58	25.911	67.55	46.127	24.317	116.256	23.653	80.663	15.054	121.926	28.154	22.65	46.61	26.322	55.885	70.41	43.533	39.406	76.218	65.562	30.987	101.256	23.206	69.972	67.808	9.75	18.94	69.933	34.618	30.423	51.075	59.705	67.177	47.888	52.681	48.151	26.591	58.984	71.546	47.162	48.01	9.992	63.102	56.187	88.812	28.073	23.538	13.655	59.248	76.035	17.551	77.579	66.934	57.213	44.398	52.319	66.796	56.589	34.937	69.824	92.375	27.303	64.058	81.891	40.378	49.449	53.556	96.081
hsa-mir-501	674.583	215.77	295.521	639.484	242.122	730.23	707.434	72.805	394.031	267.875	553.621	239.177	229.498	257.064	268.81	248.658	417.661	180.811	984.703	225.811	662.553	388.127	304.907	538.036	127.851	684.105	519.272	155.995	347.076	500.066	573.409	113.62	862.463	165.609	547.251	563.506	73.125	128.37	225.732	150.408	224.79	248.741	209.963	1278.035	472.035	329.451	462.591	287.726	355.418	345.65	636.054	315.492	82.244	680.028	424.611	228.529	171.155	302.637	94.222	233.654	510.068	93.603	492.753	232.111	411.221	71.82	260.167	294.219	638.646	177.595	431.534	314.703	273.026	368.69	362.66	415.891	947.449	382.926	786.296
hsa-mir-502	41.331	40.143	42.948	44.757	22.867	52.306	69.702	41.292	47.018	24.458	32.566	37.557	13.881	62.859	46.127	34.514	86.116	37.844	51.746	11.04	98.478	23.127	27.877	38.504	27.826	63.593	54.763	33.557	26.523	28.814	43.708	42.255	65.519	14.768	68.498	50.271	13	26.305	47.802	19.099	18.592	41.789	49.754	68.856	25.654	22.016	33.534	32.727	60.497	57.608	47.162	43.111	16.141	59.426	45.752	41.157	24.451	12.105	7.283	37.552	64.419	21.451	57.118	96.083	17.879	44.398	31.867	39.759	44.014	36.878	57.233	54.016	36.403	66.905	91.79	32.302	90.327	61.59	71.571
hsa-mir-503	2320.448	2591.746	1079.828	1358.309	1676.025	13262.091	2381.081	3709.794	489.601	129.279	7978.651	122.554	10774.374	1468.269	854.147	1143.668	2496.276	375.288	805.112	14155.824	69.002	11073.696	2625.686	4004.367	1655.299	882.592	1278.132	1751.312	866.174	5000.659	2289.473	576.551	2676.734	22612.508	4316.142	1648.431	2614.631	219.913	2722.944	2012.597	2852.974	344.921	1285.647	3135.469	5203.505	19414.796	5161.586	10428.364	391.716	2439.062	2191.134	2551.369	5003.848	2179.152	79.464	3652.134	4487.161	1088.822	5666.956	5460.001	1088.779	1035.487	7038.355	1438.008	2771.274	75.737	4584.075	1940.253	4768.739	2981.26	6951.48	1290.124	4423.017	237.727	306.866	2836.541	2504.114	7738.859	507.857
hsa-mir-505	284.152	129.211	102.256	182.419	110.3	90.253	298.837	191.249	157.408	542.738	80.457	146.274	71.255	145.42	141.563	165.51	179.766	116.161	143.063	70.252	137.334	127.7	121.963	213.796	74.455	356.505	182.87	141.484	125.038	77.148	285.143	779.377	264.457	62.235	109.745	280.584	550.876	154.676	163.766	68.042	161.409	222.872	171.154	196.492	64.135	95.14	116.937	64.091	149.729	89.2	210.318	131.292	48.424	200.333	244.011	138.634	144.893	132.488	10.924	151.875	146.79	354.913	272.804	151.142	78.668	140.375	153.151	125.639	453.61	106.751	273.572	234.07	158.355	418.513	233.974	94.888	87.69	258.855	264.713
hsa-mir-508	34947.69	22953.759	86648.013	54198.103	29448.8	1800.961	357.322	173.863	194734.783	404.142	107107.397	72583.312	11433.256	65205.198	10862.139	156324.018	7074.396	132704.174	456769.559	16996.021	344605.023	1504.245	91028.715	372990.795	8596.874	561183.835	217113.32	262386.667	160268.687	32936.499	425062.518	70774.944	406084.5	5682.399	35887.319	77072.914	1790.754	41609.92	164280.463	605.212	254532.424	6769.082	110279.089	1996.825	96621.003	1298.933	3082.506	103441.603	1287.068	135113.792	208365.541	92618.408	358.186	67701.972	288609.663	107913.421	3021.023	566.94	373.7	56571.885	549123.909	5175.484	483247.521	26838.504	192540.974	169352.456	135727.229	129709.085	272514.234	10349.009	579756.628	34875.621	70023.817	965.141	37419.625	397953.622	115441.11	132936.103	1962.798
hsa-mir-509-1	2571.387	1051.877	8683.616	3558.187	1880.483	128.201	32.848	24.993	16517.119	38.434	7950.874	4206.353	920.768	4426.384	919.361	10835.037	970.953	11086.232	46847.184	1811.504	20784.989	110.606	5794.107	23713.109	870.141	41819.048	12496.751	16308.699	13352.566	3155.621	31436.546	9299.001	19302.981	532.692	2256.768	6639.903	237.251	2808.367	8988.549	63.267	22213.647	717.039	9168.696	107.483	8311.926	143.889	261.39	12217.448	104.357	13119.829	12680.282	6482.279	31.514	5618.5	21431.232	5800.958	313.332	32.954	31.862	4486.163	41545.75	411.465	31052.82	2195.878	22599.293	10565.961	16326.782	7862.795	18783.926	652.151	29934.975	2577.899	5813.628	83.987	1760.204	38522.452	7439.157	6268.744	164.71
hsa-mir-511	4.428	16.308	34.767	3.391	110.3	11.282	124.983	2.173	9.199	88.515	15.325	21.743	13.881	39.404	6.362	30.592	7.535	4.205	74.576	3.011	60.963	15.083	28.748	10.133	27.826	3.854	4.89	3.628	2.273	3.718	17.691	15.963	19.06	18.987	1.473	5.845	11.375	27.358	9.737	7.162	6.761	114.089	48.759	5.038	40.191	5.504	5.159	11.591	152.754	39.025	80.303	5.879	9.224	39.821	98.728	3.249	27.167	0	1.366	34.214	59.138	7.8	77.579	107.959	21.455	13.058	4.281	11.133	17.066	9.705	9.157	10.177	21.842	192.174	61.193	26.246	21.098	130.32	19.608
hsa-mir-514a-1	3014.959	2821.315	15783.281	5661.77	4814.199	188.711	46.468	23.906	15130.088	54.74	14398.926	17792.004	709.778	9523.575	1324.961	37134.691	763.199	18436.932	60941.976	1485.333	24521.143	122.672	13995.237	43928.476	1205.563	37169.061	27963.423	28815.481	25125.104	2533.791	31156.606	6575.876	35069.147	486.279	8831.887	7944.034	156	2834.673	15202.81	88.335	40986.147	740.254	14579.958	166.262	14558.697	110.079	412.72	10775.408	189.052	30734.035	30169.844	16443.787	61.491	5426.744	36588.009	8594.213	272.58	41.024	40.511	5269.74	81914.013	417.315	83821.727	2995.851	30448.257	42203.126	15898.244	36823.455	27250.705	942.319	89872.459	3838.275	6836.564	130.963	9924.993	48346.373	12960.34	30351.145	179.417
hsa-mir-532	4359.697	3414.054	3685.322	4178.683	2870.495	7995.612	4584.301	7041.437	3834.012	2434.167	4338.93	8444.333	2189.485	6830.967	4331.177	4737.044	10405.993	5546.795	4614.556	2089.502	7640.457	2632.429	3817.437	5443.183	2917.267	13718.714	8136.237	5399.048	3745.842	3045.011	5529.077	2074.27	8355.413	1855.456	7262.313	10109.207	1576.253	1789.821	5674.276	4309.297	2428.746	4858.748	2648.911	6548.042	4326.99	2489.359	3595.827	2454.535	3647.954	3873.694	6553.009	4947.931	1748.656	7153.77	7897.449	5798.792	2082.84	924.052	1009.583	4437.763	7587.662	3237.115	5653.872	8281.503	4587.8	4828.232	4066.595	4772.704	4435.493	3829.444	7370.423	5545.654	3957.053	3316.783	7852.524	2782.031	12119.042	6530.276	6464.881
hsa-mir-539	1305.621	15.681	3538.073	1689.24	4929.88	3048.096	478.299	5.433	1024.686	17.47	478.911	284.64	3779.313	23.455	5279.168	455.741	1483.341	3224.637	13409.913	34.123	372.476	3061.782	24.393	15.199	1173.224	9.635	22.492	16.325	526.676	21.378	13.529	7.512	26.207	2053.765	548.724	3205.088	2806.381	1593.056	17.704	3121.555	3343.117	1373.716	21.892	2881.877	5230.014	3186.788	16.337	814.769	1589.552	5838.881	1297.6	10.778	3438.127	11.64	2544.457	1022.424	1295.889	1318.153	2867.161	1096.506	17.953	1131.04	35.806	472.859	6804.819	876.199	3979.08	33.398	15.27	3226.787	388.037	2183.347	1636.334	99.646	18.898	2372.196	2127.64	43.737	1132.384
hsa-mir-542	3586.214	15538.557	21728.47	8794.765	6757.903	7535.116	2493.245	7924.877	15464.836	582.337	10007.316	1247.279	17538.087	8799.291	8417.402	6585.895	24345.954	4868.754	15543.689	4251.263	943.92	3991.88	4866.318	3874.671	5757.07	2940.688	7324.569	10217.651	3248.72	16389.708	2313.408	3755.095	3315.243	5876.488	10749.844	3419.617	13367.279	5638.831	9989.735	4407.182	8266.526	3386.863	6665.067	12491.494	52944.913	8181.231	6403.186	8194.738	1659.123	7979.68	3315.381	4900.901	11107.619	3313.144	815.511	6900.281	4381.208	3911.418	13634.833	2120.413	34377.337	4978.527	16728.028	5187.41	5892.98	662.046	19134.397	6693.872	5013.059	11385.463	10222.899	8726.342	14792.534	1635.616	1020.486	5277.38	3450.245	8766.244	3343.228
