	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
hsa-mir-379	20353.371	443.457	79747.749	25134.487	97786.482	45293.768	14904.187	139.09	47039.471	300.486	6535.214	2943.261	48737.781	826.546	114479.536	9905.513	44078.265	66260.893	109566.799	456.639	17480.266	30807.86	649.017	232.034	42468.452	337.235	411.701	673.861	8213.874	300.225	317.404	226.301	444.335	24338.219	10181.233	41360.418	45618.725	35280.835	433.759	55975.505	62657.255	33016.274	527.394	42284.328	97890.881	12189.68	572.65	38495.29	33993.123	94161.716	19137.692	117.575	53139.938	316.121	33519.41	21504.486	26764.491	25275.589	102463.118	21582.15	442.482	42817.671	932.65	12128.067	80198.885	16325.236	45702.815	429.4	282.945	55737.529	8726.837	18159.591	32937.823	3866.259	198.878	42675.31	35056.278	805.127	33775.423
hsa-mir-381	2201.621	55.824	7426.885	4281.76	5730.228	10247.839	692.212	10.866	5110.142	31.446	756.679	523.817	7402.235	121.027	9398.796	1115.429	4158.307	8859.735	8580.762	46.166	1895.208	3181.438	74.049	25.331	6788.154	53.958	45.962	74.37	840.408	37.18	34.342	24.414	40.502	3096.997	1610.819	7123.911	2795.006	2382.219	41.605	7911.918	7045.392	2693.04	54.73	2478.818	12140.371	2624.599	46.431	2505.671	2286.777	14888.961	1078.359	10.778	8211.383	34.92	2968.266	3464.762	5416.289	3063.361	11180.062	2927.355	52.802	3562.777	57.971	233.191	14964.88	1026.367	11876.358	82.699	33.235	4630.075	436.113	2053.395	3824.18	294.667	17.098	3319.056	4025.175	93.723	1891.228
hsa-mir-382	1565.417	23.208	3815.188	2386.366	6190.261	2256.33	876.481	2.173	1851.078	5.823	849.587	195.69	5018.417	37.528	4873.568	656.55	1322.951	5180.969	8754.264	22.079	787.158	2516.795	27.877	7.093	3209.821	13.489	14.669	29.929	520.614	26.026	15.61	9.39	19.06	2356.502	458.866	2684.838	2479.755	2024.465	15.934	5401.543	3804.529	1682.155	20.897	3790.441	4636.549	2453.976	15.477	2178.4	1485.195	4300.182	772.442	13.717	3253.654	15.316	1464.066	986.683	1336.64	2178.988	6179.941	1490.381	32.737	1263.645	52.003	711.447	3468.562	1337.802	2568.375	34.988	13.474	4126.405	238.088	641.148	1224.975	165.127	12.599	3561.323	2035.994	32.134	1477.491
hsa-mir-3913-2	0	11.29	4.09	4.069	6.726	5.128	4.807	4.347	1.533	2.329	6.705	3.953	3.702	5.629	6.362	7.06	5.382	3.154	0	31.112	8.709	3.017	8.712	7.093	2.256	5.781	15.647	7.256	6.062	8.365	5.203	3.756	9.53	6.329	8.102	9.353	13	1.052	6.197	4.775	2.535	6.633	3.98	1.679	1.71	14.939	0.86	8.864	9.075	10.221	6.373	18.616	5.38	4.901	4.013	0	3.622	4.035	4.552	3.338	4.224	5.85	3.41	5.398	7.152	3.917	3.329	7.952	9.881	1.941	5.723	0.783	1.82	4.271	6.299	12.113	6.593	9.819	1.961
hsa-mir-409	4643.848	42.652	8267.433	9699.4	7829.967	7636.651	1297.096	21.733	4218.844	36.105	1727.909	506.027	10494.905	88.19	9933.235	2040.247	5331.631	8011.921	14778.148	48.173	1457.75	7190.411	41.816	25.331	3428.672	38.541	57.697	73.463	1924.073	40.898	48.911	24.414	84.579	3978.839	2116.824	12547.95	4290.009	2798.897	45.146	6158.356	7285.393	3331.145	81.597	6027.423	11061.189	7216.467	60.188	4193.164	2681.518	15818.128	4637.2	38.212	7616.455	30.019	4138.555	3038.03	2745.726	9648.075	10619.739	5222.174	34.849	2012.471	137.255	662.866	14721.723	3277.583	10515.595	77.928	77.248	8462.431	994.704	4531.874	5531.501	240.574	21.598	9397.936	4906.033	103.542	3109.888
hsa-mir-410	1388.283	9.409	2863.18	1363.734	9970.059	1868.651	346.106	4.347	1175.45	9.317	1496.117	175.924	8149.029	32.837	1652.623	598.504	883.761	2522.417	10553.211	21.076	478.324	2900.9	14.81	7.093	937.827	11.562	12.713	11.79	533.496	13.942	12.488	1.878	14.295	1889.21	585.552	3216.194	3001.382	360.91	20.36	3249.282	2205.646	479.573	20.897	3293.334	5267.64	2069.486	14.617	2346.808	420.452	4308.544	905.006	13.717	1850.886	4.901	1858.979	256.689	959.012	2228.083	7947.849	580.798	13.729	585.021	23.018	130.63	7831.084	842.247	7258.514	28.627	13.474	1652.697	225.497	374.981	1115.765	96.799	12.599	2925.372	4181.435	48.201	933.359
hsa-mir-411	183.038	3.136	776.126	529.625	1560.344	635.875	146.614	0	400.164	1.165	129.306	86.973	752.346	13.135	1945.292	246.304	551.14	751.101	946.654	5.018	220.404	501.75	8.712	6.08	520.43	0	1.956	11.79	138.679	5.577	3.122	0	2.382	354.425	216.544	610.27	518.376	310.404	3.541	848.729	923.667	347.575	3.98	552.528	967.159	236.67	9.458	581.588	308.533	1534.054	243.459	2.939	1220.601	5.514	403.742	290.265	361.327	451.266	1211.682	279.551	9.504	832.68	28.133	78.81	947.597	270.303	693.461	4.771	2.695	1130.589	123.623	294.349	484.166	44.129	3.6	765.16	531.415	10.711	329.421
hsa-mir-412	2257.713	5.645	1774.149	1834.362	9454.877	4619.322	69.702	5.433	318.905	10.482	463.585	199.644	12042.166	9.382	1317.009	121.583	1493.029	2493.509	35765.857	13.047	492.392	5874.197	6.098	11.146	785.158	11.562	34.227	19.953	193.999	16.731	23.935	5.634	39.311	3497.834	641.529	319.749	3185.007	418.782	15.934	323.496	329.579	451.051	42.789	6959.499	2709.927	332.596	25.795	2250.672	125.531	2377.737	804.308	9.798	386.626	7.352	146.888	98.56	109.575	5139.453	4865.844	679.267	24.289	62.402	9.378	129.55	1612.703	1888.854	1546.733	27.036	17.066	3778.98	68.679	828.247	3267.208	12.812	8.999	446.175	4174.183	16.959	488.249
hsa-mir-421	31.736	6.9	18.406	22.379	9.416	25.64	5.608	21.733	17.887	10.482	25.861	3.953	28.687	18.764	11.134	25.101	5.382	4.731	10.654	36.13	5.359	11.061	13.067	16.212	23.314	26.979	1.956	10.883	13.641	77.148	16.651	23.475	13.104	15.823	31.671	26.889	21.125	2.104	14.164	8.356	16.056	6.633	16.916	36.947	31.64	7.863	20.636	42.954	12.099	26.946	10.197	19.596	12.298	15.929	11.237	24.911	12.678	26.229	70.097	15.021	14.785	7.8	6.82	4.318	14.303	8.488	29.489	12.723	23.354	12.616	12.591	8.611	30.943	11.388	7.199	8.076	9.89	16.067	48.041
hsa-mir-423	1177.199	504.299	481.628	530.982	799.004	577.415	988.645	770.429	584.148	626.594	458.796	1753.306	870.797	501.932	513.761	816.569	481.171	301.702	477.893	1553.578	736.244	451.475	1635.173	844.038	540.736	1233.316	499.714	656.629	475.903	1325.454	1037.548	1002.861	631.361	345.986	700.452	748.809	1111.502	1130.081	595.755	527.62	591.553	882.866	583.119	927.037	465.194	961.619	460.871	807.951	1040.544	448.787	572.321	994.485	781.707	619.377	430.23	785.231	986.179	867.56	563.965	944.631	746.622	754.677	727.194	1008.333	371.887	713.625	367.658	577.305	749.129	531.813	1409.068	517.459	533.31	1140.233	623.63	868.123	643.501	708.726	647.076
