	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
ENSG00000095970.17	954.5436387	129.0616103	210.7543841	477.6018385	166.5081497	213.7849068	1202.286748	81.97855969	336.9877452	1239.502139	254.954517	881.4556165	1113.045956	208.220352	747.1224515	577.0283201	141.1723999	819.399454	185.5811903	54.52937804	184.6933781	206.8562762	765.3861523	802.3509478	16.00714663	100.3902045	3234.046936	431.3549942	820.7059914	455.1799176	205.7898878	102.5934114	12.58702224	745.3622081	1401.875742	55.00723386	261.7106783	713.5776124	574.8453098	176.214473	59.05113945	258.8328864	44.08196799	61.15928955	146.6618971	300.5228201	2008.78847	120.9671377	193.5450309	345.1847639	294.5839259	427.4877018	28.28068422	294.5724126	470.2181524	116.3945802	100.5372428	250.4811227	43.46511537	730.557215	234.7610125	269.4478654	4698.292923	68.18783925	339.4077841	1849.550673	40.13396918	1079.726273	155.2713552	5.575667217	262.6304977	283.4973779	521.1443622	253.0270359	1346.291339	700.9648447	7.388187413	775.3899214	211.8808461
ENSG00000096696.14	4351.549519	2678.881995	1040.237235	626.2892033	1461.133645	3626.830208	9.003299379	1010.678529	328.3065621	10099.28343	1356.513728	1929.313318	1083.071649	836.4407301	24.21230167	2603.987496	1171.311595	865.0484487	1279.070359	7269.545084	3601.975784	595.7140049	2847.716102	4763.765135	5078.575099	5035.017653	2444.030568	2432.929604	1597.904677	4582.393236	9072.598115	5147.092093	4819.430961	2009.705954	1182.563893	3350.699263	2917.619991	3164.673724	56.4580215	2557.178103	977.296358	3.361466058	2102.080131	1382.484406	23.39392223	1712.189225	346.1763858	4182.154461	2456.836923	1201.192402	4821.410287	2457.346524	2493.528621	1663.467742	1834.301483	345.3549716	2587.986778	1159.995102	2450.763813	3361.661771	1199.387993	2590.373797	6446.315331	4759.951101	247.1126849	4754.652994	1840.861869	6329.017903	4593.890439	724.8367382	1596.962865	1072.61379	1902.329303	157.8833548	7814.360001	270.3188896	12080.3021	16076.23041	1507.80323
ENSG00000099250.18	3228.696447	12105.84247	2598.659561	2627.936531	2833.594311	12569.59629	6620.887851	4547.467818	3788.15264	9295.03881	3712.410238	1738.188638	2275.049949	2693.813727	2424.689067	5807.083477	3054.775049	2495.858783	3320.463453	3156.471997	5427.983714	2271.410196	3428.583573	3115.692918	3838.636895	2100.848669	2279.333734	2551.697956	2876.426179	5180.096702	3442.519857	5161.610029	4120.151948	2627.247783	1818.998279	882.012543	4030.509564	5890.884096	2786.973243	2644.044393	2195.964248	5506.081402	1549.166303	887.520853	1545.7984	1436.97359	6178.076176	2498.953605	1194.844323	4448.205126	3431.742637	2791.409761	11050.8498	4305.955561	4320.598742	3756.022474	1469.651156	6079.6389	6088.459622	3588.440541	1923.234448	6066.404356	4111.328108	6926.564703	2081.105623	2292.321895	2958.555049	3680.477731	4113.352366	3328.673328	1547.543148	2881.736233	5385.767935	18680.56549	3406.279293	1783.172537	2064.998382	4510.933878	8409.768998
ENSG00000099260.11	1540.861006	486.8832176	890.3889345	1000.260454	3802.100294	2193.173596	315.1154783	2022.52818	2309.983912	515.4365329	3079.88949	820.5999968	943.1915466	2549.067956	1259.039687	1823.821655	1488.600058	2607.69882	1053.493223	570.2214961	6234.993697	2464.636408	1096.453966	4908.59103	499.9155026	1396.484877	942.3829578	2408.884478	3160.212468	2253.51369	4134.830346	2393.523645	7768.98984	1664.744932	4467.941399	1012.891824	505.2584705	3307.389247	4557.702099	1525.537503	3096.494125	1334.502025	1678.893238	1649.878509	3030.412695	1801.555222	1615.030071	2409.003682	2028.272926	3315.291029	4429.965886	4512.684746	1349.195569	4098.022094	2160.299371	922.7333499	2429.838307	1476.136325	802.4328991	1175.483038	1262.592881	1236.245178	1004.018762	1493.53364	1347.706932	3166.654941	486.1510984	3699.891896	5039.626312	887.6462209	1036.402072	1416.512671	1598.78557	856.9825765	1914.004555	3652.101411	3156.603072	540.3381457	168.2376153
ENSG00000099365.11	18.96444315	51.89779038	79.27458483	101.3777487	69.95312797	13.66037743	70.64127205	4.684489125	104.1741976	8.181532268	18.48906803	76.06952462	15.9862974	21.94915391	34.58900238	23.55217633	13.27859207	23.96572219	25.59740557	7.010920034	45.49097984	5.612379588	11.32425116	35.62562123	100.3524962	28.56631834	46.67878202	24.04512637	74.16017994	5.96957269	133.2281354	15.48579795	44.75385687	21.56006387	4.300232338	19.91641226	4.953514417	15.47517714	10.26509482	12.40946993	47.97905081	42.01832572	15.1138176	96.00586151	31.49181839	71.96730693	19.99823743	4.135628638	21.72444224	13.9085436	68.04248288	164.2005742	19.313638	43.31947245	24.03671066	8.423291991	23.72227078	7.29556668	16.71735206	10.20112115	19.56341771	53.58338232	12.87203541	36.29352734	30.76503306	16.81409703	131.0033334	27.62785069	30.7865618	69.13827349	18.355895	46.76245408	12.1905114	15.85728018	5.406792528	54.06377791	83.73279068	53.37829169	14.07846154
ENSG00000099769.6	33.97796065	632.3336038	54.13874086	163.3308174	16.7493405	21.85660389	5.540491926	24.59356791	36.30312946	0.818153227	33.08570068	29.47694079	10.99057946	12.4576279	63.12492935	25.02418735	25.85831087	183.7372035	19.19805417	17.91679564	18.19639194	8.017685126	20.65010507	20.1362207	20.31676304	87.33131608	32.58707424	22.58784598	89.98101833	11.19294879	186.757297	349.3983162	151.0442669	43.12012774	47.30255572	7763.607179	85.86091655	20.63356951	15.39764223	36.40111179	57.57486097	8.403665144	17.63278719	42.66927178	28.79251967	178.731993	18.61904864	31.01721479	21.72444224	21.49502193	456.2848852	16.98626629	28.970457	303.2363071	70.60783757	12.25206108	35.01859019	89.97865572	45.69409564	21.18694394	218.9597905	39.8047983	38.61610622	13.19764631	13.8938859	158.7998053	31.04703276	11.20048001	673.2887211	61.33233938	39.53577385	50.65932525	43.27631546	1.378893928	12.35838292	35.42109587	115.7482695	30.90322151	60.5373846
ENSG00000099937.11	164.3585073	7.511522291	164.349749	3.379258291	10.83780856	16.39245292	2.077684472	2.342244562	32.35713713	0.818153227	3.892435374	2.852607173	26.97687686	5.338983384	17.29450119	13.24809919	1.397746534	1.141224866	3.199675696	37.39157351	1.819639194	117.8599714	1.332264843	0	6.772254345	2.448541572	0	6.557761736	11.86562879	17.90871807	0	3.871449487	2.797116054	0	17.20092935	0.948400584	17.33730046	0	17.96391593	4.963787972	2.952556973	20.16879635	7.556908798	2.844618119	19.79485727	4.74509716	1.379188788	1.03390716	0	2.528826109	4.802998792	5.662088765	6.897727858	0	0	0.765753817	1.129631942	0	16.71735206	1.569403255	2.257317428	4.592861342	0	3.299411576	3.969681685	3.736466007	1.514489403	3.733493336	1.338546165	1.115133443	0	2.92265338	12.1905114	7.583916606	0	4.66067051	4.309775991	2.809383773	4.927461537
ENSG00000099953.10	195.1757275	391.9648905	179.8179607	465.2112248	660.1210668	92.89056652	11560.92896	284.5827143	328.3065621	440.9845893	167.3747211	248.1768241	219.8115892	546.3559663	137.4912845	273.7940499	265.5718414	306.989489	352.7642454	353.6619661	635.9638982	210.0633503	489.6073298	368.6477328	280.1250661	408.090262	341.7239137	416.7821903	311.4727558	120.883847	752.9768726	83.23616398	854.5189545	229.4606798	154.8083642	370.8246283	167.5939044	108.32624	877.6656069	251.4985906	966.9624086	842.0472474	248.1185055	466.5173715	134.9649359	71.96730693	429.6173075	259.5106971	118.4969577	508.2940479	432.2698913	404.8393467	229.0045649	519.8336694	1224.369949	337.6974335	634.8531512	46.20525564	580.6493617	136.5380831	724.5988943	111.759626	203.3781594	43.99215435	144.8933815	252.2114555	609.5819847	559.2773017	1461.692412	146.0824811	43.77174962	372.151197	266.362674	1752.574183	548.4032421	223.7121845	898.8961353	3271.059173	203.4337692
ENSG00000099960.13	0	22.53456687	229.1228854	0	671.9441307	1.366037743	0	0	0.789198467	2.454459681	9.731088436	1603.165231	0	143.559331	4.323625298	493.1236919	0	3.423674599	5.599432467	0	363.0180191	0.801768513	752.0635038	631.1930718	99.12117723	735.3786522	32.58707424	0.728640193	9.888023992	0	325.933117	155.8258419	973.3963868	0	25.80139403	97.68526013	0.825585736	380.861304	66.72311631	1.654595991	19.92975957	1495.852396	39.04402879	631.5052224	120.5686761	1.581699053	6.895943941	2.067814319	351.5409745	338.8626986	1342.438162	48.1277545	2.069318357	34.65557796	658.0049544	2.297261452	82.46313175	0	1.114490138	12.55522604	1191.863602	192.1346995	406.7563188	137.4754824	2.977261264	1481.508772	8.329691717	1778.636225	104.4066009	84.75014169	344.5260293	8.76796014	6.095255698	0	360.7103015	123.9738356	404.5032609	3815.143164	0
ENSG00000100079.7	11.85277697	23.9002982	6.767342607	4.505677722	43.35123424	4.098113229	38.09088199	33.96254616	14.2055724	51.54365329	19.46217687	26.62433362	10.99057946	11.27118714	12.97087589	19.13614327	20.26732474	46.79021952	35.19643265	6.231928919	484.0240255	44.09726819	89.26174448	14.71493051	3.693956916	8.161805241	4.403658681	7.286401929	32.63047918	44.77179518	8.326758464	29.03587115	19.57981238	64.68019161	10.75058085	8.535605255	4.953514417	13.75571301	12.83136852	3.309191981	5.166974702	63.86785509	26.44918079	32.00195384	26.09322095	18.98038864	44.82363561	41.35628638	15.79959436	13.9085436	14.40899638	11.32417753	20.69318357	121.2945229	28.54359391	16.84658398	20.33337495	21.88670004	16.71735206	8.6317179	21.06829599	18.37144537	33.46729205	16.49705788	4.962102106	13.07763102	29.53254336	7.466986672	10.70836932	8.921067546	4.23597577	31.17496939	5.485730128	35.16179517	13.90318079	14.91414563	5434.011843	11.23753509	76.02369229
